start	end	text
0	3000	Challenge. Can you post another Q&A within six months?
3000	5000	No. I cannot.
5000	8000	What are your favorite and least favorite kinds of questions to answer?
8000	11000	A long time ago, in a state far away, I did an event with some friends
11000	13000	where my job was to pick questions from the audience.
13000	16000	Right before the show started, Pretty Derek turned to me and said,
16000	18000	Please don't pick superlatives.
18000	20000	And I said, What's a superlative?
20000	23000	Best. Worst. Favorite. Least favorite.
23000	27000	Ahhh. The show begins, and those were probably half the questions in the bowl.
27000	31000	But Derek, having had much more experience with Q&As, was totally right.
31000	34000	On the spot, those questions are pretty hard to answer.
34000	38000	But also, as I've grown up, I've found the whole concept of a favorite X
38000	41000	has become more abstract and situational.
41000	43000	Favorite things seem to be more important the younger you are,
43000	46000	which makes sense, because you don't really know who you are
46000	48000	and so define yourself by the world around you.
48000	53000	And it's also practice for the tribal affiliation games we never escape, even as adults.
53000	56000	Which can make trying to answer these questions super unfun
56000	59000	when people take the answer way too seriously.
59000	61000	So a question about my favorite is by far my least favorite,
61000	63000	but Fahrenheit is still my favorite. Come at me.
63000	66000	Anyway, if you're ever at a show or submitting questions to a Q&A,
66000	70000	to raise the odds of getting an answer, try turning it a bit.
70000	72000	For example, whose videos do you watch the most?
72000	75000	That's an easy answer. Red Letter Media by a mile.
75000	77000	I started with the highly produced Gateway Classics
77000	80000	and, over the years, progressed to mainlining the hardcore stuff.
80000	83000	It's hard to say why I so like watching guys I don't know
83000	86000	view movies and instructional videos I never will,
86000	89000	but it's strangely comforting and engaging.
89000	92000	And let's not talk about how many hundreds of hours of Red Letter Media
92000	95000	I've had on while animating since starting my own channel.
95000	98000	I'm glad YouTube doesn't track and time shame,
98000	100000	unlike some other services I could mention.
100000	103000	I also picked this question because I can't bear watching Red Letter Media
103000	107000	keep inching closer to a million subscribers any longer.
107000	109000	Can we get these guys their gold play button already?
109000	110000	Click and subscribe.
110000	112000	What's your favorite joke you've hidden in a video?
112000	113000	Mmm.
113000	117000	I'm gonna let this one slide because, oh man, do I love hiding stuff in videos.
117000	120000	And it brings me tremendous joy when people find all the things.
120000	122000	For example, have you found all the bees?
122000	123000	There's a lot of them now.
123000	126000	Again, no favorites, but a recent one I'm pleased with
126000	129000	is this dude in the airport reading The Hobbit,
129000	133000	and then the Fellowship of the Ring, and then the entire Rings trilogy,
133000	136000	implying the wait to board that flight was really long.
136000	138000	Favorite integer? No, I don't.
138000	139000	Favorite color? I shouldn't have.
139000	142000	Favorite magic colors? Well, black and blue, obviously,
142000	143000	but no getting around this one.
143000	145000	Favorite YouTuber? You know these people are my friends.
145000	147000	It would be really weird to pick a favorite podcast.
147000	148000	No, I already explained.
148000	150000	Favorite movie? Favorite Liberian county flag?
150000	152000	Favorite world leader? You can't be serious.
152000	154000	Favorite law of physics? Favorite conspiracy theory?
154000	155000	Favorite tree? What?
155000	158000	On a scale of 1 to 10, what is your favorite color of the alphabet?
158000	161000	Uh, no. Okay, this is my fault. I shouldn't have opened this door.
161000	162000	What is your favorite spelling of favorite?
162000	163000	Okay, enough of that.
163000	166000	What is the most persistent physical object you own?
166000	167000	Ooh, that's a good question.
167000	169000	Like, it must be my original wedding ring.
169000	171000	I can't think of an object that's been with me longer.
171000	174000	I currently wear a second edition, which will eventually become
174000	176000	the third most persistent object in my life.
178000	180000	What's the second most persistent?
180000	182000	Well, while moving off as recently,
182000	186000	I found it hiding in an envelope at the bottom of a box.
186000	189000	Sure, I had thrown it away. Positive, in fact.
189000	193000	But somehow, this specter evaded my many moves and purges.
193000	198000	I have no idea how it shadowed me, hiding nearby for a decade.
198000	201000	So, to explain this thing, back in the long ago,
201000	204000	I quit teaching, packed all my belongings, bundled my savings,
204000	207000	heading off into the sunset with the sure knowledge
207000	209000	I was to achieve the project of my life.
209000	213000	To escape the system. To become self-employed. To be free.
213000	216000	And I... totally failed.
216000	218000	Burned through my savings and returned to London,
218000	221000	humbled, having to find another teaching job.
