start	end	text
0	3360	The United States is, shockingly, a bunch of states that are united.
3360	7120	It was just 13 to start with, but as time marched on, the border marked west,
7120	11480	bringing us to today and the 48 contiguous states, plus Alaska and Hawaii.
11480	16920	Usually drawn in these little boxes, not to scale, because Hawaii is in the middle of a vast ocean of deadly nothingness,
16920	18840	and Alaska is monstrous.
18840	23720	Unlike other unions, where members can leave if they so choose, statehood is eternal.
23720	25080	Even for you, Texas.
25080	28040	Now, how the federal government works is a story for another time,
28040	31920	but at the moment, all you need know is that Congress, where national laws are written,
31920	34600	is made of representatives sent from the states.
34600	38720	Now, there are some non-state gaps not visible on this map.
38720	41760	The first is Washington, D.C., the nation's capital,
41760	45200	which is a stateless limbo land between Maryland and Virginia.
45200	50200	As D.C. is a city without a state, it puts her under the control of Congress,
50200	54240	meaning that all the other states get the final say on how D.C. is run,
54240	56440	while she doesn't get a vote in anything.
56440	59880	It didn't matter when this District of Columbia was basically uninhabited,
59880	65400	but since more people live in D.C. now than do in a couple of states, it's an uncomfortable arrangement.
65400	70040	The other gaps on this map are the American Indian reservations, which are numerous.
70040	74360	The United States kind of administers them, while sort of treating them as foreign nations,
74360	78040	which means you could draw the state boundaries to look like this,
78040	81400	because the reservations are kind of apart from those states.
81400	86240	But the American Indian reservations are such a full of asterisks, oh-so-sensitive situation,
86240	89120	it's also better as a story for another time.
89120	92720	Gaps aside, the continent and Hawaii is mostly straightforward,
92720	95840	but there's more than just these United States.
95840	98200	When the U.S. ran out of lands to manifest destiny,
98200	101600	she learned from the best and terrified a whole bunch of islands.
101600	105760	First up, Puerto Rico, an organized, unincorporated territory of the U.S.
105760	108160	This means she's self-governing to some extent,
108160	112920	and that all of the U.S. Constitution doesn't automatically apply on the island.
112920	116040	Now, 3.7 million people live in Puerto Rico,
116040	120440	which is 91% of the people living on U.S. territorial islands,
120440	123880	and more people than live in 21 of the states.
123880	128440	And the U.S. treats Puerto Rico as a state in almost all but name,
128440	131080	which possibly soon she will be anyway,
131080	134680	bringing the number of stars to a nice even 51?
134680	137960	But Puerto Rico isn't the only organized, unincorporated territory.
137960	140920	There's also Guam, which was acquired in the Spanish-American War,
140920	143560	along with Puerto Rico, there's the Northern Mariana Islands,
143560	145320	taken from Japan during World War II,
145320	147720	and the U.S. Virgin Islands, taken from nobody.
147720	148840	Denmark sold her.
148840	151800	The people in these territories are American citizens.
151800	154840	In most ways, the territories are just like D.C.
154840	156920	Congress can override their local governments,
156920	160680	and they don't have representation because no state-tation.
