start	end	text
0	4720	Oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god, oh my god.
4720	6720	Yes!
17420	20860	Right now I'm in San Jose on a big summer work trip.
20860	26180	And I've got ten days to get to Moab, Utah, and then back down to LA.
26180	29340	With this much distance and that little time, I was gonna fly.
29360	31360	But then, someone I know said,
31360	33360	you should take this Tesla.
34240	38640	They said to me, sure, you haven't driven in eight years, but you've also never driven a Tesla.
38640	41200	I couldn't say no. It's time for a road trip.
41200	43200	Oh, so cool.
44200	46200	That is never gonna get old.
46200	48200	Oh my god, I can't believe this.
48200	50200	I am so nervous and so excited right now.
50200	53200	I have no words for this. Like, I can't even explain anything.
53200	55200	I just have to get started.
55200	57200	And we're just gonna go. That's what's gonna happen here.
59340	61340	Ah, f***ing hell.
61340	63340	Future Gray here, editing this video.
63340	65340	Now, Past Gray is very excited.
65340	70340	But what he doesn't know is, he's going to make this trip way harder for himself than need be.
70340	76340	And he's also going to make some of the dumbest, most dangerous decisions he's ever made in his adult life.
76340	79340	But he doesn't know that. Now you know that.
79340	86340	And he's also going to make some of the dumbest, most dangerous decisions he's ever made in his adult life.
86340	90340	But he doesn't know that. Now you know that. Back to the excitement.
90340	93340	Ah, f***ing hell.
93340	98340	This is the first moment in my life when I'm in a self-driving car that's self-driving.
98340	100340	No hands moment.
100340	102340	This is the first turn.
102340	104340	And it's doing it.
106340	108340	Obviously it should.
108340	110340	But it's still quite relieving to know.
113340	115340	Oh god, that's amazing.
117340	120340	Whoo! Man.
122340	125340	Alright. Alright.
127340	129340	Oh my god.
129340	131340	This was really overwhelming.
131340	136340	And I've spent all my adrenaline and I need to calm down and eat a sandwich.
136340	140340	I haven't done any significant driving for nearly a decade.
140340	144340	On the last road trip that I took, it ended in a pretty bad accident.
144340	149340	Everyone walked away, but after that I just didn't want to drive, so I hardly ever did it.
149340	154340	Which meant I was a nervous wreck every time I did, which made me drive even less.
154340	157340	And then, because I live in a big city, I didn't need to drive.
157340	160340	But I'm going to use this opportunity to start again.
160340	164340	I'm nervous, but so far the Tesla's made it a lot easier for me.
164340	166340	And boy have I missed driving.
166340	171340	Just coming back from the store and oh my god, is it beautiful.
171340	175340	Blue's not my color, but that car looks fantastic.
179340	182340	Now that I've done the first leg on the highway...
182340	185340	What is it, car? Oh, my seatbelt.
187340	192340	Now that I've done the first leg and I haven't died, it's fantastic.
192340	194340	It's an amazing car.
195340	200340	But now I'm going to spend a little bit in a more focused frame of mind,
200340	205340	playing around with all of the settings on the screen and figuring out a few things
205340	210340	before I continue onward with the next leg of this drive.
210340	225340	This has been a real moment in my life and just a fantastic driving experience.
225340	232340	But I noticed that the click and the animation of the click of the car are not synchronized.
232340	236340	So one star, literally unusable.
237340	244340	I've made it to the first supercharger location with 45 miles left on the battery,
244340	249340	which is way closer than I would ever cut it with a gas tank.
249340	252340	I have some real range anxiety with cars,
252340	256340	but I thought I would just trust the map and what it's telling me.
256340	262340	And so here I am waiting online for the next supercharger slot that's available.
262340	265340	OK, so this is the charger.
266340	268340	Oh, that's so cool.
271340	276340	Pulling in 104, 103 kilowatts, which is crazy.
276340	282340	And I need to leave it here for about 40 minutes before I continue on the next leg of the trip,
282340	288340	which is perfect because this is in a little mall area and I've got some errands I need to run.
288340	292340	OK, back from errands and there's a hat trick of X's.
292340	298340	It looks like we're pretty set to continue on the road.
298340	302340	Oh, my God, I can't believe how exciting this is.
302340	303340	Forgot about this.
303340	308340	Turns out the car won't let you drive if you're still plugged in.
308340	311340	So I'm guessing stop charging.
313340	316340	Oh, and it closed for me.
316340	318340	This car is goddamn magic.
318340	319340	All right, calm down.
319340	321340	Calm down.
321340	323340	It's very exciting. Calm down.
323340	326340	Oh, yeah, the door closes when I sit.
326340	329340	OK, OK, let's do this.
334340	339340	In half a mile, keep to the left onto I-80 East towards Redwood.
346340	362340	One of the great things about doing a road trip in America is all of these little rest stops that exist.
362340	366340	We can just pull over and take a break, go to the bathroom, maybe get a snack.
366340	368340	It's really nice.
368340	371340	Oh, and by the way, beware of snakes.
371340	375340	Every vessel needs a name and she seems like a Bailey.
376340	378340	To you, Bailey Blue.
378340	380340	I look forward to our trip together.
394340	398340	So, holy shit, it's snowing.
398340	402340	We're up high enough that there's snow on the ground.
406340	408340	This is unbelievable.
408340	414340	I'm not sure it looks the way on the camera, but holy hell is the visibility low.
415340	419340	It's like there's a gas station in the corner.
419340	421340	I feel like I'm in the mist.
421340	424340	Look at this. It's amazing.
425340	428340	So I'm totally unprepared for this weather.
428340	432340	This hoodie is very warm, but it's not snow warm.
432340	437340	But I'm taking a little break here because the visibility was just zero on the freeway.
437340	441340	And it never snows in London.
441340	451340	I've gone all year without seeing any snow and I'm just so excited right now and happy and very cold.
451340	458340	And I just wanted to walk over and see what this little thing was in the snow.
459340	462340	Beautiful, beautiful snow.
462340	466340	Look at those trucks in the snow, in the forest, in the background.
466340	468340	It's just beautiful.
469340	475340	Okay, it is beautiful, but I'm also freezing.
476340	482340	Okay, I've realized it's actually going to get pretty dark soon.
483340	488340	And I'm at like 5,000 feet.
488340	495340	I think the only way out of this is through the snow and I want to do it before it gets dark.
495340	499340	So I'm going to load up on some rest stop coffee and then we're going to get going.
499340	502340	We're all strapped in the back seat.
502340	504340	Stay cozy.
505340	508340	We've got some serious snow to drive through.
542340	559340	I didn't realize that the road I was driving over is the Donner Pass.
559340	564340	I feel like the luckiest man alive right now.
565340	571340	I bumped into a guy who's flying a drone and now I really feel like I need a drone.
571340	573340	I don't need a drone.
574340	578340	Well, this has been quite the first day back at driving.
578340	581340	In any other car, I would have been terrified through that.
581340	583340	Thank you, Bailey Blue.
594340	597340	Well, that was f***ing amazing.
597340	606340	Alright, I was planning to go farther today, but the snow in the Donner Pass, that took a while and it took a lot out of me.
606340	613340	So I'm going to do the smart thing and I'm not going to push further.
614340	616340	Does that lock in?
616340	618340	I'm going to get, there we go.
618340	628340	I'm going to get a hotel in the local area instead of being a crazy person and pushing on to Reno.
630340	636340	Nearest hotel is apparently like a cabin in the woods.
636340	638340	Very Christmassy. Feels appropriate.
638340	640340	This was a good decision.
641340	647340	The instant I stopped driving, I realized I am tireder than I thought I was.
649340	656340	So I am very glad to be getting into a room to be able to spend the night and relax.
656340	658340	Ooh, a desk.
658340	667340	Alright, time to set up a workstation and pull all the footage off those cards and see what I was actually able to keep in the end.
670340	674340	I love the snow. I love the cold.
675340	680340	Speaking of cold, okay, so last night I wanted to test a thing.
680340	698340	There's a way to charge a Tesla from just regular, unregular electrical outlets, which I spotted on the outside of the hotel I set up last night.
698340	709340	So, it didn't look too promising last night, but I just want to see this morning how has it done.
712340	717340	Oh, it's charging at 3 miles per hour. We've added 22 miles overnight.
717340	725340	This is really good because this means I can possibly try something that I was thinking about last night.
725340	731340	Now to get to Moab, here's what I should do. I should take Interstate 80 up to Salt Lake City.
731340	735340	That's the smart route. It's filled with these superchargers.
735340	739340	If you're driving a Tesla a really long way, these things charge it up really fast.
739340	744340	The only thing is, I've already driven across this road, so I have an idea for a different route.
744340	752340	A more interesting ride that I've never done is this way, across what's known as the loneliest road in America, for good reason.
752340	754340	There's nothing out there, including superchargers.
755340	762340	This distance is way too long for a Tesla to do on a single charge, but I've discovered these things.
762340	766340	RV parks. It'll charge a lot slower than a supercharger, but it'll work.
766340	771340	There's an RV park here at Fox Peak Station, and there's an RV park here at Eli.
771340	779340	This distance is 283 miles, and a Tesla's maximum range is 300 miles.
779340	783340	If I get stranded along this road, it's going to be a real problem.
783340	788340	So, in order to make this work, Fox Peak equals 100% charge.
788340	792340	I cannot leave Fox Peak with less than a completely full battery.
792340	796340	Otherwise, I might not make it, and there is nothing out here.
796340	798340	So that's the plan.
798340	806340	It's 6.30 in the morning. I'm happy to have woken up and get started early, because today might be the longest day of driving.
806340	812340	But of course, before we can get started, navigate to the nearest Starbucks.
812340	819340	There's nothing cozier than being in a snowy world in a warm car on your way to get some coffee.
820340	823340	Sounds like a coffee emergency, whatever that was.
825340	836340	I was talking to the barista at Starbucks, and she said that this kind of snow in June is something she's only seen four times in the 20 years she's lived here.
836340	843340	So, I was feeling like the luckiest man alive yesterday, and now I feel just twice as lucky that I get to see this.
852340	854340	Reno on the horizon.
859340	862340	Ooh, it's still pretty cold out here.
862340	864340	Alright, let's go inside this casino.
867340	872340	Boy, I sure hope I don't miss what's on this channel.
888340	890340	It's a buffet reimagined.
891340	895340	Uh, yeah, I'm gonna need two, both with bacon, egg, and cheese.
896340	900340	I don't know why I said egg. Of course there's egg in it, yeah. No, bacon and cheese, yeah.
902340	903340	Two, please.
904340	907340	Hahaha, I'm not really two people though, am I?
908340	912340	Second coffee acquired, because we all know the first coffee is a warm-up.
912340	915340	And now we're on to Fallon.
916340	922340	This place is the test, where we find out if I can do the route I want or not.
922340	927340	Uh, oh, Fox Peak, not Pizza Hut. Fox Peak Station.
928340	930340	This is the moment of truth.
931340	934340	Let's see what we have here.
937340	942340	I'm thinking that this part doesn't go into that part, and I have no other adapters that can bridge the gap.
942340	945340	This thing has the same thing, so what I need to do is plug that.
946340	948340	Come on, baby. Alright, you're gonna get one there.
949340	954340	Yes, I need my credit card for like the 70th time. Authorizing, authorizing.
955340	957340	Hey, alright.
958340	961340	Oh my god, it's a miracle. Oh, it's gonna take a long time.
962340	965340	Sitting here with the Tesla, getting it charged for the next leg of the journey.
966340	968340	Uh, it's a little pooped. I'm a little pooped.
968340	981340	I'm also a bit coffeed out, so I'm going to get some of my replacement coffee pills, which are nice, and have some of that.
982340	988340	And then I think I'll show you, while I wait, a couple of the features of this Tesla.
989340	994340	Fighter jets from the Air Force Base. So loud.
995340	1000340	Alright, the number one thing I worried about before driving the Tesla was this a ginormous screen and how distracting it would be.
1001340	1003340	I mean, it is huge, but it handles really well.
1004340	1009340	So when you hit the navigation, right, so I'm going to navigate, I want to get to Eli, Nevada.
1010340	1013340	What it'll do, and it would fill in if we had any kind of internet connection,
1014340	1020340	it'll show an overview of your route if you want, or it'll show a particular leg, like to the next supercharger.
1020340	1024340	But it doesn't actually really tell you how to drive here.
1025340	1030340	That is through the steering wheel on this little screen.
1031340	1035340	So you don't have to be looking at this gigantic screen over here to see where you're supposed to turn.
1036340	1043340	Instead, the turn-by-turn directions are right here, and when you're driving, it's exactly in your field of view.
1044340	1048340	I feel like this is precisely where I want to be looking to see the turn-by-turn directions, so thumbs up for that.
1048340	1055340	There's a bunch of other stuff that you can do with the screen, but what I like is the rearview mirror doesn't give you a huge field of view here, but it doesn't matter.
