start	end	text
0	3740	Queen Lion is looking to make the elections in her animal kingdom more fair.
3740	7800	Currently, she divides her citizens into ranges, each of which selects one representative to
7800	10800	go to the Jungle Council, which makes laws for the kingdom.
10800	13900	But her citizens are unhappy, and it's easy to see why.
13900	15700	The council is full of monkeys.
15700	18840	Of course, some of her citizens are monkeys, but not all of them.
18840	21740	This council doesn't fairly represent her kingdom.
21740	25480	Queen Lion visits one of the ranges to find out what's wrong and how to fix it.
25480	30640	In this range, there are five monkeys, four tigers, three owls, two lynx, and one buffalo.
30640	34860	One of each runs for representative, and all citizens vote for their own species.
34860	38900	The election rule is that the candidate with the most votes wins, which is the monkey.
38900	43380	But it's a pretty unsatisfying result considering that two-thirds of the citizens in this range
43380	45740	aren't monkeys and wouldn't vote for monkeys.
45740	48240	This is the same across all the ranges of the kingdom.
48240	53020	The monkeys always happen to have more votes than anybody else, so they win all the elections
53020	56020	even though they're a minority of the total population.
56020	60040	Closer inspection reveals that the independent advisors hired to draw the range boundaries
60040	63660	in the first place weren't as independent as they might have appeared.
63660	67620	The result is unhappy citizens who don't trust the Jungle Council to make the fairest laws
67620	69160	for all, quite rightly.
69160	73500	Now Queen Lion wants to maximize the number of citizens happy with the election results.
73500	77180	One way to do that is to abolish the ranges and use a proportional system.
77180	79820	But her citizens want local representatives.
79820	84100	So Queen Lion needs a system that both makes her citizens happier by having a more representative
84100	87220	council while keeping the local elections in place.
87220	89900	After doing a little research, she finds out how.
89900	91640	Single transferable vote.
91640	96340	The big change with STV is that ranges send more than one representative, which may seem
96340	98820	weird, but Queen Lion decides to test it out.
98820	102660	She takes three ranges which used to each send one representative and combines them
102660	105380	into one bigger range that will send three.
105380	109740	On election day, citizens go to the polls and the results in this new range are just
109740	112040	the same as they were in the old ranges.
112040	116700	So nothing seems better, but with STV to figure out the winners, take the total votes and
116700	122180	divide them by the number of representatives needed, in this case three, which gives 33%
122180	124560	as the amount a candidate needs to win.
124560	128920	So all three candidates go to the council, which accurately represents the citizens in
128920	129920	the range.
129920	133880	Whereas under the old system, each individual range would have sent a monkey, leaving two
133880	136320	thirds of the citizens without representation.
136320	140600	A bigger range with multiple winners allows the results to be more proportional.
140600	143880	This test turned out well, but it was also as simple as could be.
143880	147880	Now Queen Lion wants to see what happens in a race where not everybody is a winner.
147880	151280	The next big range she tests has five candidates running for office.
151280	156260	Gorilla, Tarsier, Monkey, Tiger, and Lynx, three of which can be representatives.
156260	160320	Election day comes and goes and here are the results of the citizens' first choices.
160320	167720	Tarsier gets 5%, Gorilla gets 28%, Monkey gets 33%, Tiger gets 21%, and Lynx gets 13%.
167720	170900	As before, a candidate needs 33% to win.
170900	175060	Monkey has that and so is immediately selected as one of the three representatives.
