start	end	text
0	3800	While waiting on a plane during taxi till take-off, looking out the window,
3800	6880	you may have noticed the giant number numbering the runway,
6880	10560	say 8, which implies 7 others exist, at least,
10560	14960	but this is a flight out of LOL airport, in Nevada's desert of nothing.
14960	17920	There's only two runways, which, given the passenger load,
17920	20400	seems like maybe one too many already.
20400	23280	What's the deal with runway numbers, you might wonder aloud?
23280	25840	Oh, hello again! Flying to Nook as well, are you?
25840	31040	It is a long flight, so there's tons of time for me to tell you all about runways.
31040	31920	Let's begin.
31920	36000	So, before you can number a runway at an airport, you need to build the airport.
36000	39280	And before you can build the airport, you need to plan the port.
39280	42960	And what needs figuring first is which way to run the way.
42960	46880	Pilots want runways with winds in parallel for physics reasons that we are going to skip,
46880	49680	both because lift physics is something people really like to argue about,
49680	51040	and this isn't a physics video.
51040	53360	Yeah, I'm recording a runway video right now, hope you don't mind.
53360	56640	But the summary is, planes take off and land into the wind,
56640	58800	because it lets them use less runway,
58800	61920	and makes for safer and stabler landings in particular.
61920	64960	Now, planes can land with winds unaligned,
64960	68160	but it's unsettling to watch these crosswind attempts,
68160	70960	as pilots do their best to face into the wind,
70960	73760	while landing on a runway that does not.
74480	75200	Oof.
75200	78160	So, airports too want winds running with the runway,
78160	80800	but the universe is indifferent to human desires.
80800	82160	Wind winds as it wants,
82160	86800	so the simple solution in aviation early days was to build a triangle of runways,
86800	88000	put up a little wind sock,
88000	92400	and direct the pilot to the runway that paralleled the sock, and thus the wind.
92400	96320	But as aviation grew, so did airplanes, and thus their runways,
96320	100320	making the triangle trick impractical for big urban internationals.
100320	102080	But the simple sock still solved it.
102080	104880	See, if you record when and which way the wind sock blows,
104880	107680	and with what wind force, you've grown yourself a wind rose,
107680	110640	a clever little data viz tool with the sock in the center
110640	112480	of compass points for orientation,
112480	115840	and bars colored in size for strength and frequency of wind.
115840	119840	Though it reads opposite, actually, of everyone's expectations,
119840	124320	with the lines showing the way the wind blows from and not to.
124320	126640	Physics stuff just loves to opposite, actually.
126640	129040	Let's just agree to avoid physics for this video, shall we?
129040	132480	Wind roses reverse readings aside, they reveal that in most places,
132480	136560	most of the time, most of the wind mostly blows back and forth in one direction.
136560	138640	So that's surprisingly convenient.
138640	140080	Thanks, indifferent universe!
140080	141520	Oh, you did it for other reasons?
141520	145360	Well, still, this convenient wind happens because wind is a current of air,
145360	148160	transporting heat from where there's more to where there's less.
148160	151440	The Earth is blasted by the nuclear heat of the Sun,
151440	153520	with the equator getting hit hot hardest,
153520	157200	making hot air rise there as it cools out along the edge of space
157200	161200	before coming back down, creating a big-scale convection current
161200	163600	that repeats in a pattern all up and down.
163600	165600	And because the Earth is a sphere that spins,
165600	168480	those cylindric convection currents of air on the surface
168480	171600	twist clockwise north of the equator and counter below.
