start	end	text
0	6000	Do you want to rule? Do you see the problems in your country and know how to fix them?
6000	10500	If only you had the power to do so. Well, you've come to the right place.
10500	14900	But before we begin this lesson in political power, ask yourself,
14900	22500	why don't rulers see as clearly as you, instead acting in such selfish, self-destructive, short-sighted ways?
22500	28500	Are they stupid, these most powerful people in the world, or is it something else?
28500	33000	The throne looks omnipotent from afar, but it is not as it seems.
33000	37000	Take the throne to act, and the throne acts upon you.
37000	43000	Accept that, or turn back now, before we discuss the rules for rulers.
45000	50500	No matter how bright the rays of any Sun King, no man rules alone.
50500	57000	A king can't build roads alone, can't enforce laws alone, can't defend the nation or himself alone.
57000	64500	The power of a king is not to act, but to get others to act on his behalf, using the treasure in his vaults.
64500	71500	A king needs an army and someone to run it, treasure and someone to collect it, law and someone to enforce it.
71500	77000	The individuals needed to make the necessary things happen are the king's keys to power.
77000	84500	All the changes you wish to make are but thoughts in your head if the keys will not follow your commands.
84500	89000	In a dictatorship where might makes right, the number of keys to power is small.
89000	93500	Perhaps only a dozen generals, bureaucrats and regional leaders.
93500	101000	Sway them to your side and the power to rule is yours, but never forget, displease them and they will replace you.
101000	108000	Now all countries lie on a spectrum, from those where the ruler needs few key supporters to those where the ruler needs many.
108500	112500	This foundation of power is why countries are different.
112500	116500	Be it many keys or few, the rules are the same.
116500	120500	First, get the key supporters on your side.
120500	124500	With them, you have the power to act. You have everything.
124500	126500	Without them, you have nothing.
126500	133000	Now, in order to keep those keys to power, you must second, control the treasure.
133000	141000	You must make sure your treasure is raised and distributed to you for all your hard work and to the keys needed to keep your position.
141000	152500	This is your true work as a ruler, figuring out how best to raise and distribute resources so as not to topple the house of cards upon which your throne sits.
152500	161500	Now you, aspiring benevolent dictator, may want to help your citizens, but your control of the treasure is what attracts rivals.
161500	164000	So you must keep those keys loyal.
164000	168500	But there's only so much treasure in your vault, so much wealth your kingdom produces.
168500	175000	So beware, every bit of treasure spent on citizens is treasure not spent on loyalty.
175000	183500	Thus, doing the right thing, spending the wealth of the nation on the citizens of the nation, hands a tool of power acquisition to your rivals.
183500	192000	The treasure poured into roads and universities and hospitals is treasure a rival can promise to key supporters if only they switch sides.
192000	199000	Benevolent dictators can spend their take on the citizens, but the keys must get their rewards.
199000	208500	For even if you have gathered the most loyal, angelic supporters, they have the same problem as you, just one level down.
208500	212000	Being a key to power is a position of power.
212000	216000	They too must watch out for rivals from below or above.
216000	221500	Thus, the treasure they get must also be spent to maintain their position.
221500	235000	The loyal and dim may stay by your side no matter what, but smart key supporters will always watch the balance of power, ready to change allegiance if you look to be the loser in a shifting web of alliances.
235500	246500	In countries where the keys are few, the rewards are great, and when violence rules, the most ruthless are attracted, and angels that build good works will lose to devils that don't.
246500	254500	So buy all the loyalty you can, because loyalty in dictatorial organizations of all kinds is everything.
254500	256500	For the ruler, anyway.
256500	264500	Thus, the dictatorship exposed, a king who needs his court to raise the treasure to keep the court loyal and keep raising the treasure.
264500	270000	This is the self-sustaining core of power. All outside is secondary.
270000	273500	Now a king with many key supporters has real problems.
273500	279500	Not just their expense, but also their competing needs and rivalries are difficult to balance.
279500	287500	The more complicated the social and financial web between them all, the more able a rival is to sway a critical mass.
287500	292500	The more key supporters a ruler has on average, the shorter their reign.
292500	298000	Which brings us to the third rule for rulers. Minimize key supporters.
298000	304500	If a key in your court becomes unnecessary, his skills no longer required, you must kick him out.
304500	313000	After a successful coup, the new dictator will purge some of those who helped him come to power while working with the underlings of the previous dictator.
313000	316500	Which, from the outside, seems a terrible idea.
316500	319000	Why abandon your fellow revolutionaries?
319000	321500	Are the old dictator's supporters not a danger?
