start	end	text
0	1520	As Mark Twain once quipped,
1520	4240	If I had more time, I would have written a shorter letter.
4240	8000	There's a pair of videos on my channel that were in the works for over a year.
8000	9200	The Ticoi videos.
9200	11600	One exploration and one explanation.
11600	14000	And while the exploration video is fine,
14000	17440	I made a catastrophic error in the explanation video.
17440	19120	I've re-uploaded a corrected version,
19120	24160	and I've also made this video to show you some of the behind the scenes of how those videos got made,
24160	28080	how the error got in, and how the decision to re-upload came to be.
28080	31440	But I've written this video in as little time as possible
31440	34080	to correct the error as fast as possible.
34080	35360	So be warned.
35360	36560	It's a long letter.
36560	42160	The story of Ticoi starts with past Grey traveling to Indian reservations for an other project.
42160	46720	During that wandering, I came across the Skull Valley Indian Reservation out in Utah,
46720	49360	and within its borders, the Ticoi Test Range.
49360	52160	Information about which was limited and scattered.
52160	55600	I got the impression it was an abandoned military weapons facility.
55600	56320	Which, come on.
56320	57920	Three more intriguing adjectives.
57920	59520	You could not precede a noun.
59520	63200	At this point on YouTube, I'd played around with making a few vlog-style videos,
63200	65120	and while working on the bigger project,
65120	69600	I thought Ticoi could be a little shard to examine to make into an easy and quick vlog,
69600	72000	exploring the place and explaining what it was.
72000	76240	And the tribal government graciously granted me permission to go on site and film.
76240	78880	Which, as a side note, please do not try to visit Ticoi.
78880	80080	It is private property.
80080	82720	Not open to the public and super dangerous.
82720	87360	In retrospect, I was shockingly stupid to explore it in as unprepared fashion as I did.
87360	90080	But I went, I filmed, I didn't fall in a hole and die,
90080	92640	or catch histoplasmosis from the bat droppings everywhere,
92640	94240	and I didn't get attacked by the quote,
94240	95360	really mean owl.
95360	97520	I was warned, defended, warehouse number.
97520	99280	Oh, I forgot to write it down.
99280	101840	Seriously, I could not have been a worse urbex noob,
101840	104160	but the celestial dice rolled in my favor that day,
104160	106960	and I got back to my hotel with some amazing video.
106960	109760	Now all I needed to do was explain this beautiful shard.
109760	111200	Of course, joke was on me,
111200	115280	because every topic is an entire world unto itself once you start looking,
115280	118000	and months later, the one video split into two,
118000	122400	and I was barely closer to a coherent explanation of Ticoi than at the start.
122400	123360	Okay, pause here,
123360	126720	and let me tell you a little bit about the video production process in general.
126720	130960	Videos get started either through wandering the real world or the forest of all knowledge,
130960	133040	seeing an interesting area, exploring it,
133040	136080	and, if lucky, some part will look like it could be a video.
136080	138480	I've come to accept that I am a slow writer,
138480	143600	so it's best to hold off the first serious draft until long into the exploration phase,
143600	146000	often long enough that by the time I get to the
146000	148480	okay, seriously, sit down and write this thing,
148480	150640	I've forgotten a lot of what I've read,
150640	155680	but that's actually a useful way to filter for the interesting and important and frequent ideas
155680	159760	in a topic before the many, many rounds of revisions and checks to come.
159760	161520	I used to make my videos all alone,
161520	163600	but over the years I've gathered a small team,
163600	167600	and at some point, if I can get the script into a readable-ish version,
167600	170640	it's time to let the team know what the next project might be.
170640	173440	And there is celebration or dread at what will be
173440	176400	at least many weeks of their lives spent on this thing.
176400	179520	Everyone has a specialty, animation, research, logistics, music,
179520	181280	sometimes custom artwork or audio,
181280	184160	and everyone provides useful feedback on the topic,
184160	187200	sometimes having personal experience or finding further details
187200	189360	or hunting down related lost artifacts.
189360	191920	For me, there's also a lot of double-checking at this point,
191920	194560	going back to notes I made during exploration time
194560	197120	or looking into an out-of-place seeming fact.
197120	199600	The script eventually progresses from merely readable
199600	202000	into what is nearing a final-ish form,
202000	204160	and this is where it's sent out to experts.
204160	206960	Now, this phase seems like it should be the easiest.
206960	208480	A teacher checks your homework,
208480	210080	but often it's quite troublesome.
210080	212240	The first problem is finding an expert.
212240	217040	If a video ends up being largely a book or paper adaptation and the author is alive,
217040	218240	then that's pretty easy,
218240	220720	and those projects are generally more straightforward.
220720	226320	But for a lot of videos, figuring out who is the expert on this thing isn't always clear,
226320	228880	and for some topics, there simply isn't anyone.
228880	230560	For others, experts may exist,
230560	232640	but finding them is basically impossible
232640	235680	because there isn't a good public record of their expertise.
235680	237520	This last is particularly frustrating
237520	239840	because the instant the final video goes up,
239840	243360	all the unfindable experts will find it and get in touch.
243360	245360	Now, in theory, this problem could be solved
245360	247840	by publicly announcing what the active topics are,
247840	251760	and back when Past Gray's channel was smaller and he younger and naiver,
251760	253360	that's totally a thing he did.
253360	256880	But Current Gray in current year has seen shockingly blatant cases
256880	260560	of those who work fast scooping topics from those who work slow.
260560	262960	It's not the early days of the internet anymore,
262960	266240	and surviving while supporting a team means you must compete
266240	270160	with the entire entertainment industry in all its forms.
270160	272000	So some secrecy is necessary,
272000	274240	even though, yes, I'm fully aware I've already developed
274240	276880	what I'm working on in this very video and I will do it again later,
276880	277920	but I've made an exception,
277920	282240	even though I know from experience I've never not regretted talking about work in progress.
282240	285120	Even if the topic is unscooped or unscoopable,
285120	288080	I just find projects harder to finish once they're out in the open
288080	289440	and everyone is watching.
289440	290560	Back to the experts.
290560	293600	If they exist and we find them and they're willing to help out
293600	296000	and they're willing to keep a secret for possibly months,
296000	296960	then that's great.
296960	298400	But it can still be tricky.
298400	300080	For example, which experts?
300080	302560	Just about any academic topic will have experts
302560	306160	who have spent their entire lives thinking about this one area
306160	309120	and who also violently disagree with each other.
309120	311040	Which can leave you, the non-expert,
311040	314400	to wander dangerously close to the what-is-true dimension,
314400	315520	which, if you're not careful,
315520	318400	will suck you into an unproductive downward spiral of
318400	320720	how do we know anything is true?
320720	322320	This happens to me at least once a month
322320	325120	and is a topic which is way beyond the scope of this video,
325120	326720	maybe a story for another time.
326720	328080	Ugh, don't say that!
328080	329760	Okay, skipping the existential crisis,
329760	331600	the script is sent out to experts for checking
331600	333440	and then the final draft can be recorded
333440	335520	and turned into a video for you to watch.
335520	336960	That's how it works in general.
336960	340080	Now let's resume the story of Ticoi skipping ahead to...
340080	341120	Upload Day!
341120	343520	A day that is simultaneously the joyous completion
343520	344880	of hundreds of hours of teamwork
344880	346640	and the solitude of stomach churning
346640	349760	as you wait to find out if you have been wrong on the internet.
349760	352560	And there are many ways to be wrong on the internet,
352560	353760	which we will visit later.
353760	356640	But the process is designed to be able to avoid errors
356640	360080	while still being able to publish something eventually.
360080	361040	And in this process,
361040	363680	I had learned that my initial impression wasn't quite right.
363680	367600	Rather, Ticoi was a tiny part of an enormous for-profit company
367600	371520	that used Ticoi as a static firing test range for rocket motors.
371520	374560	Motors that just so happened to be used in nuclear missiles,
374560	376080	including the famous Minuteman.
376080	378880	But there's often so much more left on the cutting room floor,
378880	382080	so a new part of the process is doing a director's commentary
382080	384400	for crowdfunders with all the extra bits,
384400	386320	after I've waited a couple of hours to ensure
386320	389680	there's no Upload Day disaster that needs immediate attention.
