start	end	text
0	10720	Okay, yeah, it is a bit late for coffee in the UK, but upload days now with the addition
10720	14680	of director's commentary days are very long days.
14680	20880	So I'm quite tired by the end of it, but I feel like the right way to do this is to do
20880	23480	the director's commentary on the same day of upload.
23480	26120	If I don't do the director's commentary on the same day, then I know what's going to
26120	30720	happen, which is I'm going to start really preparing for it and then I'm going to turn
30720	34880	it into a whole other job and then it will never happen.
34880	41260	So this is why it's like director's commentary right away, whatever I happen to remember
41260	42520	or nothing.
42520	44240	So that's the way it's going to work.
44240	48960	This is a video that I really didn't expect I was going to do a director's commentary
48960	55680	for because I mean, obviously this is only the fourth one, so I'm still kind of figuring
55680	65560	this out, but for the Grey Goes Outside playlist things that I've been working on, these already
65560	70640	feel a little bit like they're behind the scenes videos anyway, so it's a bit odd to
70640	78280	do a director's commentary for them and I think they're just a lot less dense and intense
78280	82500	than the main CGP Grey animated stuff.
82500	88680	So I think in general, if I'm doing stuff like this in the future, there probably won't
88680	97900	be a director's commentary, but this Ticoi project, boy, did it turn out to be a whole
97900	98900	thing.
98900	104620	So I figure there's at least a little mini director's commentary in this one.
104620	108020	Would you classify this video as one of your light grey videos?
108020	109020	No.
109020	114740	I created on the channel this playlist in a category that I'm calling light grey.
114740	123420	That is for stuff that is really easy and is relatively unedited and unresearched.
123420	127860	So like the little video that I put up before this of just me driving the Tesla straight
127860	132140	into a bunch of tumbleweed that was like a cut scene, that's like a light grey video.
132140	137520	I think that sort of video can be kind of fun, but it's obviously not a main video or
137520	143160	like I did the explanation of the Supreme Court recently and for various reasons, like
143160	146560	that's a video that I could make without having to do a ton of research.
146560	149280	It doesn't need to be as tightly edited.
149280	152640	And so yeah, that's like a different category.
152640	159080	You know what this is, I'm putting this under my playlist of like grey goes outside, which
159080	166200	really I could not have timed worse as a project I was really planning on doubling down this
166200	169800	year on with the global pandemic.
169800	173400	So this is obviously a project that's a little bit left over for that.
173400	178600	But yeah, I had a whole bunch of things in mind for like grey goes outside as a concept
178600	182600	and the world had other ideas.
182600	188120	So that's the category this fits into and who knows how much stuff will appear on that
188120	189420	at any point in the future.
189420	193080	But that's the answer to your question of what do I consider this?
193080	196040	I consider this a grey goes outside video.
196040	197480	It's not a main video.
197480	199360	It's not a light grey video.
199360	202800	It's me being outside and exploring a place.
202800	204520	Yeah, the harbor master.
204520	209200	I could make a vlog taking out the trash and that is just about the most exciting outdoor
209200	211360	thing that I have done in several months.
211360	214280	So I hope everyone's doing all right.
214280	219480	So to give you a sense of this, I was talking to my assistant this morning and we were just
219480	221520	trying to trace back.
221520	224600	How long have we been working on this thing?
224600	232240	Because from our subjective experience, it feels like we have been working on Tico for
232240	234200	forever.
234200	239780	And the answer was the first correspondence between the two of us about this project goes
239780	242900	to May of last year.
242900	250100	That is more than a year ago when I first decided to bring someone in on this project
250100	256420	and then I don't know exactly how long before that I was working on this and sort of investigating
256420	258660	it as a possible thing.
258660	266220	But so yeah, May of last year is when this became like a real this looks like it's going
266220	269620	to happen project.
269620	271780	Still not as old as the Catan video.
271780	278000	Well, yes, I mean technically that's correct, but the Catan video is not actively being
278000	284080	worked on the Ticoi project was actively worked on for the past year and a bunch of different
284080	285360	ways.
285360	291600	But yeah, so it's just a very very long time ago and the way that this worked.
291600	301160	I was going to the Skull Valley Indian Reservation for other reasons at that time and it just
301160	307540	so happened that I came across this what I thought was just an incidental piece of
307540	315860	information that oh the on this reservation there happens to be this I didn't even know
315860	322360	what it was exactly like old weapons facility or something like I it was extremely hard
322360	330140	to figure out at the time but I could see that they like had this place as or like this
330140	336520	facility existed on the reservation is the best way to put it in the process of going
336520	341000	out to Skull Valley and going to the reservation.
341000	348380	I was able to get permission from the tribe to be able to go on to go on to Ticoi.
348380	350380	That's how this happens.
350380	357960	This is not a facility that you can just go visit like if anybody is out in the area like
357960	363920	don't drive down to Ticoi and just think you're going to see something you cannot go
363920	365380	on there.
