start	end	text
0	12760	Hello?
12760	13760	What's wrong?
13760	14760	It's my boobs.
14760	15760	What?
15760	24760	I was on the internet and it said that one in eight women get breast cancer.
24760	30400	I just want my boobs to be okay.
30400	32200	My God.
32200	34680	I want your boobs too.
34680	36560	What?
36560	37560	To be safe.
37560	39920	I mean, I want your boobs to be safe.
39920	42080	And all the boobs in the world.
42080	43080	But...
43080	46020	But what can we do?
46020	52080	We will unite on Vlog TV to raise money to save all the boobs of the world.
52080	54640	People aren't going to watch us just for boobs.
54640	56280	Are you kidding?
56280	59440	This, my dear woman, is the internet.
59440	62720	Look, we'll give them an incentive.
62720	66800	For every X amount of money they donate, we will do a shot.
66800	67800	What?
67800	69320	So you mean we'll get drunk?
69320	70320	Yes.
70320	71320	For boobs.
71320	72320	Well...
72320	73320	Alright.
73320	76080	For boobs, then.
76080	76680	And boobs.
82080	87400	For boobs.
