start	end	text
0	4440	There's nothing like starting a new game of childhood to make me feel like a Pokémon
4440	5440	again.
5440	6440	Huh.
6440	7880	No option to play as a female character.
7880	9560	Wait, is that sexist?
9560	10560	Is this patriarchy?
10560	12080	Is this a trope versus women?
12080	13080	No!
13080	14080	Not here!
14080	15080	Not in my childhood!
15080	16080	I need a-
16080	17080	Get out of my childhood!
17080	19080	Oh god, I'm sorry.
19080	24520	Forgive me, sweet mother, dark mother, cold mother, kind mother, cruel mother.
24520	26320	Baby, I'm sorry.
30000	46800	I don't like arguing about feminism itself, because no one agrees what feminism means,
46800	50200	and if you call yourself a feminist you're vulnerable to what we might call the Trigglypuff
50200	54400	argument, where your opponent says, look at this dumb retarded feminist, and you end up
54400	58480	feeling like you have to apologize for something you never agreed with in the first place.
58480	62760	So let's just skip the debate about what feminism means, and about who is or isn't a feminist.
62760	66440	The important thing are the substantive issues, and one of the big ones is rape culture.
66440	67640	So let's start with that.
67640	71120	In the shitlord corners of YouTube, the consensus seems to be that there is such a thing as
71120	74960	a rape culture, but that it's only the province of Muslims and the blacks.
74960	77160	Sargon in particular has made this claim several times.
77160	80840	While I certainly agree that there are rape cultures in African and Muslim societies,
80840	83280	I don't think that we in the West are entirely off the hook.
83280	86680	I also think it's more important for us to establish whether or not there is a rape culture
86680	90560	in our own societies than it is to protest on behalf of people living in Africa, simply
90560	93960	because we have more influence over our own cultures than we do over what people are doing
93960	95260	in the Congo.
95260	98920	This is also my response to people who say, why are feminists complaining about first
98920	101800	world problems when there's still female genital mutilation in Egypt?
101800	105840	Well, if I could press a button and end female genital mutilation in Egypt, then I would.
105840	109000	But the truth is that I have no influence whatsoever over cultural traditions in North
109000	112480	Africa, whereas I do at least have a small influence over the people in my immediate
112480	113480	vicinity.
113480	116560	So if it turns out that there is a rape culture in America, then that has more of a moral
116600	119000	pull on me than whatever it is that people are doing in Somalia.
119000	122320	And to be clear, I'm not saying that you shouldn't care about female genital mutilation.
122320	125520	I agree that it's important to be an informed global citizen and all that shit.
