start	end	text
0	14000	Youtube Nomina-san, konnichiwa, atashiwa arisu, soshite, kochiwa moto na no, kawaine, atashi no mono da!
30000	37360	The mainstream media are now full of stories explaining the alt-right.
37360	43000	Even a Japanese newspaper interviewed me the other day about the Aruto Raito.
43000	46120	Aruto Raito nani?
46120	50840	Last month I made a video called Why White Nationalism is Wrong,
50840	55040	in which I argued that reverting multicultural societies to homogenous ones isn't feasible,
55040	59520	that the concept of whiteness is artificial and unstable, and that so-called white genocide is
59560	60560	a fiction.
60560	64480	In response to that video, some people accused me of stating the obvious, or expressed astonishment
64480	66440	that such a video was even necessary.
66440	67440	Other people said,
67440	70440	First and foremost, you are but a dog, and I am your master!
70440	73800	Oh jeez, I'm getting all hot under the corset.
73800	74800	What else we got here?
74800	75800	Hit it, dick!
75800	77960	Hitler was too moderate.
77960	82240	Hashtag gash yourself, it will do the rest of us a favor.
82240	84440	Typical Jewish humor.
84440	86720	Kill yourself, untermensch.
86720	90000	White Europe is the only possible Europe.
90000	96520	As an assumed gay transsexual, have fun when a pack of moderate islamists find you alone
96520	97520	at night.
97520	99520	I smell a cuck.
99520	100520	Cuck.
100520	101520	Cuck.
101520	102520	Cuck.
102520	103520	Cuck.
103520	104520	Maximum cuckoldry.
104520	109960	Yeah, cuck cuck cuck.
109960	112000	I got over 9000 of this type of comment.
112000	113720	I wonder where they all came from.
113720	114720	Fucking newgrounds!
114720	118600	Aren't these the same otaku shitweasels who harass women and ruin their lives for
118600	120400	criticizing video games on the internet?
120400	123880	Man, you'd have to be a genuinely deranged maniac to actually want to argue with these
123880	126880	people.
126880	131760	Hallo Leute.
131760	146800	In this video, we're going to talk about the 9th episode of the Nazi Nationalism.
146800	149880	Sorry, it's the costume.
149880	152760	So if you're a white nationalist who's thinking of calling me a cuck and a fag and
152760	156440	telling me to kill myself, I'm just going to assume that you've given up on all pretense
156440	161420	of rationality, and I will invite you to engage with some of my Nazi-punching comrades, and
161420	165340	you guys can all work this out the Homeric way, which is where this all seems to be headed
165340	166340	anyway.
166340	169020	But I hope it doesn't come to that, and people tell me I'm good at talking to the
169020	170020	far right.
170020	172380	I mean, there's a reason they call me the Nazi whisperer.
172380	174380	Come here, Fritz.
174380	182380	Sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk sk.
182380	185940	And the response to my white nationalist video wasn't all just cuck and keck.
185940	190300	There were also a lot of people making arguments, or at least the frail facsimile of arguments,
190300	192220	and arguments I can deal with.
192220	193820	I can make points against them.
193820	196580	I can make points contrary to them.
196580	201600	I can make points contra to tile eins, facts and values.
201600	205840	So I get some comments from nationalists presenting evidence that could, at least in theory, be
205840	208060	empirically verified or falsified.
208060	213360	For instance, the Muslims are pedophile raping terrorists theory, or the white genocide theory,
213360	217440	also known as ethnic displacement by savvy or white nationalists who know that white
217440	220320	genocide sounds like a crackpot notion, because it is.
220320	224360	Now in my first draft of this video, I went through and agonizingly debunked these claims,
224360	228640	arguing that the claims of an ongoing refugee rampage of rape and pillage throughout Germany
228640	232960	are unsubstantiated, that Sweden is in fact the rape reporting capital of the world, rather
232960	237120	than the rape capital as the far right claims, that the decline in white people as a percentage
237120	241060	in the total population of a country is not the same as a numerical decline in the white
241060	245080	population, that the birth rate among Muslim immigrants is rapidly declining and is likely
245080	248920	to decline even more in successive generations, and that the aforementioned points make the
248920	252960	whole ethnic displacement idea ridiculous, and that in general the factual information
252960	257340	of instant support of nationalism is almost entirely out of context statistics deceptively
257340	261800	cited by scaremongering goons in an effort to radicalize disillusioned young white men.
261800	263600	But I realized I was wasting my time.
263600	266600	For one thing, this debunking has already been done before, and better than I can do
266600	267600	it.
267600	269040	Seriously, go subscribe to Sean and Jen.
269040	273000	And if I focus on this specific peripheral stuff, the nationalists will just respond
273000	276360	saying that I didn't make an argument, that I don't have any arguments, that I didn't
276360	279840	make a single argument, that I didn't make any arguments, that I didn't make an argument,
279840	283000	that I didn't make a single argument, that I didn't make an argument, or that I don't
283000	284000	have any arguments.
284000	286460	Now, some of them are clearly just trolling me.
286460	290280	But I also wonder if they do really think that I'm ignoring the most important part
290280	294600	of their worldview, namely this idea that white people deserve their own homogenous
294600	295600	nations.
295600	298640	And if that's the most important idea to you guys, why don't we just get right down
298640	303200	to it instead of getting bogged down in pointless debates about facts and what is true.
303200	304200	Teilzweig.
304200	307720	Do white people deserve their own exclusive ethnostates?
307720	311960	So how do we argue for or against the idea that white people deserve their own ethnically
311960	312960	homogenous nations?
312960	316800	Well, it's not an empirical claim, so we can't support it or debunk it with evidence.
316800	321000	But when I look at the kinds of arguments that nationalists give, I see the same kind
321000	325640	of thing again and again, namely this idea that there's this great unfairness where everyone
325640	328520	gets to have their own ethnostate except for us.
328520	333520	You need to explain to whites why we can't have an ethnostate but Israel can.
333520	336080	What's wrong with wanting the immigration policy of Japan?
336080	338360	I'm proud to be Asian, said the Asian man.
338360	340880	I'm proud to be black, said the black man.
340880	343640	I'm proud to be white, said the racist.
343640	345200	Why do you hate white people?
345200	349480	I don't see your kind ever saying such things about other races.
349480	350480	Interesting.
350480	351480	Very interesting.
351480	354360	Now how do I respond to this?
354400	359120	Well, I'll begin by saying that the comparison between white nationalism and identity politics
359120	363800	causes like Black Lives Matter is spurious, because Black Lives Matter does not advocate
363800	368760	for the establishment of a homogenous black ethnostate where all other races are excluded.
368760	373040	And I condemn the ethnostate idea wherever it exists, including in Israel and Japan.
373040	374040	Hai.
374040	375040	Nien.
375040	376040	Hai.
376040	377040	Nien.
377040	378040	Hai.
378040	379040	Das ist vos.
379040	380040	Nani.
380040	381040	Shh.
381040	382040	Learn more Japanese vocabulary.
382040	383040	Hai.
383720	388280	Anyway, the idea that only white nations are multicultural or multiethnic is false.
388280	392340	Look at the demographics of China or India, and you'll see that both countries are populated
392340	393720	by a variety of ethnic groups.
393720	397980	In fact, if you look at the demographics of Peru, you'll find that the country is so diverse
397980	401240	that no single ethnic group comprises a majority of the population.
401240	405320	But here I am arguing with facts again, and white nationalism isn't about facts.
405320	406560	So what is it about?
406560	410780	Well, progressives may be thinking that it's about hate, and it kind of is, but based on
410780	415140	my experience immersed in white nationalist discourse online, I have to say that the more
415140	416820	predominant mood is fear.
416820	420860	And I don't just mean fear of Muslims or black people or other minority groups.
420860	425660	I mean a deep, existential fear of change and irrelevance and annihilation.
425660	430580	Behind all these memes and jokes, there's this kind of basic primordial dread of death
430580	431580	and nothingness.
431580	434900	Now let's take a look at a couple more comments to see what I mean.
440780	444700	Maybe that asteroid that brushed past Earth should have hit.
444700	451020	At least I wouldn't have to put up with trannies, gays, and sea Marxists wiping out my people.
