start	end	text
0	9000	No, I hope everyone knows I'm joking, particularly the majority of my subscribers are from America, but...
9000	13000	Do you think I was going to go to a subscriber list and speak like half and he's like,
13000	15000	what happened?
15000	25000	Because we get programs like Oprah and Montel and stuff like that, where you've got a stupid audience.
25000	27000	I'm so sorry.
27000	29000	I apologize.
29000	38000	You've got bearded ladies and everyone's fat, everyone's stupid, and everyone's into bread.
38000	41000	That's the impression you get from watching these days.
41000	45000	I like bread! I like bread!
45000	54000	See, we get like fucking upstairs downstairs in Doctor Who and all creatures great and small and all this other shit.
54000	57000	I don't watch television.
58000	60000	Honestly, I don't.
60000	62000	I don't either. It's weird.
62000	66000	I've probably watched about an hour of television in the last six months.
66000	68000	I don't even think I've watched television in the last...
68000	69000	It just forced me.
69000	70000	Yeah, me too.
70000	76000	I watch certain shows, but I don't watch it on television except from a house.
76000	78000	Or, yeah, it's about a house.
78000	79000	But even that show is kind of...
79000	82000	How important was it? No, it wasn't porn that I watched.
82000	84000	I watched that on my computer.
84000	86000	I want to watch the show.
86000	87000	I'm a normal person.
87000	90000	Or you, Jizz. That's not bad.
90000	94000	I eat steel hamburgers and I watch bread.
96000	99000	I'm sorry. It's an inside joke.
99000	101000	I missed it as well. I'm sorry.
101000	103000	I have a friend named Steel Hamburger and he says,
103000	106000	I don't watch TV, but I watch the hell out of some bread,
106000	112000	and I said, I eat steel hamburgers in my TV dinner while I watch bread.
115000	116000	Yeah.
116000	117000	Is that a joke?
117000	120000	Yeah. It's a hilarious joke.
120000	122000	I don't get your young humor.
122000	124000	Can you tell me at which point I'm supposed to laugh?
124000	125000	I'm sorry.
125000	126000	It's not the kind of joke when you...
126000	128000	I didn't understand it. I'm sorry.
130000	132000	You herded my feelings.
133000	136000	So, Tool, where are you headed to?
136000	137000	You're saying you're seeing your sister.
137000	139000	Is that over the Christmas period or...
139000	140000	Yeah.
140000	142000	Like a passing visit or what?
142000	144000	Yeah, over the Christmas period.
144000	145000	Yeah?
147000	150000	Isn't she somewhere near Canada?
150000	153000	No. That's where I grew up near Canada.
153000	154000	Sorry?
154000	156000	I said I grew up near Canada.
156000	159000	She lives sort of near New York City.
159000	160000	Okay.
160000	164000	And what do the other two do for Christmas?
164000	166000	What are your plans?
166000	168000	I don't usually go to Christmas.
168000	170000	What are your plans?
170000	173000	I don't usually plan stuff.
173000	176000	Try to avoid hearing Christmas music as much as possible.
176000	179000	Sorry, Nick. I'm struggling to hear you.
179000	180000	You say you avoid Christmas.
180000	182000	I avoid Christmas music.
182000	184000	Yeah. We'll just not go into any stores.
184000	186000	Yeah. We can't go into stores.
186000	188000	We're going to have a hard time.
188000	192000	I don't know. Maybe you can get your groceries delivered to you.
192000	193000	I want to.
193000	194000	Some places have that.
194000	195000	That would be amazing.
195000	197000	Whole foods, I think, will do it so expensive.
197000	201000	Even when you buy groceries yourself, it's expensive.
201000	205000	But, yeah, they have a delivery service.
207000	209000	Yeah, I want my food delivered to me.
209000	210000	Yeah.
210000	213000	Why should I go get food when it can go get me?
213000	217000	Well, I've got two potential videos coming up over Christmas.
217000	220000	One is me cooking Christmas dinner.
220000	221000	Awesome.
221000	226000	And the other is, hopefully, hopefully...
226000	229000	Shit, the audio has just broken up again.
229000	234000	Hopefully, I'm going to meet up with Thunderfoot.
234000	235000	Who foot?
235000	239000	He'll be, he'll be, he'll be on his way back to America.
239000	241000	So, there's a lovely video.
241000	243000	I've got time for that.
243000	244000	If we can...
244000	247000	He lives only about 30 minutes away from me.
247000	249000	So, hopefully, we'll meet up.
249000	253000	Oh, does he have, like, a residence in the UK as well?
253000	257000	Well, he's born and brought up here, wasn't he?
257000	261000	And happens to, his family home happens to be about 30 minutes away from him.
261000	262000	Oh.
262000	264000	I never would have noticed with his accent.
264000	266000	He was from the UK.
269000	271000	Well, I'm not being funny, but I can't believe it.
271000	278000	It's like when people say that Thunderfoot and myself sound the same.
278000	281000	I think it's absolutely ridiculous.
281000	282000	Yeah.
282000	285000	It's like they're saying all Americans sound the same.
