start	end	text
0	29000	Tell me, Lao Shih, what is the meaning of freedom?
29000	37240	The 21st Century's first great work of political philosophy is Charlie Goes America All Over
37240	42620	Everybody's Ass, Season 2 Episode 9 of It's Always Sunny in Philadelphia.
42620	46360	The episode begins with a dispute about smoking bans and bars.
46360	47360	I work in this bar.
47360	48360	I work here.
48360	50480	But that's because you have the freedom to choose to work here.
50480	53520	Charlie and Dee argue that they shouldn't have to work in a smoke-filled environment,
53520	57380	while Mac and Dennis argue that smoking bans are anti-freedom and un-American, prompting
57380	60300	Charlie and Dee to leave the bar to join an anti-smoking crusade.
60300	64280	Meanwhile, Mac, Dennis, and Frank plot to turn patties into the most American bar in
64280	65280	all of America.
65280	69800	We will open up patties as the most American bar in all of America, a place with absolute
69800	70800	freedom.
70800	74240	Their explicit intention is to create a space with no rules and no restrictions, a place
74240	75420	where anything goes.
75420	79260	However, it's clear from the ensuing discussion that they have a specific vision of what a
79260	84040	no-rules bar would be like—namely, a bar where they, the straight-ish white men, are
84040	88560	in charge, and where hot college co-eds want to go wild and remove their tops, like at
88560	99040	Mardi Gras in New Orleans.
99040	103680	The problem is that the allure of a no-rules bar soon attracts Frank's Vietnamese gambling
103680	107700	ring, as well as the degenerate McPoils, the presence of whom creates an environment where
107700	111160	hot college co-eds don't really feel like going wild.
111160	114800	This prompts Mac and Dennis to realize that having no rules doesn't really produce the
114800	118840	situation they were hoping for, but when they propose setting some boundaries, Frank throws
118840	124840	their freedom-loving rhetoric right back at them.
124840	128960	The situation at the bar soon devolves into a nightmare of milky incest, drug addiction,
128960	139760	weird Vietnamese music, and the gang all accusing one another of treading on freedom.
139760	143560	Dennis and Mac are finally forced to accept defeat, and the episode ends with them reluctantly
143560	150800	agreeing to call the cops.
150800	154480	This episode is so efficient at conveying the paradoxes of freedom, it should honestly
154480	156380	be taught in university courses.
156380	161400	It shows the way an abstract value like freedom is always invoked in particular circumstances.
161400	166300	It's always imagined as the freedom of specific people to do specific things without the constraint
166300	168140	of specific regulations.
168140	172940	So for Mac and Dennis, freedom means the freedom of Mac and Dennis to host a Girls Gone Wild
172940	177460	Mardi Gras-type situation without the constraint of rules banning toplessness.
177460	181380	It doesn't initially occur to them that the presence of Vietnamese gamblers and milk-guzzling
181380	184020	perverts might also have an inhibiting effect.
184020	187100	This general pattern is repeated when it comes to freedom of speech.
187100	191360	At the level of government, the US Constitution prohibits Congress from making laws restricting
191360	192560	the freedom of speech.
192560	196460	But in any given forum of discussion, you'll find there are always rules restricting what
196460	197460	you can say.
197460	201140	Let's take a look at 4chan, much celebrated as a den of total anarchy.
201140	202140	A RULES?
202140	204700	Wait, but I thought 4chan loved freedom.
204700	207660	I thought it was the most American image board in all of America.
207660	208980	Well thank god there's still Newgrounds.
208980	213640	Hold on, racism is not allowed on 4chan, except on B. But even on B you aren't allowed to
213640	215200	post about My Little Pony.
215200	216580	This is outrageous!
216580	218740	What about brony freedom, 4chan?
218740	222560	I will stand up for the bronies.
222560	226320	The point is, any forum needs to have a few rules in place in order to maintain the purpose
226320	228080	and functionality of the forum.
228080	231600	Now you might say, well, who do we trust to make the rules, and what's to stop the rules
231600	233920	from being abused once they're in place?
233920	238200	Well, welcome to the most basic problem of political theory, a problem that is unavoidable.
238200	242240	We'll always be arguing over what the rules should be, who gets to make them, and how
242240	243240	they should be enforced.
243240	247360	But just because the current rules suck, or are administered incompetently, doesn't mean
247360	252080	that we can or should have no rules, and not even 4chan disagrees with me here, at least
252080	253500	not in practice.
253500	257640	Because even if your forum is a den of fascism and child pornography, there will always come
257640	261100	a moment when everyone looks around at each other and says, maybe we need to set up a
261100	262100	couple boundaries.
262100	265420	It's a free country, bitch.
265420	269720	I don't know why brony posts are restricted to a specific section of 4chan, but I'm guessing
269720	273580	it was because bronies wouldn't stop posting their goddamn shit everywhere and it was driving
273580	275540	everyone crazy and ruining the site.
275540	279620	Likewise, the most American bar in America probably needs to have rules against gambling,
279620	283500	milk, and incest, at least if they want to maintain an environment where hot coeds feel
283500	284500	like going wild.
284500	288940	And universities probably shouldn't be hosting goddamn trolls whose only stated purpose is
288940	293180	Keck-triggering liberals if they want to remain spaces where intellectual discussion among
293180	296460	students and faculty with a diversity of viewpoints can flourish.
296460	300740	But this disinvitation issue has been seized by commentators like Dave Rubin, who object
300740	305180	to the cancellation of bullying dinguses with no redeeming value, or of commencement speakers
305180	309060	who are there to preside over a celebration more than to discuss ideas anyway.
309060	311300	And all of this gets blown way out of proportion.
311300	315260	The many right-wing speakers who regularly appear on college campuses are ignored, the
315260	319620	left-wing speakers who are disinvited are ignored, and Dave keeps harping on the left-hates-free-speech
319620	320780	talking point.
320780	321780	Why?
321780	325700	Well, because it allows him to adopt this phony neutral posture of a centrist defending
325700	329780	free speech, when what he's really doing is smearing and discrediting social justice
329780	333260	movements while sidestepping any deep engagement with their actual ideas.
333260	337460	Now I should say that disinviting speakers is not generally a good way to deal with proponents
337460	342160	of offensive views on campus, and students do sometimes abuse this approach to disinvite
342160	346260	speakers who actually do have something to say, offensive and false though it may be.
346260	350440	But Milo Yiannopoulos is nothing but an open saboteur of the discourse, and his absence
