start	end	text
0	7520	Welcome to my very scientific race laboratory!
7520	14360	May the pure light of reason guide us!
14360	33800	We'll begin by measuring the superior dimensions of the caucasoid skull.
33800	38840	Tis evident to every scientific inquirer that nature hath seen fit to divide the creature
38840	44280	man into several distinct classes, whereof a manifest hierarchy subsists.
44280	47480	Lord Foppington, what are you doing in my lab?
47480	50800	I'm delineating the crania of the plurality of humankinds.
50800	54000	Well the 18th century called, they want their ideas back.
54000	56920	Well the anime convention called, they want their wig back.
56920	57920	Foppington!
57920	58920	Get out of my lab!
58920	60720	Before I slice you on the slab!
60720	61720	Nay!
61720	62720	Nay!
62720	63720	Nay!
63720	64720	Nay!
64720	65720	Nay!
65720	66720	Nay!
66720	67720	Nay!
67720	68720	Nay!
68960	71500	90% of you fucking people you have to talk to in this line of work…
71500	73340	Where's my pepsi?
73340	74340	Part One.
74340	75900	Race and Biology.
75900	81460	Because racist pseudoscience has often served as an alibi to genocide, slavery, eugenics,
81460	85920	discrimination, imperialism, medical abuse, and torture, many people are understandably
85920	89480	reluctant to broach the subject of biology and race.
89480	93080	Unfortunately, this kind of reluctance can look like a kind of politically correct avoidance
93080	94120	of the truth.
94120	97540	So let's just do away with all the reluctance, and begin by seeking out an answer to the
97540	102060	question, is there any biological reality to race, following the evidence wherever it
102060	103060	may lead.
103060	104060	Yay, Varily!
104060	105580	How did you get there?
105580	107900	Apparently this hallway is just one long circuit.
107900	110500	Well go away!
110500	113480	Now if we're being honest with ourselves, it's very difficult to approach a topic
113480	117260	as politically loaded as race without bringing a lot of baggage to the table.
117260	121180	But one way we might try to start from a more objective standpoint is to try a thought experiment
121180	126100	proposed by the YouTuber Concordance, namely, to imagine that an alien species landed on
126100	130060	Earth with our understanding of genetics, but without our knowledge of human social
130060	131060	and political history.
131060	135200	Would it occur to these alien scientists to divide human beings into the conventional
135200	138680	racial categories of black, white, Asian, and so on?
138680	141100	The answer to this question is a pretty definite no.
141100	143340	Let's take a look at why.
143340	147420	Geneticists measure human variation by comparing the frequency of genetic markers between different
147420	148420	populations.
148420	153420	It's pretty well known that around 85% of genetic variation is found within groups,
153420	157300	meaning that any two individuals from different populations are not likely to be much more
157300	160500	different than any two individuals from the same population.
160500	165740	And only around 6-10% of total variation is found between continental groups, what might
165740	167940	imprecisely be called races.
167940	172300	Now 6-10% is not zero, so you might think there is some justification for traditional
172300	175020	race categories based on continental origin.
175020	180340	However, for most of human history there has been continuous gene flow between local populations,
