start	end	text
0	7980	You know, a lot of people are saying that Donald Trump is racist, a lot of people are
7980	8980	thinking that.
8980	9980	It's something I'm looking at.
9980	10980	I'm looking at a lot of things.
10980	15680	And some other people are saying that it's just the crooked liberal media trying to discredit
15680	16680	him.
16680	17680	But is it?
17680	19080	Let's find out!
19080	23240	But first, a word from a genuine and very real Trump supporter.
23240	27480	Hello there boys and girls, my name is Trump with a trans estoy.
27480	35320	And I'm here to sing you a song about a little thing called love.
35320	37000	This one goes out to Charlie!
44000	48960	So if you googled Donald Trump racism, you get a bunch of articles from liberal media,
48960	50760	sites like Slate and Huffington Post.
50760	53360	These articles all mention the same evidence of Trump's racism.
53360	57300	There's a series of allegations of racial discrimination in his casinos and hotels,
57300	61220	his reluctance to distance himself from white supremacists, his conspiracy theorizing about
61220	65760	Obama's nationality, his tendency to phrase things like a racist grandpa, his encouragement
65760	70100	of violence toward minority protesters, and of course his persistent stereotyping of Jews
70100	73980	and Blacks and Mexicans and Asians and Injuns.
73980	77660	All this sketches a picture of a man who is happy to exploit racism for political gain.
77660	81380	But if I'm going to convince people that Trump personally holds racist beliefs, I'm going
81380	85380	to need to present the kind of rigorous evidence and logic demanded by internet rationalist
85380	87980	skeptics with furry avatars or beards.
87980	89540	Why do these guys all have beards?
89540	91780	I guess they're trying to communicate a message.
91780	95980	Like thanks to the testosterone lozenge in my rectum, my thicket of pubes is at least
95980	98860	as robust as my face merkin.
98860	100580	My face is nothing like that.
100580	103940	It's smooth and pure.
103940	105940	Like a boy's face.
105940	108900	Like a doll's face.
108900	111140	Actually let's not psychoanalyze this too much.
111140	114740	I don't think any of us benefit from the internet poking around too much in our psyches.
115100	117420	In fact, don't look at me.
117420	118420	Now where was I?
118420	119420	Right.
119420	123060	Trying to prove that this corn silk tufted cheese puff of a man is racist.
123060	126660	Unfortunately it's pretty hard to prove what someone's private feelings and beliefs are.
126660	129420	Honestly, I have no idea what's going on in Trump's head.
129420	133820	For all I know it's just a kind of frothy bubbling sound, or like a monkey howling,
133820	135420	or crazy circus music.
135420	136420	I don't know.
136420	138820	I don't know what Trump does at night before he goes to sleep.
138820	142140	Maybe he reads Dostoevsky and wonders what the hell he's doing with his life.
142140	144540	More likely he just looks at pictures of his ex-wife.
144540	146140	But this is all just speculation.
146140	149620	Fortunately what really matters is not what he personally believes, but what he does and
149620	150620	says.
150620	153540	But in order to understand that, we have to consider it in the context of American politics
153540	154540	and race relations.
