start	end	text
400	5520	Mozart's 1787 opera Don Giovanni tells the story of the Spanish legend Don Juan,
5520	9840	a man who sleeps with as many women as possible because he thinks he can repent before he dies.
9840	14080	In Mozart's version, the Don seems at first like just a generic sexual predator prick.
14080	18080	When a woman accuses him of rape, he ices her old man and retreats to his palazzo.
18080	20400	But we soon learn something weirder is going on.
20400	24560	When one of his jilted lovers shows up, Don Giovanni's servant Leporello explains to her
24560	27440	that the Don keeps a catalog of all the women he's conquered.
27440	34560	640 in Italy, 231 in Germany, 100 in France, 91 in Turkey, and in Spain, 1003.
34560	38000	This catalog aria is what a boring white weirdo named Kierkegaard
38000	40000	called the most epic moment of the opera.
40000	42880	It's the moment that we learn that Don Giovanni is not just a predator,
42880	44800	but that he's actually fucking insane.
44800	48960	He doesn't care whether the women are young or old, beautiful or ugly, rich or poor.
48960	53200	He seduces them all the same, just to satisfy his manic urge to add them to the list.
53200	55840	In the 21st century, there are men who are really like this.
55840	59200	They're called pickup artists, and they want you to buy their erotic memoirs.
59920	61200	Oh man, here we go.
61200	87040	A lot has been said about how pickup artists are manipulative psychos who disregard women's
87040	90800	wishes and use deception and coercion to have sex that's borderline rapey,
90800	94080	and at best, highly quote-quote problematic, unquote, and italics.
94080	96480	I'm not going to repeat those feminist objections in this video,
96480	98960	because I assume that my audience is familiar with them already.
98960	101280	What I want to talk about instead is why.
101280	104880	Why do some men become obsessed with sleeping with a lot of women in the first place?
104880	108000	I mean, even some pretty normal dudes tend to start this macho bragging
108000	109520	when they get a few too many drinks in them.
109520	114000	A napkin and pen are produced, lists are drawn up, advanced algebra is involved,
114000	116480	there are scholastic debates about what counts as a lay.
116480	118640	But before I penetrate this topic too deeply,
118640	121680	I want to pull out to cock block some premature objections.
121680	124880	First, I'm not arguing that male promiscuity is in itself a bad thing.
124880	126720	I have no problem with man-sluts.
126720	128880	In fact, I'm a bit of a man-slut myself.
128880	132320	I'm just a girl who can't say no.
132320	134640	Second, I'm not saying that game is inherently wrong,
134640	137680	or that men shouldn't work to improve their appearance and social skills.
137680	139120	Hell, I do that myself.
139120	142320	I mean, I don't do 80 push-ups a day because I want to live longer.
142320	143280	Fuck that shit.
143280	145840	I do it because I want to look good with a backward swastika
145840	148080	betazzled on my shaved and oiled chest.
148080	150560	So why would a man want to sleep with hundreds of women?
150560	152640	Well, you might be thinking the answer is obvious,
152640	156240	namely that sex feels good and so it's natural that men would want to have a lot of it.
156240	159680	Well, that's what I thought too, at least until I probed a little deeper
159680	162080	and discovered how fucking naive that is.
162080	165600	A kind of famous pickup artist called Roosh V wrote a book called
165600	169520	BANG, which is a guide that purports to teach men to sleep with lots of women.
169520	173760	Now, the first thing I noticed about BANG is that the act of sex itself
173760	178240	is not described at all until page 111 of a 140-page book,
178240	181120	and the discussion lasts less than one page.
181120	184960	That's right, only four short paragraphs of this book are actually about branging.
184960	187760	There's one paragraph about how to put a penis in a vagina,
187760	190640	one paragraph about the three sex positions Roosh knows,
190640	193520	one paragraph about how being good at sex doesn't matter,
193520	196560	and one paragraph about how cunnilingus is a waste of time.
196560	199920	It is good stuff.
199920	204000	Roosh's total lack of concern for sexual technique actually comes as a real surprise,
204000	206160	since in the 111 pages leading up to it,
206160	209360	he shows meticulous care for every other aspect of seduction,
209360	211680	from the precise angle to approach a woman at the bar
211680	216480	to the detailed flowchart procedure for overcoming resistance to every stage leading up to sex.
216480	219280	It turns out that rejection is just like dying in a video game.
219280	221040	You start the level over and try again.
222480	223840	Never take no for an answer.
223840	226880	The rapey stuff aside, some of the advice he gives is actually decent.
226880	229920	Roosh knows how to single-handedly unclasp a bra in a second,
229920	233360	and he's scientifically discovered the least awkward way to get out a condom,
233360	235840	which he actually practices putting on quickly.
235840	239120	He's probably a fucking virtuoso at putting the condom on.
239120	241040	Make a video tutorial, Roosh.
241040	243360	Stop fucking whining about feminism.
243360	247040	Get the banana out and actually teach us something, you beautiful fool.
247040	249760	It's honestly kind of a relief when you get to the page of...
249760	254000	bang, about sex, because it's the only part of the book where Roosh relaxes,
254000	255920	until the moment the penis enters the vagina.
255920	258320	Congratulate yourself on the notch.
258320	261280	Roosh has been trying to control everything with scientific precision.
261280	266240	The fact that it's just anything goes with regard to sex itself is the tip-off that bang,
266240	268640	is not really a book about banging.
268640	272800	It's a guidebook on how to get a penis into a vagina by any means necessary.
272800	276880	The most absurd thing about Roosh is that he doesn't really seem to like sex very much.
276880	280880	He describes it as an act whereby a man inserts a rod-shaped mass of
