start	end	text
0	18360	Well, YouTube, I've been making videos for months now about the most controversial possible
18360	23820	topics, but recently it seems that only one person has had the god damn balls to make
23820	24820	a response.
24820	25820	And who's that?
25820	31980	Well, his name is the distribut- the distribution- look, I'm just gonna call him Chesterton,
31980	33820	because his avatar is a cartoon of G.K.
33820	34820	Chesterton.
34820	42420	Now look, Chesterton, we've got beef.
42420	46820	Take a seat, Chesterton, have some grapes.
46820	48820	Try the wine.
48820	53980	I trust you'll find everything sumptuous.
53980	57740	So Chesterton is a Catholic traditionalist YouTuber, and he's made a four-part series
57740	64020	of videos titled Lies of the Sexual Revolution, featuring Dan Savage, Laci Green, Lena Dunham,
64020	65020	and me.
65020	66900	Wait, why am I in this video?
66900	69220	These other people are way more famous than I am.
69220	70820	I guess that's good company.
70820	75020	I mean, Dan Savage is awesome, Laci Green does a public service, you know, her videos
75020	76220	aren't really for me, but-
76220	78420	Why do men think everything has to be for them?
78420	83460	Laci Green's videos are for naive 16-year-old girls, not jaded 28-year-old perverts, and
83460	84460	that's fine.
84460	88620	Anyway, he's put black bars over our mouths with the word LIES, so that's good.
88620	93300	In any case, I'm happy to be cast as a promoter of the sexual revolution, so let's do this.
93300	96920	And ladies, you may want to dig that bottle of Prosecco out of the back of the fridge,
96920	100660	because I'm gonna warn you in advance, this video is gonna be two weird men on the internet
100660	102860	debating about what kind of sex you should have.
102860	103860	I'm so sorry.
103860	128260	So
128260	133100	Chesterton's got beef with my video about pickup artists, remember, the one about BANG.
133100	137800	And of course, the feminist critique of Don Giovanni has the same problem of all feminist
137800	140100	critiques of pickup artists.
140100	144940	Once you acknowledge that consent is the only necessary requirement for it to be good, how
144940	148220	do you criticize a person who pursues it more earnestly?
148220	151620	He seems like a less hypocritical version of your everyday person.
151620	156200	Well look, GK, one of your main arguments in this video is that feminists have no ground
156200	160140	to criticize pickup artists, because you claim they believe that the only requirement for
160140	161580	good sex is consent.
161580	165040	But that's not what most feminists believe, not what I believe.
165040	168540	All consent does is establish that the sex is not rape.
168540	173140	And that, Chesterton, is a very low bar to set, both erotically and ethically speaking,
173140	174260	and I'm sure you'll agree.
174260	178080	There's all kinds of ways that consensual sex can be ethically questionable, for instance
178080	182260	if there's manipulation or deceit involved, or if a person with no emotional involvement
182260	185260	exploits someone with a lot of emotional involvement, and so on.
185260	188140	And pretty much any feminist I know will acknowledge this.
188180	192180	In fact, the raddest of the radfems think that pretty much all sex is problematic, because
192180	193660	of like, power dynamics.
193660	196360	Even if that's what they're into.
196360	198280	And as it happens, a lot of them are.
198280	201980	The feminist critique of the pickup artist mentality basically says that rouge and company
201980	206300	treat women as a mere means to sex, without any respect for their wishes or humanity.
206300	210840	In my video, I took the ethical issue as read, and basically just bashed rouge for being
210840	212320	a bad hedonist.
212320	217800	Because at least seeking pleasure is a worthwhile goal, whereas tabulating your bangs in a futile
217800	221800	effort to prop up your needy ego is, um, not.
221800	225400	So I took to Chesterton's comments section, and we had a brief exchange that got pretty
225400	227200	personal pretty fast.
227200	231240	He asked me if I knew how damaging sexual promiscuity could be to my partners, to which
231240	232240	I respond that...
238800	243280	Well, look, if we're talking emotional damages, I mean, there's gonna be emotional damage.
243280	244280	Of course there is.
244280	246080	Of course there's gonna be emotional damage.
246080	248960	We're all gonna be a little bit emotionally damaged, Chesterton.
