start	end	text
0	6000	My lords, ladies, and those that lieth betwixt,
6000	12000	Tis evident, nor sensation, nor the passions, Possess dominion over the mind of man,
12000	17000	Which is ruled instead by a reason Sovereign of all faculties.
21000	25000	It must needs be remarked that the power of the Commonwealth
25000	29000	Deriveth not from the despotical acquisitions of conquerors,
29000	35000	But from that covenant amongst men whereby they most resembleth the lobster.
60000	62000	So much for the tolerant Jacobins.
68000	71000	Reason. Power. Truth.
71000	74000	These are the kinds of topics that I simply don't care about.
74000	78000	Unfortunately, we have to talk about them because of a guy named Jordan Peterson.
78000	80000	So who's Jordan Peterson?
80000	87000	Wow. He's a psychology professor at the University of Toronto,
87000	91000	who got famous for sounding the alarm about how protecting transgender people
91000	95000	under Canadian human rights law shall surely lead to Stalinism.
95000	98000	Since then, he's been touring North America as a celebrity lecturer.
98000	102000	David Brooks called him the most influential public intellectual in the Western world,
102000	107000	and his self-help book Twelve Rules for Life is a national and international bestseller.
107000	110000	I'm starting to think we may need to take this guy seriously.
110000	115000	He's got a lot of fans on YouTube, and I hope you guys are here because I want to talk.
115000	120000	A lot of leftists who have responded to Peterson haven't really engaged with his ideas very much.
120000	125000	He's often caricatured, avoided, or talked past, as in the infamous BBC interview
125000	130000	where Kathy Newman keeps repeating back very uncharitable interpretations of everything he says.
130000	134000	So you're saying that by and large women are too agreeable to get the pay rises they deserve?
134000	136000	No, I'm saying that that's one component.
136000	139000	You're saying that women aren't intelligent enough to run these top companies?
139000	140000	No. That's murderous.
140000	142000	You're just saying these things, though, to provoke, aren't you?
142000	143000	I mean, you are a provocateur.
143000	144000	I never say anything.
144000	146000	You're like the alt-right that you hate to be compared to.
146000	151000	You're saying that we should organize our societies along the lines of the lobsters?
151000	156000	I think to people watching this, it comes off as if leftists are, like, afraid of his actual ideas.
156000	159000	But I'm not afraid of his ideas. I'm not afraid of anything.
159000	161000	I just smoked a bunch of fucking PCP.
161000	168000	Daddy.
168000	172000	So I spent the last couple weeks listening to hours of Peterson's lectures and podcasts
172000	177000	and reading his books, and honestly, I think I get why people like him.
177000	181000	Clearly, he has real talent as a public speaker, and as a kind of life coach.
181000	185000	His book, Twelve Rules for Life, echoes past bestsellers like Stephen Covey's
185000	190000	The Seven Habits of Highly Effective People or Rick Warren's The Purpose-Driven Life.
190000	193000	The difference is that Peterson takes basic self-help insights like
193000	197000	take responsibility for yourself, don't envy other people,
197000	201000	and he renews them with the intellectual trappings of psychology, philosophy,
201000	204000	Jungian psychoanalysis, and Bible readings.
204000	206000	He's telling us a pretty classic story.
206000	210000	Life is suffering, happiness is not enough to sustain you through suffering,
210000	212000	so you need a higher purpose in your life.
212000	216000	But I knew that already. I learned it at the AA meetings I refused to go to.
216000	219000	These are like basic insights of world philosophy and religion,
219000	223000	but they're insights that today's youths apparently haven't heard before.
223000	226000	I guess because not enough of them are alcoholics.
226000	229000	Or at any rate, they haven't heard them in a vocabulary they connected with,
229000	233000	so to a lot of people, Peterson's ideas seem new and urgent.
233000	236000	And I don't really object to any of the self-help stuff.
236000	241000	Most of Peterson's fans are young men, and I mean someone has to whip the neckbeards into shape,
241000	244000	and if Peterson can do that, more power to him.
244000	248000	I mean, sometimes boys just need a daddy, and sometimes girls do too.
250000	252000	But there's a big problem here.
252000	256000	And the problem is that all of this life coaching is basically just a Trojan horse
256000	258000	for a reactionary political agenda.
258000	262000	Peterson advocates an ethics of self-help not merely as a guide to private life,
262000	268000	but as a replacement for progressive politics, which he characterizes as totalitarian and evil.
268000	272000	There's no comparison between Mao and a trans activist, is there?
273000	274000	Why not?
274000	278000	The philosophy that's guiding their utterances is the same philosophy.
278000	283000	Now Peterson doesn't use the word progressive politics because that doesn't sound scary enough.
283000	285000	His new, scarier word is
285000	289000	postmodern neomarxism.
289000	294000	Now we have to be careful not to confuse postmodern neomarxism with cultural marxism,
294000	299000	the Nazi conspiracy theory about Marxist intellectuals plotting to destroy the West.
299000	302000	See, this is not the same thing as that, right? Right?
302000	307000	So look, I genuinely do not think Jordan Peterson is a fascist, and you may quote me on that,
307000	312000	but I am wondering, if it's not a fascist conspiracy theory about Marxist intellectuals
312000	316000	plotting to destroy the West, then what is postmodern neomarxism?
316000	319000	Well, JP, that's what I'd like to talk about.
319000	321000	So Jordan, sorry, Dr. Peterson.
321000	325000	Professor. Daddy. Let's talk.
325000	331000	For once, I'd like to actually treat this discussion with the seriousness and respect I think it deserves.
340000	343000	Mmm, that's good. That's a good temperature.
343000	345000	Hand me the oil, would you, Daddy?
347000	349000	Thanks, Daddy.
349000	353000	It's really an honor to bathe with a public intellectual of your stature.
