start	end	text
0	24000	Hello boys! I get a lot of people on YouTube calling me degenerate, but I'm still not
24000	28320	sure what that means. I try to be open to criticism, so I've decided that what I need
28320	33920	is a glorious knight of wisdom to set me straight, and I think I've found just the man. Some
33920	40820	call him the valiant champion of Mother Europe, the ever-chosen of the gods, the radiant paladin
40820	45600	of the Fourth Reich. But to this priestess of blasphemies, he'll always be the Golden
45600	46600	One.
46600	64680	Oh my god. Look at his butt. Oh my god. Daddy, can I have some meat? Looks like meat's back
64680	70640	on the menu, boys! Oh daddy. You know Lars, things have really changed since the last
70640	75280	time we talked. I'm a fair maiden now, to a certain extent, and I've been chaste since
75280	80040	I started my transition, so in a sense, I'm a virgin. And I don't know about the rest
80040	85200	of these decadent sluts, but I for one care about a little thing called purity. So, now
85200	89840	that my decade of gender dysphoric alcohol-drenched debasement seems to be coming to a close,
89840	94660	I think I'm really ready to begin the training, master. But first, let us fend off degeneracy
94660	100640	by purifying ourselves in a bath of Swedish lake water and pure absinthe. It's time.
100640	111640	Down, down, I always wanna die on my own. I never really cared until I met you.
130640	138400	What? Is this the bad kind of cultural appropriation? It is, isn't it? Well, mmm, they're shiny
138400	142720	and I want them. It's not my fault black people have good ideas. What am I supposed to do?
142720	149560	Not steal them? I'll pop it out. Alright, thou resplendent champion of the north, hit
149560	157680	me with your finest wisdom. I'm gonna go train some shoulders and admire myself in the mirror.
157680	163480	There's always a nice thing to do. Well, at least we agree on something.
163480	170880	Aha! Autogynephilic narcissistic spose! Abigail, isn't not invading women's bathrooms
170880	175360	like your whole thing? Misogynistic mental illness confirmed!
175360	181680	Abigail, what is your damage? Are you okay? How's your mom doing? Is everything alright?
188680	204960	You wanna get in the tub? Ow. So you're a lost baby girl and you're a game sweet prince.
204960	211080	He has an Instagram and it is delectable. Meets back on the menu, boys. He carries the
211080	223200	Charles Atlas Seal of Approval. What ho, you jaunty lads. My captain, my king. Yaaas.
223200	229480	If the golden one didn't exist I would have to invent him. I need him. And maybe you need
229480	235160	me too, Lars. I'm the moon to your sun, the Brune Hilda to your Siegfried. As you become
235160	239880	more of a burly mask, I become more of a silky fem. But you know, I'm noticing that even
239880	244280	though you're straight, you don't seem super interested in the bodies of the women in your
244280	250040	life. And this is just a casual suggestion, but maybe what you want is a fair maiden like
250040	255840	me. I'm not like the other girls. I've got the t's and the d. On second thought, leave
255840	261000	trans women alone. I don't want that blood on my hands. Well, this is no longer a relaxing
261000	268040	bath, and that's why we never bathe with fascists.
291000	299880	Well, I've locked my t, I've popped my e, let's talk about degeneracy. What are people
299880	304280	talking about when they call someone or something degenerate? Well, let's take a look at some
304280	309280	examples from my YouTube comments section and see if we can figure it out from context.
309280	313560	Transgender communist degenerate. Kill yourself you fucking degenerate tranny freak. Degen
313560	317960	tranny lal. Trannies grow out of their degeneracy by the time they're senior citizens, or at
317960	321280	least that's what I would assume since you never see old dudes in dresses. Lol what's
321280	326800	up with that? This is degeneracy. You oughta be slung from a tree. Everybody likes to rhyme.
326800	331160	You little homos are future cannon fodder, a bunch of physically weak degenerate dogs.
331160	332160	The end.
332160	336480	Aw, these people are trying so hard to upset me. They've only got one card in the deck
336480	337480	though, alas.
337480	342760	Anyway, what I'm gathering from that sumptuous sampling of the choicest fuckboys is that,
342760	347280	like a burly nord with his fair maiden, the accusation of degeneracy is usually paired
347280	348920	with a loathing of queerness.
348920	353120	Now it's not always just about queerness. In fact, fascists and social conservatives
353120	358880	use the word degeneracy as a catch-all term to refer to queers, non-whites, communists,
358880	363560	communists, people with disabilities, basically anyone who gets killed when the fascists win.
363560	367680	But where does the word degeneracy come from? Let's watch an instructional video to learn
367680	368680	more.
368680	376560	The word degenerate comes from the Latin prefix de-, which means away from, and the Latin
376560	381840	word genus, which means race or kind. So, to be degenerate is to no longer be of your
381840	386000	race or kind, and if you think this already sounds pretty fashy, you've been paying
386000	387000	attention.
387000	391920	The current use of the term degenerate crystallized in the 18th and 19th centuries, when Lamarckian
391920	396520	proto-evolutionary biology, bourgeois disgust toward the urban working class, and a growing
396520	401840	colonialist awareness of supposedly inferior ethnic groups gave rise to degeneration theory,
401840	406200	the idea that civilization is in decline due to biological devolution.
406200	410280	Hold on, are these the exact same dingbats responsible for scientific racism?
410280	415280	The exact same dingbats, yes, and one of the chief dingbats was the French aristocrat Artour
415280	420440	de Gabineau, one of the intellectual grandfathers of Nazism. Gabineau wrote a book called Essay
420440	424840	on the Inequality of the Human Races, in which he developed the idea of the Aryan master
424840	429320	race, warned that miscegenation would lead to social chaos, and gave the word degenerate
429320	431200	its modern fashy definition.
431520	432520	M'lord.
