start	end	text
0	29960	Death, death, death, death, death, is the only thing everyone fears.
29960	33120	And the only thing that gets me off.
33120	35440	Hello, my devilish darlings.
35440	42240	I am Lenora LeVay, your hostess of horror, your rare and radiant maiden of mayhem.
42240	46560	Tonight's program is about the death of meaning itself.
46560	48920	The story is rather simple, really.
48920	53280	The he's become she's, and the she's become he's, and those in the middle are them and
53280	54280	them.
54280	59920	And then, my dreadful dears, the western world shall surely succumb to renewable energy, affordable
59920	63480	health care, and video games for lesbians.
63480	71160	But there's one man who stands in the way, the villain of tonight's thriller, a meddling
71160	78200	little cipher of a man, a man who prefers light to darkness, reason to madness, order
78200	79200	to chaos.
79200	81600	Can you imagine?
81600	88360	His name is Ben Shapiro, and his catchphrase, facts don't care about your feelings.
88360	90600	Can our heroine put a stop to this?
90600	93400	Well, I'm just the executioner.
93400	96160	You, my vile viewers, must be the judge.
118360	129040	Hi girls, it's me, Ms. Points, Mademoiselle Poin.
129040	132200	Words, words, words, what do they even fucking mean?
132200	136760	Well, I don't know, and I don't care, but we have to talk about it anyway, because of
136760	138480	a boy named Ben Shapiro.
138480	140280	So who is Ben Shapiro?
140280	145840	Well, he's a popular conservative pundit, the editor of the Daily Wire, and the auteur
145840	150480	behind such criterion-collection classics as Ben Shapiro Destroys Yale Snowflakes, Ben
150480	155200	Shapiro Destroys Every College Snowflake Part 7, Ben Shapiro Crushes Anti-Free Speech College
155200	159720	Snowflake, and Ben Shapiro Destroy Caitlyn Jenner.
159720	165600	Ben's especially notorious for his provocative, controversial, politically incorrect, snowflake-smashing
165600	168240	refusal to call transgender people by their pronouns.
168240	171560	I'm willing to call Caitlyn Jenner Caitlyn Jenner, I'm not willing to call Caitlyn Jenner
171560	172560	a she.
172560	177120	It's surprising, you might think, for a person so insistent on the value of civil discussion.
177120	179120	And let's be civil, right?
179120	180280	That's the tone of the day.
180280	181280	I'm a fan.
181280	185880	But Ben seems to abandon civility in his discussions of trans people, preferring to fall back on
185880	186880	his edgier mantra,
186880	188560	Facts don't care about your feelings.
188560	192120	And you know, on this one point, I actually agree with Ben.
192120	195000	It's true, facts don't care about my feelings.
195000	199440	I dislike this trend toward regarding as a conclusive argument the proposition,
199440	201600	This makes me feel invalidated.
201600	206120	Because sometimes, things that make you feel bad, are true.
