start	end	text
0	5000	Sar, I'm gonna talk about Joe Roe once again.
5360	8360	But first, story time.
9400	11680	Chapter one, Anita.
12880	15800	The most famous bigot in American LGBT history
15800	18240	is a woman called Anita Bryant.
18240	20120	This is her story.
22080	25540	1977 was not a good time to be gay.
25540	27920	Is it ever really a good time to be gay?
27920	32920	In 1969, the Stonewall Riots forced gay rights
33740	35240	into national consciousness.
35240	38060	The first pride parades were held in the summer of 1970,
38060	41320	and in 1973, the American Psychiatric Association
41320	44100	declassified homosexuality as a mental disorder.
44100	46940	But only after gay activists disrupted their conference
46940	50380	and shouted, gay conversion therapy is torture.
50380	54940	We have abnormal urges, and we will not be silenced.
54940	57960	Because that's the only way to get anything done
57960	60420	in this country, you have to be super annoying about it.
60420	61660	They give you no choice.
61660	65740	On January 18th, 1977, Dade County, Florida,
65740	68640	known for such popular cities as Miami,
68640	70600	approved a law that added the phrase
70600	73020	affectional or sexual preference
73020	75000	to its nondiscrimination ordinance,
75000	77940	effectively banning housing and employment discrimination
77940	80000	on the basis of sexual orientation.
80000	84000	And it was just then, as things seemed to be getting better,
84020	86900	that Anita Bryant made her little appearance.
86900	90220	Anita Bryant, Miss Oklahoma!
90220	92140	Anita Bryant is a native Oklahoman
92140	94900	who once had a career as a pop singer, beauty queen,
94900	97700	and spokeswoman for the Florida Citrus Commission.
97700	101220	♪ Come to the Florida sunshine tree ♪
101220	104020	My twins love 100% orange juice from Florida
104020	105180	any time of day.
105180	106740	Orange juice from Florida!
106740	108900	It isn't just for breakfast anymore!
108900	112340	♪ Orange juice with natural vitamin C ♪
112360	115840	♪ From the Florida sunshine tree ♪
115840	118640	She was known for these TV commercials with the tagline,
118640	122040	A day without orange juice is like a day without sunshine.
122040	123480	Breakfast without orange juice
123480	125600	is like a day without sunshine.
125600	126440	Cute.
126440	128120	When Anita heard her pastor speak
128120	130120	about this nondiscrimination ordinance,
130120	133680	she felt a divine disturbance in her heart.
133680	134520	How touching.
134520	135960	According to the word of God,
135960	139960	it's an abomination to practice homosexuality.
139980	143020	As a mother, she would not stand for this.
143020	146100	So Anita wrote a letter to the county commissioner, saying,
146100	148300	As a concerned mother of four children,
148300	151380	I am most definitely against this ordinance amendment.
151380	153420	I have never condoned nor taught my children
153420	155320	discrimination against anyone.
155320	158380	But if this ordinance amendment is allowed to become law,
158380	161820	you will, in fact, be infringing upon my rights
161820	164760	and discriminating against me as a citizen and a mother
164760	166780	to teach my children God's moral code
166780	168660	as stated in the holy scriptures.
168660	170960	Anita, kill your shitty child.
170960	172440	When the amendment passed,
172440	174840	Anita created a campaign for its repeal,
174840	177760	the Save Our Children Coalition,
177760	179800	which sponsored provocative TV ads
179800	182040	implying that gay people are degenerates
182040	184920	who ruin communities and seduce children.
184920	186600	The campaign has been vicious.
186600	187880	With television commercials,
187880	189760	the Save Our Children group is appealing
189760	191560	to parental anxieties,
191560	194000	saying gays will flaunt their homosexuality
194000	195800	before impressionable children.
195800	197220	The Orange Bowl Parade,
197220	200620	Miami's gift to the nation, wholesome entertainment.
200620	203900	But in San Francisco, when they take to the streets,
203900	205740	it's a parade of homosexuals,
205740	208700	men hugging other men, cavorting with little boys.
208700	212140	Save Our Children sparked the first organized backlash
212140	214220	to gay rights in the United States,
214220	217140	escalating the conflict into a national controversy.
217140	219740	On one side were the gay rights activists
219740	221180	who argued that non-discrimination
221180	222860	was a matter of human rights.
222860	225540	On the opposing side, Anita Bryant argued
226280	227120	that the non-discrimination ordinance
227120	230680	would give special privileges to homosexuals.
230680	232040	We all believe in human rights,
232040	234800	but we don't believe human rights
234800	236480	that would corrupt our children
236480	239600	or for individuals to have special privileges
239600	241840	that would go against the constitutional rights
241840	243120	of normal America.
243120	245240	As long as they don't want to flaunt their homosexuality,
245240	247080	they have equal rights the same as anyone else.
247080	249880	In other words, gay people already have equal rights,
249880	252120	just as long as they stay in the closet
252120	253840	and don't do anything gay.
253860	255980	That's very helpful.
255980	258500	Thank you so much, Anita,
258500	263500	for standing up for our right to be gay in secret.
263940	265700	As long as they do their job
265700	267140	and do not want to come out of the closet
267140	269820	and force their homosexuality on me
269820	272220	in the areas of business or in the schools,
272220	274100	they can live their life,
274100	276300	and we're not going out after their jobs
276300	279060	or trying to get them out of their teaching jobs or housing.
279060	282620	Anita also argued that allowing flaunting homosexuals
282620	286440	to teach children was tantamount to gay recruitment.
286440	288520	Just biologically, that God made mothers
288520	289720	so that we could reproduce.
289720	293080	Homosexuals cannot reproduce biologically,
293080	296720	but they have to reproduce by recruiting our children.
296720	299240	It's the exact same argument that's being used today
299240	300520	by right-wing politicians
300520	303040	who claim that queer people are groomers.
303040	305520	Stop confusing our babies
305520	309160	with your groomer gender ideologue.
309160	312600	This wicked book, Me and Earl and the Dying Girl.
312600	316420	Sexually indoctrinated with wicked, vile books,
316420	317980	and she believes in traditional marriage
317980	319060	between a man and a woman,
319060	321020	and in that book, it talked about two moms.
321020	324500	Stay away from the children creep, or you will regret it.
324500	325820	People should definitely arm themselves.
325820	326660	I agree with that.
326660	328620	The Democrats are the party of pedophiles.
328620	331900	The Democrats are the party of teachers,
331900	333180	elementary school teachers,
333180	337260	trying to transition their elementary school-age children
337260	339300	and convince them they're a different gender.
339300	342380	They're just evil people, and they want to groom kids.
342960	343800	They're recruiting.
343800	345040	If you don't know what furries are,
345040	348960	it's where school children dress up as animals,
348960	352520	cats or dogs, during the school day.
352520	353920	They meow and they bark.
353920	356160	What a great country we live in.
356160	359040	I love it so much.
359040	360360	Gay people around the country
360360	363280	rallied against Anita Bryant and Save Our Children.
363280	366120	There was a national boycott of Florida orange juice,
366120	369080	with many gay bars taking screwdrivers off the menu
369080	371080	and replacing them with an apple juice
371100	374020	and vodka cocktail called Anita Bryant.
374020	376060	Let's make one now.
376060	377180	Forgot my cocktail measure,
377180	379660	so I'm just gonna have to eyeball this.
379660	381460	Just a dash of apple juice.
381460	382860	Give it a stir.
385260	386420	Needs a garnish.
388420	389260	Stunning.
389260	390780	I mean, it's not as good as a screwdriver,
390780	392780	but if I was in the 70s,
392780	394940	I would've thrown back so many of these goddamn things
394940	396620	out of pure spite.
396620	398300	There's a story that Troy Perry,
398300	399860	the founder of the gay-affirming
399880	401800	Metropolitan Community Church,
401800	403840	was on a transcontinental flight,
403840	405680	and when the attendant put a glass of orange juice
405680	406920	on his tray, he said,
406920	409760	take that away, I'm a homosexual.
409760	413240	At gay pride marches in 1977 and 78,
413240	415880	anti-Anita Bryant slogans featured prominently
415880	418080	on T-shirts, signs, and buttons.
418080	420320	Anita Bryant sucks oranges.
420320	423800	A day without lesbians is like a day without sunshine.
423800	424640	True.
424640	426480	And meanwhile, Anita's campaign inspired
426480	428400	more anti-gay legislation,
428400	431460	including bans on gay adoption and same-sex marriage,
431460	433600	both of which passed in the Florida Senate,
433600	436640	as well as the failed Briggs Initiative in California,
436640	439880	which would've forced public schools to fire gay teachers.
439880	441980	So Anita Bryant was worse than a bigot.
441980	443940	She was an influential bigot.
443940	446040	But she may also have helped to unify
446040	448080	and galvanize gay activists
448080	450200	by providing them with a common enemy.
450200	452400	According to historian Lillian Federman,
452400	454880	Anita Bryant created fervent activists
454880	456820	out of those who'd previously been content
456820	459260	simply to enjoy their newfound freedoms.
459260	461620	Federman cites Eric Hoffer's observation
461620	464780	that a mass movement can get along fine without a god,
464780	467060	but it won't get along at all without a devil.
467060	469020	For gay people all over the country,
469020	471460	Anita Bryant became that devil.
471460	474660	I think that she is rallying the community together
474660	476180	like I have never seen before.
476180	477980	There's no way I could've done it on my own.
477980	480620	So even though she succeeded in her initial goal
480620	482900	to repeal the nondiscrimination ordinance,
482900	485380	there is no question that in the long term,
485380	487220	Anita Bryant was the loser.
487220	488740	She took a lot of Ls.
488740	489580	Rip.
489580	490780	That must be super hard for her.
490780	492780	For the short remainder of her career,
492780	495140	gay activists protested her events,
495140	496860	they shut down the tour for her book
496860	499980	about how persecuted she was by the militant homosexual,
499980	502280	and they succeeded in turning public opinion
502280	504220	against Anita Bryant to the point
504220	506380	that she became virtually unemployable
506380	507940	in mainstream entertainment.
507940	509380	And a help that she came across
509380	511180	as kind of a judgmental prude
511180	512900	that even hip straight people
512900	515100	didn't want to be associated with.
515100	516700	Our top story tonight,
516700	519180	Anita Bryant, former mediocre actress
519180	521060	and orange juice promoter,
521060	523500	performed coitus in public yesterday
523500	526980	and started a campaign to promote heterosexuality.
526980	529900	We don't serve orange juice anymore.
529900	531980	Like she famously told Playboy magazine.
531980	534380	Why do you think the homosexuals are called fruits?
534380	535980	It's because they eat the forbidden fruit
535980	537220	of the tree of life.
537220	539100	God referred to men as trees
539100	541700	and because the homosexuals eat the forbidden fruit,
541700	542980	which is male sperm.
542980	544300	Oh my God.
544300	546740	Like the woman is heterosexual cringe.
546740	548460	This is how you lose the culture war.
548460	552860	♪ So let's all squeeze a fruit for Anita ♪
552860	555660	♪ That's the energy we're surrounded by ♪
555660	558220	And of course, there was the famous incident
558220	561020	where a gay activist smashed a banana cream pie
561020	563420	in Anita's face during a TV appearance.
563420	565700	And went into a place called Norfolk, Virginia
565700	570220	and were met with protest and all kinds of problems.
570220	572060	And every-
572100	572940	Oh!
574340	575660	Security agents, security agents.
575660	576660	No, no, let him stay.
576660	578180	No. Let him stay.
578180	580060	Well, at least it's a fruit pie.
580060	582060	Miami-Dade County finally reinstated
582060	584740	the non-discrimination ordinance in 1998
584740	588260	and they added gender identity to its protections in 2014.
588260	592660	In 2021, Anita took another metaphorical pie to the face
592660	596220	when her granddaughter, Sarah Green, came out as gay,
596220	597900	announcing her marriage to a woman
597900	600940	and publicly struggling with whether to even invite
600940	602620	her grandmother to the ceremony.
602620	606220	It's very hard to argue with someone who thinks that
606220	608180	like an integral part of your identity
608180	611540	is just an evil delusion.
612420	613620	That it is, Sarah.
613620	615420	That it is.
615420	617300	So that's the story of Anita Bryant
617300	619820	as students of LGBT history know it.
619820	622260	But isn't it a bit one-sided?
622260	625660	Wasn't there a lot of toxicity on both sides?
625660	629700	The Anita Bryant forces talk of absolute truth and morality.
629700	632420	Gay leaders are equally dogmatic about human rights.
632420	633740	A plague on both their houses.
633740	637020	Isn't it cruel even to slur Anita
637020	639060	as a bigot and a homophobe?
639060	642340	In fact, isn't it possible that Anita Bryant
642340	645380	was the real victim?
647780	648700	Oh no.
648700	649540	Oh no!
653300	654380	I can't do this anymore.
654380	655220	I'm eating my pie.
655220	656580	I'm eating my goddamn pie.
656580	659980	Chapter two, The Witch Trials of Anita Bryant.
659980	660820	God help us all.
661940	664180	The mainstream media would have us believe
664180	666940	that Anita Bryant is a so-called homophobe,
666940	669060	some kind of hateful bigot.
669060	671340	But isn't this just an authoritarian tactic
671340	673860	used to silence valid concerns?
673860	676700	Mothers in this country are worried about their children
676700	679460	going to school to be taught by perverts.
679460	682380	How can we be so sure that the militant homosexuals
682380	684580	weren't the real bigots?
684580	686860	Isn't it possible that Anita Bryant
686860	689300	was the first victim of cancel culture,
689300	692940	of, dare I say it, wokeism?
692940	695140	Well, no, that's the dumbest thing
695140	696700	I've ever heard in my entire life.
696700	698340	But suppose that you're an idiot,
698340	701020	and suppose that that's the narrative you wanted to promote.
701020	702940	Well, what would be your argument?
702940	704500	I mean, if someone put a gun to my head
704500	706460	and forced me to make that argument,
706460	708900	I'd probably say something like this.
708900	711700	Anita Bryant lived a difficult life.
711700	714500	In 1940, she was born into brutal poverty
714500	716060	in rural Oklahoma.
716060	718660	Her parents divorced when she was just two years old,
718660	720620	the same year she made her singing debut
720620	722380	at the Baptist Church.
722380	723620	Parts of my childhood,
723620	725700	I blocked out because it hurts too much.
725700	728060	I guess I was happiest when I was eight years old,
728060	729460	and my parents were remarried,
729460	731380	and I was baptized and came to know Christ
731380	732940	as my personal savior.
732940	736100	Her father abandoned the family again when she was 12.
736100	737620	It was real painful,
737620	739460	and it just about killed my mother.
739460	741500	She was a very submissive wife.
741500	744260	She was too submissive, and it angered me.
745020	746540	She let my dad step all over her.
746540	748940	Because of him, I think I went through life
748940	750940	for a long time hating all men.
750940	754340	Anita described her most intense adolescent memory
754340	756700	as a feeling of intense ambition.
756700	758220	A relentless drive to succeed
758220	760180	at doing well the thing I loved.
760180	765180	♪ Glory, glory, hallelujah ♪
765220	769580	♪ His truth is marching on ♪
769580	771900	But Anita's ambition conflicted
771940	773340	with her submissive role
773340	775700	as a traditional Christian woman.
775700	778540	In 1960, Anita married Bob Green,
778540	780180	Miami's top disc jockey,
780180	783300	with only after he relentlessly badgered her into it.
783300	785300	This is what heterosexuals do, fellas.
785300	786140	Yeah.
789020	792180	Green was allegedly a controlling and abusive husband.
792180	794220	Feminist Andrea Dworkin claims,
794220	796500	Green manipulated Bryant with a cruelty
796500	799220	nearly unmatched in modern love stories.
799220	801940	And Anita rationalized the abuse, saying,
801940	805100	Despite our sometimes violent scraps, I love him for it.
805100	807020	But while submitting to her husband
807020	808980	and raising four children,
808980	811020	Anita was still able to build the career
811020	812220	she'd always wanted.
812220	815660	By the 1970s, she was on the payroll of Big Orange Juice,
815660	817820	earning half a million dollars a year,
817820	819100	enough to move her family
819100	822900	into a 27-room Spanish mansion on Biscayne Bay.
822900	826340	So Anita Bryant struggled all her life for her success.
826340	828860	Did she really deserve to lose it all?
829500	831300	Just because she took a stand
831300	833140	for something she believed in?
833140	834900	Anita Bryant's role as a leader
834900	836940	in the campaign against homosexuals
836940	839500	may be hurting her campaign to sell orange juice.
839500	841140	Are you being blackballed?
841140	843660	Well, it looks that way.
843660	844940	It's worse than that.
844940	845820	We're being threatened,
845820	848020	and there's all kinds of harassment,
848020	849660	even with my job with Florida Citrus.
849660	853260	I have been blacklisted for exercising the right of a mother
853260	856340	to defend her children and all children
856340	859100	against their being recruited by homosexuals.
859100	861740	Her entire life had become a series of catastrophes.
861740	864380	She'd been dropped as spokesperson by the orange growers.
864380	865740	She had been dropped as a commentator
865740	867460	on the Orange Bowl parade.
867460	869460	She lost a television show contract.
869460	871220	Her bookings dropped drastically.
871220	874220	It destroys the dream that I have had since I was a child
874220	876540	to entertain and present wholesome subjects
876540	878420	to my fellow Americans
878420	882220	because I dared to speak out for straight and normal America.
882220	884940	No one has paid as dearly as Anita Bryant
884940	887260	for taking a public stand on something she believed in.
887260	891580	I remember lying in the bed in my mother's house
891580	893740	in a fetal position and wanting to die.
893740	895820	Gay activists in the 1970s
895820	897700	didn't exactly limit their tactics
897700	900860	to polite debate in the free marketplace of ideas.
900860	902660	Stop Anita now!
902660	904460	Stop Anita now!
904460	905300	Stop Anita now!
905300	907460	Homosexuals started fighting back.
907460	908980	The gays formed new groups
908980	911420	and picketed the performers' public appearances,
911420	913100	forcing her to cancel a few.
913100	916700	Gay activists routinely compared Anita to Adolf H.
916700	919620	They created pastiches of her orange juice slogan.
