start	end	text
0	5680	If you want to have an honest conversation about race on the internet, here's what you do.
5680	11280	You set your computer on fire, you flee to the forest, you drink a mimosa laced with toad venom,
11280	15040	and you simply wait for the wolverines to eat your legs.
17040	21200	Trust me, you're better off that way. Because if you look for videos on YouTube about race,
21200	26640	well, here's what you get. You get fascism, racist pseudoscience, racist debate fascists,
26640	31040	tag team title match tonight at nine, or if you're lucky, you get this.
31040	34560	So perhaps our legal system isn't going around willy-nilly convicting innocent
34560	38560	black people of crimes they didn't commit. Perhaps individuals who happen to be black
38560	42160	are making bad choices for which they have to deal with the consequences.
42160	46160	Racism isn't the explanation for everything bad that happens to black people. If blacks
46160	49840	are getting shot and going to jail more, it's their fault for committing crimes.
49840	54160	That's right, racial inequality in America exists because black people simply decide
54160	57520	to commit more crimes for no reason. I guess he's probably gonna blame the rap music.
57520	60320	Or deadbeat dads with their sagging pants.
60320	64160	I'd say that this is the most common right-wing view of race in America. It's not outright
64160	68640	fascism or race realism, but simply the classical liberal view that racial inequality is the
68640	74240	product not of injustice, but of black people simply deciding to make bad choices. Usually
74240	78720	this idea gets whipped out as a way to wave away the indisputable facts of racial inequality,
78720	81920	and dismiss those pesky protesters always complaining about things.
82320	84400	They make me uncomfortable and I don't like it.
84400	87280	This is what I'm going to argue against in this video. We're going to take a break
87280	91440	from talking about fascism. In the past I've focused too much on the alt-right. I think
91440	94800	we all have. I mean don't get me wrong, it definitely is a dangerous movement,
94800	98800	but it's just not the most consequential kind of white supremacy that exists in America.
98800	102080	In this video I want to talk about the real root of racial inequality in America,
102080	105280	which is the structural injustice that disadvantages many people of color.
105280	108880	And from now on I'm going to try not to get so distracted by this circus sideshow of
108880	114880	pepes and racist odinists and neo-nazi larpers. All that stuff, it's very last season. I'm kind
114880	120640	of over it. Oh god damn it. Hallo Leute. Fritz, get the hell out of here. No one cares about you
120640	126880	anymore. Nein, ich heiße nicht mehr Fritz. Nenn mich jetzt Freya. What? Ich bin jetzt eine Frau.
126880	132240	Great. Get out. Well don't you want to hear about my transition? No, I don't care. No one cares.
132240	137360	You're still a Nazi. Get out. But I'm trans. How could I possibly be a Nazi? That's a good
137360	142000	question. It's almost as if you're an irrational person and your worldview makes no sense. Get out.
142000	147520	She calls me a Nazi and yet she's the one trying to silence my free speech. An excellent example
147520	152320	of how truly fascist the left has become. Look, if your ideas stand up to rational scrutiny,
152320	155840	why aren't you willing to discuss them in the free marketplace of ideas? Well I'm going to discuss
155840	160640	them in the free marketplace of ideas as soon as you get out of my room. Mom, get out of my life.
160640	165360	Well can we at least talk about the Jewish question? No. It's just ideas. What are you
165360	168880	afraid of? I'm afraid that I'm going to have to blow the tabby whistle if you don't get out of
168880	175120	here in ten seconds. Ten. Nine. Oh baby, come on. I thought you liked to be. Six. You used to whisper
175120	182640	to me so sweetly. Will not anymore. Well do you at least want to buy some Vitalimax? Okay, Jesus.
185040	188960	I don't like doing this. I prefer to have conversations about disagreements. I don't
188960	194160	enjoy waving a bat around and hissing like a cat but it's these people, they just give you no choice.
194160	197920	Where were we? Right, so racial injustice. When I talk to people about this issue,
197920	201840	they often claim to have this experience that leftists react to them in two ways.
201840	206400	One, by saying you're racist. And two, by saying it's not my job to educate you.
206400	210480	And I'm sure this isn't as universal as people say it is, but it does seem to be an experience
210480	214560	a lot of people have. And that's not good, because most people are pretty ignorant about this,
214560	219760	no offense. And there's no shortage of fascists, race realists, and classical liberals who are
219760	224880	more than happy to educate people in their own special way. So as I see it,
224880	228960	the left needs to step it up. Now to be fair, if you're bothering random people of color on
228960	233520	Twitter to demand they explain racism to you, you're being kind of an asshole. And it's true,
233520	237840	it's not their job to explain it to you. They have other shit to do with their lives. But I,
237840	241920	on the other hand, do not have anything better to do than swerve wildly out of my lane and
241920	245920	white-splain racism to you for the next 20 minutes. Because it kind of is my job,
245920	252960	and I have all the time in the world. It's a funny thing, time. Whose job is it to mend
252960	257280	the crimes of history? Do we have to take responsibility for things that happened a
257280	263280	long time ago? I don't even take responsibility for things I did before July. This person,
263280	268240	who the fuck is that? No, I don't have any white guilt. That's not what this is about.
268240	272560	That's just more white narcissism is what that is. So wipe away those white-ass tears. Here,
273360	274560	I'll pick you out a cotton ball.
285520	287280	1. Freddie Gray
287280	292720	On April 12, 2015, three police officers near a housing project in West Baltimore arrested a
292720	297760	25-year-old black man named Freddie Gray because he was carrying a spring-assisted knife that
297760	301520	maybe was illegal? They handcuffed him and loaded him into a police van.
302640	308320	When the van arrived at the police station, Gray was in a coma for some reason,
308320	313680	with three fractured vertebrae and his spine 80% severed at the neck. A week later, Gray died of
313680	317840	his spinal injury while the Baltimore police released contradictory and inadequate information
317840	322080	about his arrest. This led to widespread protests all over the city, eventually culminating in the
322080	326480	notorious Baltimore riots. Now you might be thinking, what does this have to do with racism
326480	329520	if black people don't want to be killed and they shouldn't commit crimes and run away from
329520	334240	the police? Well, the first problem with that is that extrajudicial executions for nonviolent
334240	338880	crimes shouldn't really be a common thing in a civilized democracy, and it's a little alarming
338880	342960	to me how quick you are to defend this. And the other problem is that that's a very superficial
342960	347200	analysis that refuses to examine the deeper reasons why black neighborhoods tend to have
347200	351680	more poverty, more crime, and are subject to more aggressive policing. So let's delve a little
351680	355840	deeper, starting with Freddie Gray as a case study. Gray had a long arrest record of mostly
355840	360080	drug offenses, and a lot of conservative commentators brought this out as evidence that he
360080	365840	was no angel. The implication, I guess, is that Gray simply got what was coming to him, that he
365840	370080	deserved to die. But why did he commit all these crimes in the first place? I don't think he was
370080	375280	selling drugs for lack of entrepreneurial ambition. Did he just do it for no reason?
