start	end	text
0	15720	Ladies and gentlemen, a fascist.
15720	23120	My fellow Americans, a war is about to be waged between everything you love and everything
23120	24600	you hate.
24600	29200	Our very right to exist as a people is under attack.
29200	34600	Human invaders disguised as immigrants and refugees are being imported to our lands
34600	37560	by a cabal of globalist elites.
37560	43440	And if we don't stop it soon, the result will be rape, chaos, and the end of civilization
43440	44560	as we know it.
44560	49160	I want you to imagine the faces of your wives and children.
49160	53320	Picture their pure, white, innocent faces.
53320	59840	Now, watch as those same wives are violated, those same children dashed to pieces under
59840	63120	the black boots of the Third World Horde.
63120	65440	Does that thought fill you with rage?
65440	66680	Good.
66680	69280	We must be prepared to fight.
69280	76480	To fight for our children, and for our nation, and for our history, and for our culture.
76480	82640	To fight for the homeland we've always known, and the people we've always loved.
82640	85440	Make America great again.
85440	87440	Hail victory.
98240	101040	Ladies and gentlemen, a leftist.
101040	116040	So, actually, according to Hegel, the for itself can only be actualized through the
116040	122680	anitself, so the individuation of the subject necessarily demands the transcendence of the
122680	127640	dialectical object through the sublimation of negative materiality.
128640	131640	Oh, fuck you, you fucking racists.
131640	133640	Death to capitalism.
133640	135640	Hail Satan.
158640	162640	So, that speech didn't go too well, huh?
162640	164240	Well, what do you expect?
164240	169120	We have the politicians against us, a media run by giant corporations, and a complacent
169120	172120	white middle class that prefers order to justice.
172120	174640	Opposition to leftism is hardly surprising.
174640	176720	So, let's accept that all of that's true.
176720	177720	The game is rigged.
177720	178720	Fine.
178720	180760	Now, how do you respond to that situation?
180760	184400	Do you change nothing about your strategy at all and then blame the system when the
184400	188400	predictable happens, or do you try to improve your rhetoric somehow?
188400	192560	Look, I don't really need optics advice from a bougie queer esthete who puts style
192560	197240	over substance and thinks that shining a pink light on everything can cover up her counter-revolutionary
197240	199400	Trotskyite tendencies.
199400	201400	I mean, are you even a communist?
201400	202400	No.
202400	204400	I'm not a communist.
204400	205400	Well, why not?
205400	206400	Mmmmm.
206400	208400	I like stuff.
208400	212400	I like this, and I like this, and I like this.
212400	214400	And that's why I can't be a communist.
214400	220400	Justine, you do realize that Marxism distinguishes between private property and personal property, right?
220400	224400	You're allowed to own possessions, you just can't exploit people by owning the means of production.
224400	227400	Well, most of my stuff was made by Chinese slaves.
227400	228900	Well, you should feel bad about that.
228900	230400	Look, I'm just trying to help you out here.
230400	232400	Queer eye for the Marxist-Leninist, you know.
232400	235400	Actually, I'm an anarcho-syndicalist.
235400	236400	Right.
236400	239400	Do you have any friends who aren't leftist militants?
240400	242400	That's what I thought.
242400	245400	You know, Tabby, people think you're weird.
245400	247400	And they're afraid of you.
247400	249400	Well, fascists are afraid of me.
249400	250400	Really?
250400	252400	Well, let's take a look at your Twitter feed.
252400	257400	Let's see, we've got guillotines, Soviet memes, liberals get the bullet too.
257400	260400	Bitch, no wonder why everyone thinks you're some kind of scary terrorist.
260400	265400	Okay, Jesus, let's hear your mind-blowing revelations about respectability politics.
265400	266400	Great.
267400	270400	Let's start by taking a look at these patches and pins.
270400	271400	Positives first.
271400	273400	The rose is great.
273400	274400	Love the rose.
274400	275400	Fantastic.
