start	end	text
0	9440	Bring me another bottle of Moab, told you Antoine.
9440	12440	Apparently the world is ending.
12440	15440	But where is he?
15440	19440	Sometimes I'm so goddamn beautiful it makes me want to throw up!
19440	22440	Ugh, I'll get it myself.
30000	49000	Antoine?
49000	50000	There you are.
50000	53000	Ugh, it's this nerd again.
53000	59000	Hey Doc, can you bring me my smelling salts please?
59000	60000	I'll think about it.
60000	62000	Have you watched my video yet?
62000	64000	The one about the apocalypse?
64000	66000	No Marie, it's not about the apocalypse.
66000	68000	It's about how to stop climate change.
68000	71000	You goddamn liberals always want me to watch some video on YouTube
71000	75000	where some boring transsexual lectures me about social justice.
75000	76000	Well I can't stand that.
76000	79000	Well why don't you watch a few minutes and then I'll bring you your smelling salts.
79000	81000	This is extortion.
81000	84000	You're sinking to this just to shove your liberal agenda down my throat.
84000	85000	My god.
85000	87000	You cucks will stop at nothing.
87000	89000	That's right, open wide.
89000	90000	No.
90000	91000	No.
91000	92000	No.
96000	97000	Welcome to the lab.
97000	100000	The lab of aesthetic climatology.
100000	103000	Is it hot in here or is the world just like this now?
103000	107000	Imagine that this is the Earth.
107000	110000	This is what the Earth would look like if you stabbed it with a giant knife.
110000	115000	In 1976, a beta cock named Al Gore led the first congressional hearings on global warming.
115000	119000	For the next several decades, he devoted much of his career to raising public awareness
119000	121000	about the grave predictions of climate science,
121000	126000	in particular the disastrous effects of global warming induced by industrial carbon dioxide emissions.
126000	132000	Gore's activism culminated in 2006 with the release of his documentary An Inconvenient Truth.
132000	136000	But a month before its release, Comedy Central aired an episode of South Park
136000	140000	ridiculing Gore as a hysterical buffoon obsessed with warning the nation
140000	143000	about a mythological creature called Man-Bear-Pig.
143000	148000	He is half man, half bear, and half pig.
148000	152000	The episode portrays Gore as a narcissistic, attention-seeking alarmist,
152000	156000	an issue-haver, a care-about, a sibilant moral f**k.
156000	158000	I'm super serial, you guys.
161000	164000	We all had a good laugh at Gore's foolishness.
164000	172000	After all, no one likes a complainer, a critic, a moralist, a killjoy, a naysayer, a bearer of bad news.
172000	177000	In fact, a lot of us probably remember Man-Bear-Pig better than we remember An Inconvenient Truth.
177000	182000	A lot of the backlash against Gore seems to fit a pattern described in the brilliant video essay
182000	185000	Why Are You So Angry? by Innuendo Studios.
185000	189000	Part two of the essay describes a phenomenon I'll call the Angry Jack Effect.
189000	190000	It works like this.
190000	193000	You're at a barbecue shoving brisket into your front hall
193000	197000	when you notice the person seated next to you declines to eat any meat because they're vegan.
197000	200000	Your immediate instinctual reaction is anger at the vegan
200000	202000	because even if they're not really judging you,
202000	208000	the mere fact that they're a vegan means that they probably have reasons for not eating meat.
208000	212000	And that means there might be reasons why you shouldn't eat meat.
212000	215000	So what you do is you lash out at the vegan and you tell them,
215000	217000	Oh, so you think you're better than me, huh?
217000	222000	Well, I'll have you know that eating meat is perfectly natural and, um, evolution
222000	226000	and people who don't eat meat, well, their bones fall out.
226000	229000	And besides, you're a hypocrite anyway because more animals die
229000	233000	when they plow the fields for your stupid fucking vegetables, you moral jerk.
233000	236000	Of course, this is not really a rational response to the situation.
236000	240000	This is you subconsciously protecting your ego from potential guilt,
240000	243000	from the potential accusation that you're a bad person.
243000	248000	And you're protecting the lifestyle that you enjoy and are accustomed to from a potential threat.
248000	252000	And this is essentially how people have been reacting to Al Gore for decades.
252000	255000	He's a fun-ruiner, criticizing our high-emission way of life.
255000	258000	And instead of engaging sincerely with the critique,
258000	261000	we lash out at him so we don't have to think about it.
261000	265000	The problem is that, scientifically speaking, climate change is in fact real.
265000	267000	And Gore was right all along.
267000	270000	Oopsie doopsie!
270000	273000	So now it's current year and the global temperature has risen one degree Celsius
273000	278000	above the pre-industrial average, which is on track with the projections presented in Gore's film.
278000	281000	Now one degree doesn't sound like much, but to get a sense of scale,
281000	287000	consider that the last ice age was only 4.5 degrees Celsius cooler than the 20th century norm.
287000	290000	We are already at one degree warmer than the pre-industrial average,
290000	295000	and current scientific models put us on track for three degrees warmer by the end of the century,
295000	300000	an outcome that would, among other catastrophes, completely flood Shanghai and Miami.
300000	303000	Scientists have long recommended that we limit warming to two degrees
303000	305000	in order to avert global cataclysm.
305000	308000	But the latest report from the Intergovernmental Panel on Climate Change
309000	314000	warns that even two degrees of warming could result in an iceless Arctic summer at least once a decade,
314000	316000	the destruction of nearly every coral reef,
316000	321000	and a heightened frequency of tropical cyclones, droughts, and famines around the world.
321000	324000	The report therefore recommends that we limit warming to 1.5 degrees,
324000	329000	a goal that requires drastic and unprecedented reduction in emissions within the next 12 years,
329000	332000	and net zero emissions by 2050.
332000	336000	But even limiting warming to two degrees requires a significant reduction in emissions.
336000	341000	Otherwise, we're on track for three degrees of warming, and possibly even four or more,
341000	344000	a situation that could be near-apocalyptic.
345000	349000	Look, Doc, this is just the same liberal media bullshit we've all heard for decades.
349000	351000	Weather changes sometimes.
351000	353000	You were just talking about the Ice Age.
353000	355000	First it was cold, now it's getting warmer.
355000	356000	That's just nature.
356000	360000	Do you honestly think that all the world's leading climate scientists
360000	365000	just forgot to take into account that weather changes sometimes?
365000	368000	Isn't it obvious to you that this whole guilt trip about carbon emissions
368000	370000	is just an attack on the American way of life,
370000	374000	another excuse for big government to take away my freedom?
374000	376000	What freedom? Are you an oil company?
376000	378000	Well, what if I sexually identify as an oil company?
378000	380000	Isn't that what you liberals think?
380000	381000	My identity is valid.
381000	382000	No it isn't.
382000	384000	Bring me my smelling salts.
384000	386000	Watch the goddamn video.
389000	391000	Imagine the year is 2100.
391000	394000	I want you to picture the Earth as a human vagina,
394000	396000	and imagine you're a gynecologist,
396000	400000	and you're using a speculum to examine the inside of a watermelon.
400000	402000	How does that make you feel, kids?
402000	405000	I bet you wish your irresponsible, gas-guzzling parents
405000	407000	had done something to stop this.
407000	410000	So, we may have a global climate catastrophe fast approaching,
410000	413000	but at least our political leaders are responsible,
