start	end	text
0	25640	Excuse me, what about the alt-left that came charging at the, as you say, the alt-right?
25640	28800	Do they have any semblance of guilt?
28800	34280	A local World War 2 veteran wants you to hear and see this next story because he's worried
34280	39320	what he fought against so long ago is making a comeback here in the United States.
39320	40800	He believes what happened.
43800	44800	Scheisse!
45800	50800	Hi, in this video I'm going to talk about how to recognize a fascist.
50800	59640	To begin, let's take a look at what fascism is.
59640	62400	Contemporary fascists share three core beliefs.
62400	63400	1.
63400	67760	People of European heritage are or ought to constitute a biological, cultural, and political
67760	72400	unity known as the white race, sometimes dog-whistled as Western culture.
72400	73400	2.
73400	77320	Jews are masterminding the destruction of the white race through multiculturalism and
77320	82720	non-white immigration, a plot that fascists call white genocide or ethnic replacement.
82720	83720	3.
83720	88640	The only way to save the white race is to establish a white homeland, or ethnostate,
88640	91600	from which non-whites and degenerates must be purged.
91600	95520	Now as I've argued in past videos, all three of these beliefs are false.
95520	98360	So what is it that's attracting people to fascism?
98360	102720	Well let's take a look at a contemporary Nazi propaganda video and see if we can figure
102720	104320	that out.
105120	108200	Who are you?
108200	112520	I'm not talking about your name or your occupation.
112520	116560	I'm talking about something bigger, something deeper.
116560	123760	I'm talking about your connection to a culture, a history, a destiny.
123760	128520	Our ancestors had a very strong sense of their identity.
128520	135400	They could say, I'm a Roman, I'm a Saxon, I'm a Dane.
135400	140800	Good news boys, you no longer have to be some schlubby fuck riding the escalator at IKEA
140800	146120	thinking about how much you hate your job as a marketing and communications associate
146120	151200	because the sun hath risen on the day wherein you take your father's claymore in hand
151200	156600	and defend Voltaire and adorable blonde children against black civil rights.
156680	160240	You know, just like the Vikings did.
162720	168840	We're often told that being an American, or a Briton or German or any European nationality,
168840	175280	is about being dedicated to a collection of abstractions and buzzwords.
175280	176800	Democracy.
176800	178000	Freedom.
178000	179760	Tolerance.
179760	182640	Multiculturalism.
182680	189120	But a nation based on freedom is just another place to go shopping.
189120	196120	So life is basically sad, and in capitalist society that sadness is a sense of isolation,
196120	200880	an anxiety that there's nothing more to life than acquiring 1990s collector's edition
200880	205600	Tampa Bay Buccaneers slash Slim Jim Biersteins until you die.
205600	209440	Fortunately, thanks to fascism, you don't have to.
209480	214240	Fascism promises you a part in something greater than yourself, a homeland for your people,
214240	219120	a sense of belonging to a tradition that stretches back thousands of years, and as far into the
219120	220120	future.
220120	224480	Just be sure to be extra proud of the parts of your heritage that involve buying and selling
224480	226680	other human beings as property.
226680	231240	The most basic way to resist fascism is to recognize its propaganda for what it is.
231240	235520	The idea that appreciating European culture is in some way linked to establishing a white
235520	237840	ethnostate is just nonsense.
237840	242840	Your enjoyment of Beethoven or white babies or whatever it is you get off to is in no
242840	247600	way impeded by the proximity of people with different skin colors and traditions.
247600	252280	And it certainly does not require nation, culture, and geographic ancestry to all become
252280	253560	the same thing.
253560	257720	But in order to recognize fascism, you need to do a lot more than reject the most overt
257720	258720	propaganda.
258720	262600	In the wake of the disastrous alt-right rally in Charlottesville earlier this month, the
262600	265000	Nazis have been driven back into the shadows.
265000	269200	At least two of their major websites were shut down, confederate monuments were removed
269200	273520	all over the country, and several prominent fascists have begun backpedaling.
273520	277120	None of this means fascists will go away, it just means they'll have to be more subtle
277120	278120	and indirect.
278120	282440	Shortly after the Charlottesville rally, a post titled Fixing the Alt-Right appeared
282440	287000	on Poll, the image board where millennial Nazis talk strategy and trade pictures of
287000	289320	Japanese nymphettes.
289320	292320	The post outlines some basic fascist strategy.
292560	297120	Don't get trapped in an echo chamber where you can no longer relate to normies.
297120	301160	Pretending that Charlottesville didn't massively push the average white person away
301160	303120	is really stupid.
303120	307000	We have a chance to actually make changes now that Trump has shifted the overtone window
307000	311720	to the right, but we need to be smart and make the movement appealing to the average
311720	312720	white person.
312720	314720	And the way to do that is…
314720	319040	Disavow all Nazi slash KKK edgelord larpers.
319040	323360	There is no way to lose public support quicker than going around making Nazi salutes and
323360	327860	holding tiki torches while chanting Jews will not replace us.
327860	331320	This instantly makes the average person hate you.
331320	336440	Build a populist movement with realistic, incremental, overt goals.
336440	342320	Repealing the 1965 Immigration Act and replacing it with something that both limits total immigration
342320	348040	and prioritises white immigration is an actual, tangible political goal.
348040	353200	Keep the long-term goals covert and don't ever reveal your power level.
353200	358720	Talking openly about a white ethnostate only leads to failure and the average public turning
358720	360100	against you.
