start	end	text
0	10800	Hi guys, it's me, Tiffany Tumbles, transgender, YouTube sensation.
10800	12720	Welcome to my world.
12720	15720	Every week I upload new beauty and makeup tutorials.
15720	16720	Come get ready with me.
16720	23240	So I'm going to go in with the color snowflake from my winter rose palette using a flaunt
23240	24240	325 brush.
24240	25240	Smoke it out.
25240	28240	You want to just kind of zhuzh it.
28240	29680	That looks bomb.
29680	30680	It's major.
30680	31680	I'm vibing it.
31680	32680	I'm obsessed.
32680	33680	It's literally snatched.
33680	34680	Love, love, love.
34680	35680	Yes.
35680	36680	Okay.
36680	37680	I'm not living for it.
37680	38680	Oh my god.
38680	39680	I think I glued my eye shut.
39680	40680	Fuck.
40680	41680	But I'm not just a pretty face.
41680	42680	I also share plenty of opinions about controversial social and political issues.
42680	43680	Even though I'm trans, I refuse to be a victim, because I prefer to take control of my own
43680	44680	life.
44680	45680	I'm a woman.
45680	46680	I'm a woman.
46680	47680	I'm a woman.
47680	48680	I'm a woman.
48680	49680	I'm a woman.
49680	50680	I'm a woman.
50680	51680	I'm a woman.
51680	52680	I'm a woman.
52680	53680	I'm a woman.
53680	54680	I'm a woman.
54680	55680	I'm a woman.
55680	56680	I'm a woman.
56680	57680	I'm a woman.
57680	58680	I'm a woman.
58680	59680	I'm a woman.
59680	60680	I'm a woman.
60680	61680	But I still prefer to take control of my own life, which is why I support our President
61680	63600	Donald J. Trump.
63600	66800	Make traps gay again.
66800	68160	Bye.
68160	69380	Hi.
69380	73520	I'm Jacky Jackson.
73520	92440	Host of the Freedom Report, where I'm sorry, why does my studio look like a Japanese drag
92440	95720	queen redecorated in an Italian bordello?
95720	98000	It's hard to move past it.
98000	102880	Anyway, tonight my guests are two transgender YouTubers from opposite ends of the political
102880	107440	spectrum, but I've brought them here together to engage in a rational, free-thinking debate
107440	114880	about a timeless question.
114880	115960	Are traps gay?
115960	121360	My first guest is Adria Finley, host of the popular YouTube series Intersectional AF.
121360	122360	Clarence.
122360	124640	Hey YouTube, it's your girl Adria.
124640	129440	Have you ever considered that transphobia is racist?
129440	130760	Okay.
130760	134440	My other guest is returning to the show, it's Tiffany Tumbles.
134440	137560	Now Tiffany, you've had a major change of heart since the last time you were on this
137560	139120	program, isn't that right?
139120	140120	That's right, Jacky.
140120	143600	It's pretty embarrassing, but I used to be a non-binary SJW.
143600	144600	You poor thing.
144600	148080	Could you say a little bit about how you came to take the red pill?
148080	152180	Well I posted a couple tweets about how there are only two genders, and how I was tired
152180	157280	of trendy teens who don't experience dysphoria calling themselves trans, and next thing I
157280	161200	know everyone's calling me a TERF and a traitor, so I said, you know what?
161200	162200	I'm out.
162200	164760	I'm not gonna put up with this culture of silencing and shame.
164760	167240	I think that's just so brave of you.
167240	171520	Yeah, wow, so brave of you to come on talk shows to discuss how silenced you are.
171520	172520	Shut up, Adria.
172520	177520	I had just come out as trans, and I was putting myself out there online, and then like that,
177520	181560	the trans community dropped me like a piece of trash, and I had no support, nothing.
181560	182760	I was absolutely alone.
182760	185260	Do you have any idea what that felt like?
185260	187980	Your leftist allies are not your friends, Adria.
187980	190020	One wrong move and you're dead to them.
190020	191020	Those are not friends.
191020	193180	Well, you have real friends now, Tiffany.
193180	197140	I think you're gonna fit right in with this new group of dangerous intellectuals who are
197140	201460	finally taking a stand against the authoritarian left and speaking out against politically
201460	202460	correct dogma.
202460	206380	Why don't we go ahead and roll a clip of one of Tiffany's newest videos?
206380	212300	So I'm gonna go in with a highlighter, pop it on my cheeks, pop it on my brow, till I'm
212300	214500	literally blinding.
214500	215500	I am glowing.
215500	220180	Mmm, she's doing alright, but I'm not living for it.
220180	223780	You know what else I'm not living for?
223780	224780	The Muslims.
224780	227140	Tiffany, you are so funny.
227140	230020	I'm sorry, are we just gonna ignore the blatant racism?
230020	231580	How is that racist?
231580	233060	Muslim's a religion, not a race.
233060	235780	Yeah, Adria, Muslim's a religion, not a race.
235780	239180	Well, in this country, Islam and race are inextricably tied together.
239180	240180	You can't just...
240180	242780	Look, you both know exactly what I'm talking about.
242780	244420	Let's try to get back on track here.
244420	247820	So, Adria, traps.
247820	248820	Are they gay?
248820	252060	Look, there's so many things wrong with the question that the only way to answer it is
252060	253620	to deconstruct it.
253620	255260	First of all, what are traps?
255260	256260	Are they trans women?
256260	259540	Because if you're calling trans women traps, then you're directly playing into the lie
259540	264220	that trans women are tricking or trapping men, a lie that reinforces the mentality that
264220	265700	causes men to murder us.
265700	268580	Well, I don't think trap is necessarily a trans woman.
268580	269580	What about anime?
269580	273220	Okay, so the word trap was invented by English-speaking anime fans.
273220	277660	The Japanese word is otokonoko, which just means a male cross-dresser, there's no implication
277660	278660	of tricking men.
278660	283180	But the word trap is sometimes used in English as a slur against trans women, so when you
283180	286980	tell us that's not what it means, you're gaslighting the shit out of us, because we've all heard
286980	287980	it used as a slur.
287980	290300	Adria, you don't get to speak for all trans women.
290300	292140	We're not all offended all the time.
292140	294500	I actually happen to identify as a trap.
