start	end	text
0	6800	In color theory, the selection of colors used in a design is called a color scheme.
6800	11880	Analogous color schemes use the main color plus one or more adjacent colors, while complementary
11880	18680	schemes use any two colors directly opposite on the color wheel.
18680	23600	Hi girls, I'm Tracy Mounts, guest host of ContraPoints, the internet show where we talk
23600	27560	about sadness, fascism, sexual deviation, cults.
27560	31120	This week, we'll be talking about colors.
31120	32560	Colors!
32560	33800	What the fuck are they?
33800	37280	In one beaker I have white, in the other, brown.
37280	41920	Pour them together, and wow, I don't know what the kids are calling it.
41920	42920	It's delicious!
42920	47520	Now according to some so-called experts, color is really different wavelengths of electromagnetic
47520	48520	radiation.
48520	50440	But what about the shadow illusion?
50440	52600	Same wavelengths, different colors.
52600	57280	Some people say I'm a man dressed as a lady, but I'm actually a lady who used to be a
57280	60080	man dressed as a man dressed as a lady.
60080	62440	Explain that, Professor Butler.
62440	63600	Illusion.
63600	64760	What matters more?
64760	67240	The way things are, or the way things look?
67240	70520	Let's watch an instructional video to learn more.
82520	87240	Hi, I'm Jackie Jackson, host of the Freedom Report, um...
88240	90000	It's too early for this.
90000	92000	Today my guests are, um...
96000	98480	Well, who are you people?
98480	105240	I'm Dr. Abigail Cockbain, Associate Professor of Women's Studies and author of many, many
105240	106240	books.
106240	111760	Most recently, my doctoral thesis, Sacred Passage, The Divine Feminine in Flux and Flow.
111760	116480	Oh, yes, and, uh, well you look familiar.
116480	118480	Who are you?
126480	130480	Okay, well, today my guests will be debating the topic...
131480	132480	Um...
132480	133480	Well, here's a good one.
133480	137480	Should it be illegal to use the wrong pronouns for a transgender?
137480	139480	What do you think, Annabelle?
139480	144080	Well, Jackie, liberation from the oppressive institution of gender begins with freedom
144080	145080	of speech.
145080	151080	For instance, this cat person over here is clearly a biological male in some sort of
151080	152080	costume wig.
152080	157280	Now, I of course support his right to dress however he wishes, but the fact remains that
157280	161080	pronouns refer, as they always have referred, to chromosomal sex.
161080	164080	But perhaps you disagree, sir.
166080	167080	That's a human rights violation!
167080	169080	I'll smash your fucking face.
170080	175080	And here we have a clear illustration of the way that transgender ideology is merely a
175080	178080	smokescreen for male violence against women.
178080	181080	And mind you, this is being taught in our schools, it's being forced on our children,
181080	182080	it's becoming mandatory...
182080	183080	Security!
183080	184080	Have this cat removed!
184080	189080	The centers are being silenced, and something must be done about the encroaching trans agenda,
189080	193080	taking away women's rights, invading women's spaces, depriving us of what feminism has
193080	194080	worked so hard to...
195080	199080	I love a kitty queen, but Abigail clocks a cat.
199080	201080	Gender's just like color.
201080	203080	Some people see yellow, some people see blue.
203080	205080	It's all a matter of opinion.
205080	206080	Or is it?
206080	207080	It's not.
207080	209080	Let's hear the real tea.
210080	211080	TABBY
223080	224080	Tabby.
224080	226080	Sweetie baby.
226080	227080	Princess.
227080	229080	I feel ridiculous in this dress.
229080	233080	Yeah, well you look ridiculous, cause you wouldn't take the goddamn cat ears off.
233080	235080	I think I'm gonna take the dress off.
235080	236080	Well don't do that.
236080	238080	I'm trying to help you out, girl.
238080	241080	If you don't want to get misgendered, it helps to fem it up a little.
241080	243080	I'm gonna take it off.
243080	244080	Well don't leave.
244080	246080	You can change in front of me, I'm not a prude.
246080	248080	I'm gonna go behind the curtain.
250080	252080	I like looking at naked people.
253080	254080	Why do you always hit on me?
254080	255080	I thought you were into men.
255080	257080	Well I swing both ways.
257080	259080	I like boy dick and girl dick.
259080	261080	That's not how that works.
261080	262080	I hate that.
262080	263080	The heart wants what it wants.
263080	265080	Why did you invite me over here anyway?
265080	268080	I saw what happened to you on the Freedom Report, and girl.
268080	269080	Girl.
269080	273080	You cannot be a trans woman on TV threatening people with a bat.
273080	276080	You think it's morally wrong to stand up to your oppressors?
276080	278080	No, morally wrong.
278080	279080	What does that even mean?
279080	281080	It was much worse than morally wrong.
281080	282080	It was aesthetically wrong.
282080	284080	It was unfeminine.
284080	285080	This is all you ever say to me.
285080	286080	It's bad optics.
286080	287080	It's bad aesthetics.
287080	289080	Well does reality matter at all to you?
289080	291080	Cause the reality is I am a woman.
291080	293080	And maybe a bunch of ignorant people don't think I look like one,
293080	295080	but the way things look isn't all that matters.
295080	297080	Tabby, this is politics.
297080	299080	Have you ever had a conversation with the average voter?
299080	302080	Reality plays no role in politics.
302080	304080	Politics is aesthetics.
304080	306080	Politics is aesthetics?
306080	308080	That's literally what fascism is.
308080	310080	Have you even read Benjamin?
310080	314080	Fascism is the introduction of aesthetics into political life.
314080	316080	The military parades, the pageantry,
316080	319080	and communism responds by politicizing art.
319080	321080	This is what I can't stand about communists.
321080	323080	You want to turn art into propaganda.
323080	325080	Well art is already ideology.
325080	327080	Ah, look, instead of ruining art,
327080	329080	why don't we fight the pageantry of fascism
329080	332080	with pageantry of our own.
332080	334080	And you know who's gonna make that happen?
334080	335080	Who?
335080	337080	Well-funded trans women.
337080	339080	Patreon's in the description.
339080	340080	Ew. Stop that.
340080	341080	What?
341080	343080	I'm just trying to monetize a connected engagement community
343080	347080	by strategically leveraging my content creator promotional media brand analytics.
347080	348080	Is that so wrong?
348080	350080	You're so bougie.
350080	352080	I'm not the one quoting German philosophers from memory.
352080	354080	Revolutionary philosophers.
354080	356080	Whatever you need to tell yourself.
356080	359080	Look, the point I'm trying to make is that the world we live in
359080	361080	is not a philosophical world.
361080	362080	Think about Instagram.
362080	365080	It's all about transforming your life into an enviable spectacle.
365080	368080	If you cry yourself to sleep every night, who cares?
368080	369080	No one sees that.
369080	371080	They only see the show you're putting on.
371080	373080	Okay, but life is not a show.
373080	374080	Mmm, politics is a show.
374080	376080	Look around you, Tabby.
376080	378080	Try to understand what's happening to the world.
378080	381080	The president of the United States is a reality TV star.
381080	384080	The 21st century is an aesthetic century.
384080	388080	In history, there are ages of reason and there are ages of spectacle,
388080	390080	and it's important to know which you're in.
390080	393080	Our America, our internet, is not ancient Athens.
393080	394080	It's Rome.
394080	397080	And your problem is you think you're in the forum,
397080	399080	when you're really in the circus.
399080	401080	I thought you were just criticizing me for being violent.
401080	403080	Now you're against reason too?
403080	405080	I'm not against reason.
405080	407080	Reason is a very powerful aesthetic.
407080	408080	If you're a man.
408080	409080	And what if you're a woman?
409080	411080	Oh, don't be a woman.
411080	412080	That's not a good idea.
412080	413080	Ow.
413080	416080	Do you remember that debate between Blair White and that YouTuber with the pink wig?
416080	418080	What was her name?
418080	419080	I don't know.
419080	421080	She was relevant back in 2017.
421080	423080	Anyway, this was before she transitioned,
423080	426080	and in that debate, Blair looked like she had two X chromosomes,
426080	430080	and the other one looked like this awkward dude in an anime wig not looking at the camera.
430080	432080	I vaguely remember.
432080	434080	I think I wrote an angry blog post about it.
434080	436080	Well, the pink wig lost that debate so bad,
436080	438080	it was embarrassing to watch.
438080	439080	Not really.
439080	440080	I mean, she was right.
440080	442080	And her arguments were better.
442080	443080	Ahaha!
443080	445080	Ah, Tabby.
445080	448080	Sweetie, honey, angel, darling, princess, baby.
448080	450080	Arguments don't matter.
450080	452080	How pretty you are matters.
452080	454080	Is this really where you're going with this?
454080	456080	Tabby, if you want to be a public figure,
456080	459080	sooner or later you're gonna need to take the trans girl black pill.
459080	460080	Oh boy.
460080	462080	If you're a trans woman in the public eye,
462080	464080	what matters is one thing and one thing only.
464080	466080	And it's always been the thing that matters.
466080	467080	What?
467080	469080	The realness.
469080	471080	Verisimilitude.
471080	473080	You have to look like a fucking woman.
473080	474080	There it is.
474080	475080	There it is is right.
475080	478080	We don't say it in public, but we all know it, and we all feel it.
478080	480080	What does it even mean to look like a woman?
480080	482080	Oh, don't give me that PC bullshit.
482080	484080	I'm trying to have a real conversation here.
484080	485080	We all know what it means.
485080	487080	I don't know what it means.
487080	489080	Women have a lot of different looks.
