start	end	text
0	3000	So what are we drinking today? This is, uh...
3000	5800	Um, I am drinking the Art of Whiskey.
5800	6800	The Art of Whiskey.
6800	7800	Goes with the Art of Wishing.
7800	8800	Yes, it does.
8800	12300	I'm on the fourth whiskey, which is why I can't brain today.
12300	12800	It's fine.
12800	14800	I'm on the I Wish I Were Drinking.
14800	15800	The Wishful Drinking.
15800	16800	The Wishful Drinking.
17800	18800	It's lemonade.
18800	19800	Pat, pat.
22800	24800	But it's pink lemonade, so it's fine.
24800	26800	It goes with the thing.
26800	29800	This is our very special guest, Other Lindsey.
29800	34800	So, Lindsey Rebar, who is a young adult author with Penguin.
34800	40800	And she's released one book, her paperback of which is coming out the second week of June.
41800	43800	That is The Art of Wishing.
43800	47800	And her second book, The Fourth Wish, is coming out in July.
49800	50800	It's so pink.
50800	53800	And also, she is an agent with Brain.
53800	55800	Sanford J. Greenberger Associates.
55800	62800	She's a literary agent, so we'll talk a little bit about what the market for all you crazy kids who are looking to break in.
62800	65800	So anyway, The Art of Wishing.
65800	67800	Give us the elevator pitch.
67800	74800	The Art of Wishing is about a high school senior, amateur singer-songwriter, and professional control freak named Margo McKenna
74800	82800	who falls in love with a high school sophomore, amateur photographer, and professional genie named Oliver Parrish.
82800	90800	And she discovers that she is the only person who can save her brand new genie boyfriend from his evil genie ex-boyfriend.
90800	91800	Yeah.
91800	94800	There's a stigma with paranormal romance.
94800	96800	There's a lot of tropes.
96800	103800	And as someone who is intelligent and educated and very well read...
103800	104800	You heard it here first.
105800	106800	Just basically perfect.
106800	107800	Yeah.
107800	108800	Well, she is a Lindsey, so...
108800	109800	Well, that's true.
109800	114800	How did you reconcile that with the negative stigma?
114800	120800	Well, I think a lot of the negative stigma comes from the fact that there is this idea.
120800	122800	I couldn't tell you where it came from.
122800	127800	That all paranormal romance heroines...
127800	131800	I mean, we're talking about specifically the kind where it's human girl, supernatural boy.
132800	137800	There's this thing where the human girl always has to be this beaten down beta female
137800	145800	who is just looking for a super-duper powerful guy to come in and probably save her from some evil that wouldn't exist
145800	147800	if he hadn't come into her life in the first place.
147800	152800	But I kind of wanted to turn that specifically on its head.
152800	156800	I wanted a kind of thing where not only is it the girl who saves the boy at the end.
156800	157800	Spoilers.
157800	162800	It is kind of her that is in control of the relationship from the beginning.
162800	166800	So not only is she the sort of alpha personality-wise,
166800	171800	but she is inherently the alpha of the relationship because she is his master.
171800	175800	And that comes with its own set of problems, and I had a lot of fun dealing with those.
175800	181800	So genies by their very nature offer that opportunity as opposed to, you know, vampires or Cthulhu.
183800	184800	What are you talking about?
185800	193800	Well, a lot of those things that we ended up parodying were somewhat subverted in yours.
193800	195800	I think more in the second one.
195800	196800	Definitely more in the second one.
196800	204800	Since that was the one that really deals with the implications of this, you know, dynamic, this master-slave magic.
204800	208800	And the interesting thing about it, you know, you have the male genie who is in the subservient role,
208800	210800	but in the second one you have female genie.
210800	214800	And female genie being put in that role raises all kinds of other questions.
214800	220800	You know, questions that come down to like, you know, sexual assault and consent and things that go really extreme.
220800	227800	And having your male genie also be bisexual is something else that was really interesting.
227800	232800	So yeah, at the end of the first book she makes a fourth wish to save Oliver,
232800	235800	which means that she is trading her human life for another wish.
235800	240800	She becomes a genie, and she knows in theory what that means going into it,
240800	242800	being a shapeshifter, being bound to a master.
242800	249800	But only when she actually tries to do the shapeshifting herself does she actually understand what that means.
249800	254800	And there's a point where, spoilers, she turns into a boy for a very specific reason.
254800	260800	And she has a moment where she's like, well, I still feel like a girl, but like I'm in a costume.
261800	265800	So I got to bring up sort of the difference between sex and gender that way.
265800	269800	These discussions of sex and gender and sexuality,
269800	273800	how do you feel that you're fitting into that with the changing ways of the market?
273800	276800	I think the market is definitely changing for the better.
276800	282800	Every agent I know and every editor I know is actively looking for more LGBT characters
282800	286800	where it's not just coming out 101 like, oh shit, I think I'm gay.
286800	288800	I have to come out to my parents. How do I do it?
288800	290800	And the entire plot is about that.
290800	293800	And don't get me wrong, those definitely have their place.
293800	296800	And they're important books, but there are so many of them at this point.
296800	303800	It's equally as important to show people who live outside the privileged norm
303800	308800	and just show them living their lives and having, you know, bigger problems
308800	310800	than how to come out to your parents.
310800	316800	I feel like, I don't know how much you'd consider the twilight parallel
316800	319800	with the I become the thing for my boyfriend.
319800	320800	Yeah.
320800	322800	Was that intentional?
322800	325800	Because I know a lot of the second book, and thank God,
325800	329800	was kind of exploring the repercussions of that.
329800	331800	So what was that modus operandi?
331800	338800	So yeah, she's coming from a place where she has everything that she could logically want,
338800	343800	but she has never been impulsive about anything,
343800	348800	and she's never been emotionally stimulated to the point where she wants to do something
348800	350800	for someone else instead of for herself.
350800	354800	It's about the kind of person that she thinks she is choosing to be.
354800	357800	It's a little bit about wanting to stay with Oliver,
357800	360800	but it's mostly about trying to redefine herself.
360800	367800	And in book two, that doesn't mean at all what she thinks it means when she actually does it.
367800	369800	So she's this alpha female character.
369800	373800	She's the one in control, and then in book two, she finds herself in the beta position.
373800	374800	Exactly.
374800	376800	For eternity, essentially, not even just the rest of her life,
376800	378800	because now she's in the morning tuning.
378800	383800	And because I had established her specifically as an alpha female,
383800	388800	kind of in reaction to all those twilights and twilight knockoffs.
388800	393800	So what's the most interesting thing you can do to a character
393800	395800	who is so comfortable in their own life?
395800	400800	Give them the most uncomfortable life position that they could possibly ever deal with
400800	401800	and watch them deal with it.
401800	407800	So, I mean, Oliver, the genie boyfriend, is kind of a natural submissive.
407800	408800	He's the ultimate beta male.
408800	412800	He loves people giving him orders in every sense of the word.
412800	416800	She's going through all of these questions of, you know,
416800	418800	how do I deal with being bossed around?
418800	422800	Do I or do I not get to punch people in the face when they do things I don't like?
422800	427800	And he doesn't really understand why it's not as easy for her as it is for him.
427800	430800	Because what you were just saying kind of reminded me,
430800	432800	I want to talk a little bit about, like, the process.
432800	439800	You identify as what they call the pantser, meaning you don't outline.
439800	440800	Right.
440800	443800	And she and I are very, very adamant outliners.
443800	445800	Is that Vogue?
445800	446800	Why?
446800	448800	That's my outline for this.
