start	end	text
0	5000	Vampires and werewolves used to be scary, lead characters in Halloween tales,
5000	12000	not heartthrobs in love stories that make teenage girls everywhere pine for interspecies romance.
12000	18000	It has been 13 years since Twilight sparkled its way into the pop culture conversation in 2005.
18000	22000	However, the franchise didn't really blow up, nor did the discourse around it start to turn into
22000	27000	why it was the worst thing that ever happened to Western civilization, until around 2008.
27000	28000	You're beautiful.
28000	33000	The discourse around Twilight went from teenagers in TwiMoms liking a thing
33000	35000	Get Edward out of the way!
35000	38000	TwilightMoms.com, we have our own Twilight Moms here.
38000	44000	to the rest of the internet deciding that the popularity of Twilight was the last herald of the end times in about five minutes.
44000	49000	But as a 22-year-old way too into Transformers college grad with a night job working for the Nielsen Company,
49000	53000	I didn't really have it in me to give a shit about this particular culture war,
53000	59000	except for this one thing that really rubbed me the wrong way about Stephanie Meyer.
59000	65000	It came from an article on Cracked.com by forum contributor Okami Spirit on August 19th, 2009,
65000	68000	alleging all sorts of things about Meyer, not just as an author,
68000	72000	but as a person that someone who doesn't like Twilight would obviously take as gospel,
72000	79000	describing Meyer as a self-obsessed, narcissistic, hypocritical, and infantile woman.
79000	85000	Most egregious, according to Okami Spirit, was Stephanie using her brother, Seth, as a shield for criticism.
85000	87000	He runs her site and also comes off as arrogant.
87000	91000	He does not allow any emails to reach his sister that say anything short of
103000	107000	The article goes on to exhoriate Meyer and her brother Seth for filtering Meyer's fan mail,
107000	111000	particularly his decision not to forward a particularly entitled, missive,
111000	115000	demanding an explanation for certain creative decisions Meyer took in Breaking Dawn.
115000	120000	Okami Spirit then paints Seth as completely unreasonable for declining to forward this letter to Stephanie,
120000	123000	and then explaining why he declined to do so to this aggrieved group of fans.
123000	127000	And here's the thing. At the time, I actually sided with the fans.
127000	134000	If you are in the public eye, and you are not able to consider and respond to every ounce of criticism
134000	139000	that is thrown your way, valid or not, then you don't deserve to be there, right?
139000	146000	After all, the discourse around Twilight in 2008 and 2009 was totally reasonable, right?
146000	150000	Well, it's been ten years, and with a hopefully more mature hindsight,
150000	154000	I feel like there isn't really much of a conversation in the discourse re-examining
154000	158000	not only how we treated Twilight, but how we treated Meyer herself.
158000	161000	So, I guess I'll be the one to get this ball rolling.
161000	163000	Dear Stephanie Meyer,
163000	166000	I am sorry.
170000	175000	Twilight is a 2005 paranormal romance novel about a teenage girl who moves to a new town
175000	179000	and immediately falls in love with a hot, sad boy who turns out to be a vampire.
