start	end	text
0	6440	Okay, so this week we are going to do a mini-canon for characters who don't have very many iterations
6440	13720	But have been revamped nonetheless. I was originally going to launch these mini-sodes later this year for certain, you know, movie event
14360	17520	Corporate, you know, interest vertical integration type things
17960	23940	But I think like most people in the last few weeks who saw Mad Max Fury Road
24340	31720	Loved Mad Max Fury Road more than I or probably anyone expected to so we're going to talk about the many
31940	33220	portrayals of
33220	36220	Mad Max all two of them
37420	43060	Mad Max is one of those franchises that most of us absorbed through cultural osmosis or late-night cable reruns
43060	48060	But they were highly influential not on the ubiquitous level of say an Indiana Jones movie
48060	51100	But the Mad Max movies were big precursors to high testosterone
51540	58780	Late 80s and early 90s actioneers like Die Hard though Max himself is more of a subdued antihero type
59140	61580	Neither muscly nor obtrusive Max
62340	69300	Rokitansky is a much more withdrawn sort getting forced into communities and stories that are not his own but shit needs to get done
69300	77180	So hey Mad Max is in town four movies and two different versions the original that made Mel Gibson famous and the 2015
78180	79980	Revisitation starring
79980	84420	Masculificent grunt machine Tom Hardy for Mad Max the canon is a lot more
84420	88380	You know loose than we're used to seeing in other franchises continuity kind of being an afterthought
88500	92200	Are the Mad Max movies officially in the same continuity? Well?
92200	95700	Mad Max is basically a feature-length act one
104760	109320	Civilization in Australia is not doing so hot though. It hasn't exactly crumbled either
109320	114280	We still have infrastructure and a police force and biker gangs are flourishing, but you know
115000	119640	Civilization still stands Max and his partner goose are cops trying to get to the police station
120200	126320	While the name Max Rokitansky has a sort of John McUnconvincing name vibe to it
126320	135320	He's actually named after Baron Karl von Rokitansky a bohemian pathologist and likely nod to the director George Miller's time as an ER doctor
135320	138800	Max is one of those archetypal best at what he does type
138800	140800	You're a winner Max
140800	142800	You're on the top shelf
142800	146600	He's good at shooting and better at driving and in the wake of the deteriorating
146600	149920	state of things here in almost post-apocalyptic Australia
149920	154120	He's beginning to fear his darker side, especially after his partner goose gets killed
154120	158920	Look any longer out on that road, and I'm one of them, you know a terminal crazy
158920	162920	Only I got a bronze badge to say I'm one of the good guys
162920	164920	So does Max get mad?
164920	166920	Nope, he goes on vacation
167920	169920	Seriously, he is on vacay for a
170920	172920	Shockingly huge chunk of this movie
173240	175240	If you've seen Fury Road or any of the other two
175240	177240	You know what's about to happen to the wifey and the baby
177240	179240	And the preamble to a wifey getting fridged
179240	181240	Which in turn is the catalyst for Max getting mad
181240	183240	Is most of the movie
183240	185240	Max doesn't really get mad until the last 20 minutes
185240	187240	When the baby gets killed and the wife gets
187240	189240	Maybe killed
189240	191240	We actually never find out if she lives or not
191240	193240	Max goes on his vengeful rampage
193240	195240	And then the movie ends
195240	197240	And then the movie ends
197240	199240	And then the movie ends
199240	201240	And then the movie ends
201560	203560	Budget being what it was
203560	205560	Max is nowhere near as effective
205560	207560	At exacting revenge as he would be
207560	209560	In later entries
209560	211560	He gets shot in the leg almost immediately during his rampage
211560	213560	And as a result has to wear a brace
213560	215560	That we see in all three of the other movies
215560	217560	Even the exceptionally
217560	219560	Continually wonky Fury Road
219560	221560	But given that Max is now mad
221560	223560	And exacting revenge on these biker gangs
223560	225560	Is he supposed to be the hero?
225560	227560	Or even an anti-hero?
227560	229560	George Miller was not a very experienced filmmaker in 1979
229880	231880	Which comes across with issues of pacing
231880	233880	And structure
233880	235880	And the simple cliche interactions of the characters
235880	237880	Especially between Max and his wife
237880	239880	Plus the budget was basically non-existent
239880	241880	But he already had a good grasp
241880	243880	On theme and character
243880	245880	You're mad, bitch
245880	247880	You think I look silly, don't you?
247880	249880	Max's turn to the dark side
249880	251880	Such as it were was a sort of unsympathetic turn
251880	253880	You could get away with in the 70s
253880	255880	Especially for an independent Australian film
255880	257880	That accidentally made a lot of money here in the States
258200	260200	The audience not knowing whether or not Max's wife survives
260200	262200	Is in a boo-boo on the part of the filmmaker
262200	264200	But it doesn't really matter
264200	266200	Max has by the end of the movie
266200	268200	Basically given up on humanity
268200	270200	And his own humanity
270200	272200	Finishing the movie by roasting one of his enemies
272200	274200	Who is, by the way, helpless
274200	276200	And begging for mercy
276200	278200	And this is also like
278200	280200	A young kid who's a toady
280200	282200	Of the bad guy
282200	284200	And that's his arc
284200	286200	Max isn't just mad, he's gone
286520	288520	But after that first movie
288520	290520	Max more hits his stride in becoming a player
290520	292520	In other people's stories
292520	294520	So for the people who complained about that aspect
294520	296520	Of Fury Road
296520	298520	I have to assume they aren't terribly familiar with this franchise
304520	306520	Mad Max The Road Warrior
306520	308520	Or Mad Max Hooray A Budget
308520	310520	Is where Max
310520	312520	The post-apocalyptic wandering loner
312520	314520	Gets set as his archetype
314840	316840	Max gets caught up with this peaceful-ish
316840	318840	Little community that has some gas
318840	320840	And then the bad guy, Lord Humongous
320840	322840	Yeah
322840	324840	He wants to kill them to get the gas
