start	end	text
0	4500	Well, before we make our bad life decisions, uh, I think you need to top me off.
4500	5500	Oh, yeah.
6000	8000	What's, uh, what's up with the dirndl today?
8000	11500	Oh, I was feeling, uh, like Bavarian today.
11500	12000	Oh.
12000	15500	Uh, you should save that for the cultural appropriation episode.
15500	17500	Yeah, I thought of that.
18000	20000	But Germans don't count.
24000	28000	I think almost the frustrating thing about, like, all these comments is, like,
28000	33000	since we pick a theme for each episode, uh, we can't, like, you know,
33000	36000	we're trying to save, like, oh, we'll do this comment next week, or, like,
36000	40000	when people write out scenes, we'll do stuff with the scenes later, I promise.
40000	42000	Oh, God, yeah, we're saving each and every scene.
42000	45000	Yeah, we're saving the scenes, but right now we're gonna try and focus,
45000	51000	because this week we're gonna try and hammer down what the plot is,
51000	56500	so we can move on and actually start cobbling together our project, like, for realsies.
56500	59500	And who are the characters that act in this plot? Very important.
59500	63500	Piscasaurus clarified, first off, that the Cthulhu mythos as a concept,
63500	68500	not any of the gaming or anything, but the Cthulhu mythos as an intellectual property
68500	70500	is public domain, so we're good.
70500	71500	Holla!
71500	73500	Second, the misconception about the mythos.
73500	76500	The overarching theme is not that the universe is malevolent,
76500	81500	just that it is apathetic to us because we do not matter that much.
81500	83500	All the more for us to shit on.
83500	84500	Yeah.
84500	85500	Woohoo!
85500	87500	Um, shall we start with the villain?
87500	91500	So, what we were getting a lot of was that it should be a cult.
91500	94500	It should be a cult of man, you know, Cthulhu worshipping a cultist.
94500	96500	Well, we got a lot of this.
96500	101500	Like, we had, I think, the thing we had the most re-villain was cultists.
101500	104500	And so, there was that.
104500	108500	But I think also, like, the idea that they're not Cthulhu cultists, but Azathoth cultists.
108500	109500	Yes.
109500	111500	Who's, like, a bigger man.
111500	115500	Sarah Desnes points out that the main antagonist should be female.
115500	117500	That you can use as contrast to the female protagonist.
117500	120500	Then you can use these comparisons to make antagonists look even worse
120500	123500	and female protagonists to look even better.
123500	125500	For instance, the antagonist could dislike children,
125500	128500	while the protagonist wants to be a mother.
128500	131500	So, you know, the antagonist is mean and heartless.
131500	133500	She hates love.
133500	136500	Maybe an inability to find or keep love could be what motivates her.
136500	137500	Yeah.
137500	140500	And also, the best part about having a female antagonist
140500	143500	is that it makes it easier for the female reader to hate her.
143500	145500	Yeah, and we can hate her too.
145500	147500	Because women hate women.
147500	148500	Am I right?
148500	149500	Am I right?
149500	150500	You bitch.
150500	151500	You whore.
151500	153500	While on the subject of the antagonist,
153500	157500	Christopher Emmett suggests that the Indian third wheel
157500	160500	actually becomes sort of an antagonist
160500	162500	by falling in with these evil cultists
162500	166500	and using the Nectric Namakon to banish the Eldritch Abomination.
166500	168500	My idea after that was that he gets brainwashed,
168500	170500	so there's no accountability.
170500	173500	So he's still like the good ethnic third wheel,
173500	175500	but he's been brainwashed by the evil cultists
175500	177500	and that becomes part of the plot.
177500	178500	She wants to save him.
178500	179500	Because they're friends.
179500	180500	Because they're friends.
180500	181500	He's like her best friend.
181500	182500	They're besties.
182500	183500	She would never be able to live without him.
183500	186500	They've known each other since the beginning of junior year.
186500	187500	Yeah.
187500	188500	Moving on to family.
188500	191500	I've been liking some things that have been thrown out
191500	194500	that the parents should be scientists.
194500	198500	I was seeing suggestions for should be an archaeologist.
198500	201500	Thomas de Grote mentioned that one of the parents
201500	203500	should be a marine biologist.
203500	205500	So it's kind of both.
205500	207500	I'm thinking that the father should be the marine biologist
207500	209500	and the mother the archaeologist.
209500	211500	The mother goes off on a dig.
211500	213500	Everyone thinks she's a little crazy, though.
213500	214500	Yeah.
214500	216500	Well, Elizabeth Smith suggests that
216500	218500	rather than just doing search and replace versions
218500	219500	of the parents of Twilight,
219500	220500	they're not divorced.
220500	222500	Rather, flighty mother is flighty
222500	225500	because she keeps running off for archaeology things.
225500	227500	So that's a good starting place with the parents.
227500	230500	Regarding the purity of our Lego brick.
230500	231500	This one is difficult
231500	234500	because it's really hard to define a character
234500	236500	without giving them any real definition
236500	238500	so that literally anyone, any white woman,
238500	240500	can pretend to be them.
240500	243500	Pavel Marek gave us one that I really liked.
243500	245500	And this came in the form of a scene
246500	249500	where our bitchy best friend, or a bitchy friend,
249500	252500	says or does something nasty to Bella.
252500	254500	And Cthulhu puts her in the hospital
254500	256500	in some way, shape, or form.
256500	258500	I did it. He started.
258500	260500	For you.
260500	263500	Then the problem will not be spoken of again.
263500	265500	The bitchy girl may or may not be
265500	268500	mentally debilitated forever and ever.
268500	270500	Bella will never question
270500	272500	that maybe she shouldn't be with this person
272500	274500	because of their Austen power.
274500	275500	No.
275500	276500	His devotion.
276500	278500	He loves her so much.
278500	280500	He can't help himself.
280500	282500	I enjoyed Catherine Rose's suggestion
282500	284500	that maybe Bella should have suffered
284500	286500	from night terrors from the time she was little
286500	288500	because of her being the only one
288500	290500	to perceive the real universe in her dreams.
290500	292500	I like this a lot.
292500	294500	She has a secret, unknown pain
294500	295500	and her parents were like,
295500	297500	well I haven't grown out of it yet,
297500	298500	so she keeps it to herself
298500	300500	because she's a teenager now.
300500	302500	She shouldn't be waking up for her nightmares anymore.
302500	304500	She just pretends it's not a thing.
