start	end	text
0	7440	So it's mint julep day, here at Fifty Shades of Greek.
7440	8920	Yeah, blackberry mint julep.
8920	9920	We're so southern.
9920	10920	Cheers.
10920	13600	We needed a drink after having all these.
13600	14600	So many submissions.
14600	15600	So many submissions.
15600	16600	Yeah.
16600	19880	We had over 200 submissions in less than a week.
19880	20880	You guys gave us two.
20880	21880	That's a lot of pictures.
21880	22880	A lot of portfolio to go through.
22880	23880	Yeah.
23880	28560	And surprisingly, you know, of that 200, there was a lot of effort in that 200.
28560	29560	Really?
30560	31560	Yeah.
31560	32560	Bravo to our entrants and your effort.
32560	33560	You efforted.
33560	34560	Yes.
34560	35560	All the effort.
35560	40240	We noticed a lot of repeated themes in the things we got, so we divided them into categories
40240	42440	of ones that were similar to each other.
42440	43520	And we're going to show you.
43520	44760	We're going to just blow through them here.
44760	48200	We have 20 finalists of the over 200 we received.
48200	51760	So we're going to put their names at the bottom of the screen, sort of.
51760	54760	And if you see one that you like, note it in the comments.
54760	57400	Because you are helping us choose our winner.
57400	65840	In our first category, in honor of our mint juleps of Southern origin, we have our Fitzgerald
65840	69560	category or the eyes are watching you.
69560	74280	The eyes that stare into your soul and say, read me precious, read me.
74280	77080	I also like that the tentacles are not too overtly tentacly.
77080	78720	They're a little kelp-ish.
78720	79720	Yeah.
79720	81840	Flower petals.
81840	89300	This is another by the same artist, a different concept on her theme, where we have the tentacles
89300	91200	coming around the eyes.
91200	96880	So keeping with our eye theme, this one's kind of a combination of eye and girl going
96880	97880	places.
97880	102800	Well, I guess it kind of works because it really captures that whole stalkery vibe that
102800	103800	we were going for.
103800	105000	I think the ladies really like that.
105000	108200	I also like that the A comes down to a little tentacle.
108200	114520	So now we're starting into our second trend, which is girl falling.
114520	122040	Here was a sort of dynamic image that we did enjoy, except for the slingshot-like apparatus
122040	123040	around her.
123040	125840	That would be something that we would ask the finalists to sort of nix, to figure out
125840	126840	a way around it.
126840	128720	It's like the stork just arrived.
128720	132320	There was also two variations of this, one the tentacles coming down to sort of rescue
132320	134840	her, one the tentacles reaching up to grab her.
134840	137000	I think we went for the tentacles going up.
137040	139040	Yeah, we actually kind of had a fight about this.
139040	141000	I like the tentacles coming down.
141000	143120	We didn't talk for like two days after that fight.
143120	146040	I know, I had to, I felt so alone.
146040	147360	I still have the wounds.
147360	155480	And then next we have, this is a very fish's eye view of, you can see the tentacles coming
155480	159320	up and she's about to fall into his squirming grasp.
159320	162760	Yeah, she's like kind of chilling at the top of the lake or something.
162760	165160	So then there's this guy.
165160	171400	This one kind of fell in more with the shadowbox theme, and while I do like the kind of shadowbox
171400	174960	and the colors, I feel like there's a lot of dead space here, which maybe this should
174960	178880	go here or something like that.
178880	183120	So here is another one that we felt was a very dynamic image, there seems to be a lot
183120	188760	of motion going on, the tentacle, not tentacle, reaching out and grabbing her.
188760	192880	Another trend we found in the entries was the mope.
192880	195000	Yeah, which is a very apt.
195000	197400	Yeah, no, definitely very fitting.
197400	203280	Like for example this, which we also have the no eyes motif that I find is popular in
203280	205080	young adult.
205080	209600	This is actually quite beautiful and there's a graphic design detail, it's very comic book-y
209600	210880	though too.
210880	213920	So this example of the mope is quite lovely.
213920	222240	I love the art and the more graphic, like woodblock print of tentacles coming out here
