start	end	text
0	7920	I listened to it all and I said Andrew, is this something I don't get? Is this about
7920	14480	Queen Victoria? She's the main cat and Disraeli and Gladstone are other cats and then there
14480	24640	are poor cats. Am I missing this? And he took a terrible, painful long pause and said Hal,
24640	28400	it's about cats and we never discussed it again.
45280	50200	In 2012, New York Times food critic Pete Wells published a review of Food Network Personality
50200	57800	and Human Can of Bud Light Lime, Guy Fieri's massive Times Square restaurant, Guy Fieri's
57800	61560	American Kitchen and Bar, fittingly located right across the street from the Majestic
61560	66600	Theater, which at the time had hosted Phantom of the Opera on Broadway for nearly 25 years.
66600	70160	And while some eight years later, we've come full circle to where we've all decided that
70160	74400	Guy Fieri is both prime meme fodder and also good now.
74400	88560	2012 was a different time, and Wells' review pulled no punches.
88560	92960	Guy Fieri, have you eaten at your new restaurant in Times Square? Did panic grip your soul
92960	97160	as you stared into the whirling hypno-wheel of the menu, where adjectives and nouns spin
97160	102840	a crazy vortex, when you saw the burger described as Guy's Pat LaFrieda Custom Blend All Natural
102840	108160	Creekstone Farm Black Angus Beef Patty, L-Top, Lettuce, Tomato, Onion, and Pickle, SMC, Super
108160	112160	Melted Cheese, and a slathering of donkey sauce on garlic buttered brioche, did your
112160	115880	mind touch the void for a minute? Hey, did you try that blue drink, the one that glows
115880	120760	like nuclear waste, the watermelon margarita? Any idea why it tastes like some combination
120760	126040	of radiator fluid and formaldehyde? What is going on at this new restaurant of yours,
126040	127040	really?
127040	131400	And in a way that food reviews seldom do, Wells' piece blew up and went viral, with
131400	135160	everyone sharing it to their Facebook and Twitter timelines, cheering and celebrating
135160	140620	the epic pwnage of Guy Fieri, that sun-drenched, frosted-tipped buffoon, by one of the most
140620	144560	widely circulated newspapers in the world. And while rubbernecking trash fires has been
144560	148760	a time-honored tradition as long as civilization has been a thing, the commodification of our
148760	153800	need to see trash being eviscerated by the critic intelligentsia has become an ever-evolving
153800	159480	industry. One can, after all, easily elevate their online brand with a well-timed takedown.
159720	166000	There's no mist in the galaxy? Ding! That's not Earth! Fake! Ding!
166000	170400	And with Tom Hooper's 2019 trainwreck adaptation of Andrew Lloyd Webber's musical of the
170400	174200	same name, there was blood in the water.
174200	179960	Watching Cats is like stumbling upon an unholy and hit-you-for-unknown genre of porn. Every
179960	184880	time these horny fur demons tongue a milk bowl and start moaning, I was certain the
184880	186720	FBI would raid the theater.
186720	192160	It's loud to report that Cats is everything you'd hoped for and more, a mesmerizingly
192160	197160	ugly fiasco that makes you feel like your brain is being eaten by a parasite, a viewing
197160	200680	experience so stressful that it honestly brought on a migraine.
200680	206200	Can you make a movie so bad that the Academy takes back your Best Director Oscar? Asking
206200	207200	for a Tom Hooper.
207200	211320	By the time I left the theater, I wasn't even sure what a real cat looked like anymore.
211320	217360	To assess Cats as good or bad feels like the entirely wrong axis on which to see it.
217360	220280	It is, with all affection, a monstrosity.
220280	225120	I am not a cat person. Second off, after watching this frankly mortifying film adaptation of
225120	229520	Andrew Lloyd Webber's Cats, I'm not altogether sure I am a movie person anymore either.
229520	234540	Finally, a whole new generation can discover that Cats the musical is two hours of human-feline
234540	239800	hybrids without genitals, having no touch sex, and begging for death via song.
239800	243560	Cats is the worst thing to happen to cats since dogs.
243560	247280	Cats is pure nightmare fuel. The rejects from the Island of Dr. Mero putting on a show is
247280	252640	bad enough, but add to that more crotch shots than a Michael Bay movie and every imaginable
252640	257480	pun and that still won't prepare you for the hellscape that is children's faces CGI'd
257480	258480	onto mice.
258480	265600	For the most part, Cats is both a horror and an endurance test. A dispatch from some neon-drenched
265600	271080	netherworld where the ghastly is inextricable from the tedious.
271080	274920	I felt the light inside me slowly fading.
274920	276920	Oh god, my eyes!
280800	287000	Are you blind when you're born? Can you see in the dark?
287000	291400	I was one of the very first people to see Cats, the movie, the musical, if Tom Hooper
291400	295520	is to be believed, some 24 hours after the film was even finished.
295520	299560	This was not because I'm the world's biggest Cats stan or because I'm just that important,
299560	303040	it was because I cajoled my friend who got invited to a critic screening to let me be
303040	304880	her plus one.
304880	310800	See, after weeks of reveling in the pure unintentional Salvadorian madness that was the trailer,
310800	315240	I was keen to be one of the first. I got my complimentary cat ears, they gave us Cats
315240	320560	temporary tattoos and Cats champagne, presumably to help black out what we were about to see,
320600	322880	and we settled in for the ride of a lifetime.
322880	326720	There were two types of people at this screening, people who were familiar with Andrew Lloyd
326720	330640	Webber's Cats, and people who until now had lived in blissful ignorance.
334640	339760	I was, in fact, sandwiched right between two of these people, to my left sat Angie Hahn,
339760	344560	critic for Mashable.com and who knew f*** all about Cats, and to my right, Emily Vanderwerf,
344560	349040	critic at large for Vox.com and the person I cajoled into taking me, and who, like me,
349040	350560	was familiar with Cats.
350560	354400	Emily spent more or less the whole film making this face, and Andrew spent the whole film
354400	358360	making this face. Both of them deeply enjoyed the experience, for the record. Maybe not
358360	363320	the film itself, but definitely the experience.
363320	366720	For people who hadn't seen Cats before, the questions seemed to be,
366720	373000	I'm saying a cat is not a dog.
373000	378200	Is this it? Is this what Cats is? Is this what Cats has been the whole time?
378360	383800	And on that day, I was like, I mean, yeah, that's pretty much Cats. What did you expect?
383800	391320	And say a cat is not a dog.
391320	395320	And if you follow me on Twitter, you know I spent most of my December and January obsessed
395320	401720	with the Cats movie, which was every bit as much of a trainwreck as I had hoped. And why?
401720	405160	Even now, I honestly could not tell you.
405160	410040	But the more time I spent on Cats and thinking about this movie, the more I had to actually
410040	415360	confront these questions. Not just the question of why am I so fixated on this unquestionable
415360	420360	disaster, but why is Cats? How did this become a thing?
420360	424440	Because that the movie and the stage musical exist at all, let alone that the musical was
424440	427440	as popular as it was, is somewhat baffling.
427440	431400	I got so fixated on this that I started a podcast about it, where I explain musicals
431400	434820	to my friend who hates musicals. Information in the description.
434820	439380	And of course, our pilot episode was about Cats. But even there, where I attempt to explain
439380	445380	that which is Cats, I kind of fail because that question of why came up a few times.
445380	452260	So it still leads to the real question, which is, who likes Cats? I would argue it's kids.
452260	456580	I say I don't know. Like, I don't, I don't know who Cats is for because I don't know
456580	459260	anyone who's write or die for Cats.
459260	461980	I'm literally looking at a person who's write or die for Cats.
461980	462980	No, I'm not.
462980	463980	You can deny it all you want.
463980	468380	But I don't think that in that episode, I answered that why question satisfactorily.
468380	472780	And part of that is, I think, the mistake of conflating the why for the stage musical,
472780	476740	which is almost 40 years old, kind of like me, and the why for the movie.
476740	480460	I realize now that those two why-god-whys have very different answers.
480460	485280	The first time I saw the film, I was like, well, what did you expect? This is Cats.
485280	487740	But I'm going to have to walk back this assessment.
487740	497980	If we are asking why this happened, and wholly conflating this
497980	503780	with this,
503780	507780	then, my Jellicle friends, we are asking the wrong questions.
518740	524620	Cats the Musical is based on a collection of poems entitled Old Possum's Book of Practical
524620	528320	Cats, written by T.S. Eliot and published in 1939.
528320	532500	As the poems were originally written for Eliot's young godchildren, the nature of them skews
532500	535940	light and comedic, short and whimsical.
535940	541580	Sir Andrew Lloyd Webber not only grew up with this book of poetry, he also just loves cats.
541580	542580	How?
542580	544780	It's about cats.
544780	547120	Just big fan of cats.
547160	550880	Nothing deep, nothing weird, man just likes him a cat.
550880	554360	But Lloyd Webber didn't come to the idea of turning practical cats into a show until
554360	555360	the late 1970s.
555360	559820	A friend had asked him if he'd be interested in composing music set to poetry.
559820	563200	And one day, while Evita was in rehearsals, he thought of that book that his mother had
563200	564780	read to him as a child.
564780	571100	My mother used to read them to me, and I always loved them, and I had them myself, and I kept
571100	572880	them for years.
572880	578160	And I always thought that there was something about them that was very musical, I guess.
578160	581480	But it wasn't until he had a long, liquid lunch with producer Cameron Mackintosh in
581480	585680	1980, however, that Cats the Stage Musical became its own moving engine.
585680	589560	But a large, dance-centric show was a daring move for musical theatre at the time.
589560	593280	Cameron was already friends with acclaimed choreographer Gillian Lynn, who would ultimately
593280	594280	choreograph the show.
594280	598240	The man was wonderful when he made love to me, but I hated him.
598240	602640	But getting the rights from T.S. Eliot's widow, or finding a director, even?
602680	606040	Everybody thought we were mad to do a show about cats.
606040	607040	Everybody.
607040	611040	But it turned out that T.S. Eliot's widow was not as hard a sell as they feared.
611040	614680	After years of dodging requests to make Old Possum's book into an animated film from
614680	618120	companies like Disney, she was afraid that Old Possum would turn out like Winnie the
618120	623040	Pooh or something, Sir Horny Lloyd Webber came to her with a more novel, adult approach.
