start	end	text
0	2000	Okay, happy spring!
2000	4000	Hi!
4000	6000	Let's review, like, a very Halloween-y thing.
6000	8000	Because that makes sense.
8000	10000	Yeah.
10000	12000	A peculiar lemon...
12000	14000	I don't think it's peculiar, that's just sad.
14000	16000	Yeah, I tried.
16000	18000	Need to take a class on, like, the garnishing of drinks.
18000	20000	So yeah, we looked for a peculiar cocktail
20000	22000	to go with
22000	24000	our book that we are discussing
24000	26000	this week, Mrs. Peregrine's Home
26000	28000	for Peculiar Children by Ransom Riggs.
28000	30000	And, uh...
30000	32000	Nella went and found one with vinegar.
32000	34000	Yeah. A vinegar gin martini.
34000	36000	Yeah, so it includes
36000	38000	Earl Grey tea, honey,
38000	40000	um...
40000	42000	balsamic vinegar, your really fancy stuff
42000	44000	that's quite expensive.
44000	46000	I got that for Christmas, like, two years ago.
46000	48000	So I think that might, you know, turn the tide towards us.
48000	50000	A little splash of lemon, and...
50000	52000	Yeah, this could be, like, those pickleback things.
52000	54000	Maybe this could work.
54000	56000	I think it could.
58000	60000	Okay, it works.
60000	62000	Hey, it works!
62000	64000	I think this would not work without the ancient balsamic.
64000	66000	Yeah, this is...
66000	68000	A whole new world of possibilities just opened up before my eye.
68000	70000	Yeah, this is like...
70000	72000	Just like in the book!
72000	74000	Yeah, no, this is like the book.
74000	76000	It's peculiar, but it works.
76000	78000	So we're trying to, from here on out,
78000	80000	Siskel and Ebert this thing to, uh...
80000	82000	We don't discuss it before.
82000	84000	Um...
84000	86000	So whatever our guns are,
86000	88000	we're gonna stick to them, and then maybe
88000	90000	hugging and crying will happen, maybe screaming and fighting.
90000	92000	Who knows?
92000	94000	But before we get started on Peregrine,
94000	96000	we're going to announce our next one
96000	98000	based on your suggestions.
98000	100000	We asked for an adult one
100000	102000	with minimal to no romance,
102000	104000	so we went with, uh...
104000	106000	This is not library copy.
106000	108000	Shades of Grey by
108000	110000	Jasper Faford.
110000	112000	I'm pretty sure that's just Ford.
112000	114000	This one seems to be an adult dystopian novel,
114000	116000	so I think that'll be quite interesting
116000	118000	to contrast with the wide, wide world
118000	120000	of YA dystopia, so thanks for that.
120000	122000	Um...
122000	124000	You poor bastard. You published right before
124000	126000	Shades of Grey.
126000	128000	I know, this came out in 2009.
128000	130000	You poor bastard.
130000	132000	Thank you for your suggestions.
132000	134000	Keep on making them.
