start	end	text
0	2960	Like, a little refinement of the nose.
2960	6320	What's wrong with my nose? Do I look like a Jew?
6320	8320	No, ma'am. Not at all.
8320	10320	Phew!
10320	12320	Borat's subsequent movie film,
12320	17600	delivery of prodigious bribe to American regime for make-benefit once-glorious nation of Kazakhstan,
17600	21840	is a superior film to its predecessor by basically every metric.
21840	24560	Every scene in the film drives the plot forward or builds character,
24560	28000	and it also actually has an emotional core with stakes.
28000	32640	The same can't really be said about the first film, where Borat's mission is just to, you know,
32640	35680	hang out and eventually he decides to kidnap Pamela Anderson.
35680	40000	For the first time in my life, I was in love.
40000	44240	The second film not only centers on the relationship between Borat and his daughter,
44240	48560	it also actually has stakes. If he fails in his mission, he will be execute.
48560	57280	If you do not deliver a bribe to get me into strongman club, you will be execute.
57280	61840	It's no secret that Borat 1 was cobbled together in the edit, and the same holds true of the sequel.
61840	62960	Walla Walla!
62960	67280	But the filmmakers actually set out with an emotional core to the film and worked around that.
67280	70960	But the remarkable thing to me isn't that the film has a much more cohesive structure,
70960	76960	but rather that the joke itself hasn't aged poorly in the way that so much mid-2000s comedy has.
76960	84480	And now, girls jumping on trampolines!
84480	88960	Now, as to whether or not Borat's 1 or 2 can be considered problematic...
89920	93440	I could not concentrate on what this old man was saying.
93440	97040	...is up for some debate. I think it's a fair question to ask how much Borat,
97040	102640	the lovable anti-Semite, helped to normalize ironic anti-Semitism in the way that South Park did.
102640	104080	Oh yeah? Well, you're a stupid Jew!
104080	104880	You're a Jew!
104880	106400	Such a goddamn Jew, Matt!
106400	111600	And ironic anti-Semitism has been the biggest gateway for actual anti-Semitism in this last
111600	114960	decade, giving us a renaissance which we are presently living through.
114960	122160	Kazakhstan, glorious country. It have a problem, too. Economic, social, and Jew.
122160	125120	And I'm not really in a position to say that he's, you know,
125120	129120	Jew-ing wrong. Like Mel Brooks, he is a polarizing figure within the Jewish community.
129120	135440	At times, some critics have said my comedy risks reinforcing old stereotypes.
135440	139760	But anyway, my thought when I first saw ads for the second Borat movie was to compare it to
139760	143840	similar mid-2000s humor that I think on the whole has aged very poorly.
145760	148960	So the method of coping with the state of the world back in 2006
148960	152800	was to kind of act above it all, even when dealing with injustices.
152800	158800	This guy does the best Ali G impersonation. I? I can't do it. Go on.
158800	159200	I don't.
160400	164400	Matt Stone and Trey Parker spent the whole 2000s explaining that things were fine, actually.
164400	165440	Both sides bad.
165520	170480	Welcome to the cable access televised debate between a giant douche and a turd sandwich.
170480	173680	Avenue Q reassures us that things are only for now.
173680	174800	And then there's Borat.
175520	181360	This why Ministry of Information have decide to send me to U.S. and A,
181360	183040	greatest country in the world.
183760	188320	Borat's subsequent movie film is less comparable to Borat than it is to Fahrenheit 9-11.
188320	191280	Borat's subsequent movie film is much more shrewd in its target,
191360	193360	more overt with its politics.
193360	195680	And the first one was still pretty overt.
199920	202240	And it even ends with a call to action to vote,
202240	205360	leaving people who were apparently oblivious to the political undertones
205360	208720	that were always present in Borat confused and upset.
208720	212480	It seems obvious to state out loud, but Borat was always political.
212480	215760	The film spends a lot of time exposing American jingoism,
215760	219920	tricking people into exposing their bigotries or their indifference to bigotry.
219920	221680	Come on and make my day, Jew.
223920	226720	But Borat isn't meant to be political in the way that
226720	230320	Sacha Baron Cohen's later project, Who Is America, is.
230320	232960	If you want to win, you show some skin.
233840	234480	Okay.
234480	235440	Okay, show it to me.
237600	243280	Cohen's earlier characters were more cringe comedy that sometimes excel at being political.
243280	248560	In terms of early Borat, what most people tend to think of is the scene from The Ali G Show
248560	253440	in which he sings a song called In My Country There Is Problem, which features the lyrics.
260720	264400	And from Borat the movie, you have memorable scenes like these frat guys.
269360	272880	But that sort of thing actually doesn't take up that much runtime of the first film.
272880	274160	Mostly it's this sort of thing.
278960	282240	So Cohen uses this lovable anti-semitic buffoon.
282240	287440	The people he's talking to think he's at best a malleable knife and at worst barely human.
291440	294240	They let their guards down enough to say some truly heinous things.
301200	304000	Borat gets people to say the quiet part loud.
308800	313040	Shave that dead gum mustache off so you're not so conspicuous.
313040	315200	So you look like maybe an Italian.
315200	318880	So the thing that struck me about Borat's subsequent movie film was that the movie
