start	end	text
0	6520	When Men in Black became a surprise hit in 1997, it didn't yet have a sequel greenlit, or even written.
6640	10160	But that shouldn't have been a problem, right? Being based on a comic book?
10160	13320	It's the sort of thing that should work well with serialization.
13320	18080	If anything would lend itself to a franchise, it would be something like Men in Black.
18080	20080	Going to get your gun back, huh?
20600	21480	I like this gun.
21480	25320	But here's the problem. Men in Black 1 was an origin story.
25360	29720	The story of fish-out-of-water Agent J joining the eponymous organization.
29920	34520	The end of the film set up a sequel, sure, but it promised a different plot and different characters.
34880	39080	Agent J is no longer a greenhorn. Agent K, the mentor figure, has retired.
39440	45040	Agent L is now the new recruit. So given this setup, what did they decide to do for the sequel?
45520	47840	Okay, well, he's retired, right?
47960	54760	Well, they retconned the ending of the first movie, slotting Will Smith's Agent J back into the position of clueless noob to recreate that
54760	57120	sweet, sweet chemistry he had with Tommy Lee Jones.
57720	59520	Agent L is clumsily written out.
59520	63440	And plus, you can't count L. I mean, she wanted to go back to the morgue.
63440	64520	I just, I helped her.
64520	69920	Frank the Pug, who has a glorified cameo in the first movie, is now bumped up to lead character because fanservice.
69920	73920	I just walked in to find you here with that sad look upon your face.
73920	76160	And there's lots of these guys.
77440	78720	That's gonna leave a scar.
78720	84720	Men in Black 2 didn't build on what the first movie had set up. It just repeated its greatest hits.
85320	87120	And everybody hated it.
87120	92720	Any story can arguably, probably have a compelling sequel.
92720	98320	But unless it's a sort of episodic thing, like a superhero franchise, where by design,
98320	103520	it's more or less gonna have, like, the same conflict and characters each time,
103520	108720	in order for it to be a satisfying story, it should probably be different from that first one.
108720	111120	Expand on the world in some way.
111120	115320	And if that is what you're here for, I have a sequel that's out today.
115320	119920	It's called Truth of the Divine, it's a sequel to Axiom's End, and it is not the same.
119920	123520	Say what you want about it, it's different from the first one.
123520	125120	It is not Men in Black 2.
125120	128720	There, I got my plug out of the way. Seriously, it's my one thing.
128720	135920	You can buy it now, wherever books are sold, as long as you are in the US, UK, Canada, also English-speaking countries.
135920	137920	I don't get any say on the foreign rank.
137920	144320	But there are some stories that probably should just not have sequels.
152320	162920	Love Never Dies is the result of a decades-long attempt to take a fundamentally unworkable story and make it work.
162920	168520	This might also be the musical that was given the most chances of all big-budget musicals,
168520	174520	with productions in Toronto, London, Australia, and even a world tour,
174520	180520	which absolutely, yes, I went and saw, in the futile hope that audiences might take to it eventually.
180520	184520	At least an oomph of the degree to which they did Phantom of the Opera.
184520	189320	Phantom of the Opera is, by most meaningful metrics, the most successful musical of all time.
189320	195320	It has played to over 140 million people in 35 countries and 166 cities around the world,
195320	198120	with an estimated gross of $6 billion.
198120	203120	It has played over 12,000 performances across 30 years at Her Majesty's Theatre in London alone,
203120	207320	and is still the longest-running show on Broadway.
207320	208120	Suck it.
208120	212520	So just so we'll have a point of reference for what happens in Love Never Dies,
212520	217520	here is a brief summary of the stage version of Phantom of the Opera.
219320	221920	Phantom of the Opera!
