start	end	text
0	6800	Wake up in the morning feeling like P.D.
6800	10800	The producers of The Hobbit are looking at shifting the film outside of New Zealand.
10800	15700	New Zealand's latest Hobbit movie is being threatened by an Australian union fight.
15700	19600	Members of Actors' Equity meet and agree not to accept work on The Hobbit.
19600	24600	All we are asking is for fair and equitable terms and conditions, minimum terms and conditions,
24600	26200	that our colleagues overseas enjoy.
26200	29800	Why do most of us live hand to mouth and have to work in other jobs to make ends meet?
29800	31800	It's not like that in other countries.
31800	32800	Are you anti-union?
32800	33800	Absolutely not.
33800	34800	Do you hate actors?
34800	35800	Absolutely not.
35800	37800	Meanwhile, everyone goes apeshit.
44800	49800	The dispute has forced US film giant Warner Bros. to look at moving the production away from New Zealand.
49800	53800	And if the boycott goes nuclear, production of The Hobbit will move to Eastern Europe.
53800	56800	Warner Bros.' key concern was industrial unrest.
56800	61800	No one had even thought in a million years that this movie was going to leave the country.
61800	68800	It is your moment to let your voice be heard and I know your message to the studio will not go unnoticed.
68800	73800	To you, Warner Bros., that you are going to make a fortune out of this film if you film it in New Zealand.
73800	76800	So what we've got is the actors now in full retreat.
76800	81800	New Zealand's Prime Minister has held a crisis meeting with Warner Bros. studio executives.
81800	84800	Executives from Warner's fly in to nut out a deal with the government.
84800	89800	So it now seems increasingly likely that the government will actually change labour laws.
89800	95800	An agreement has been reached between New Zealand, the New Zealand government and Warner Bros.
95800	97800	New Zealand has saved its Hobbits.
97800	104800	To give film producers like Warner Bros. the confidence they need to produce their movies in New Zealand.
111800	125800	What happened in 2010 to your memory? How is this framed to you?
135800	139800	You know, The Hobbit kind of in some ways finished telling the story.
139800	144800	It finished telling the narrative story but it sort of finished telling the business story in a way.
144800	150800	Alright, this is a very political process.
150800	160800	A law was passed essentially to help tie studios over and bring them here that in effect lessened the rights of performers.
160800	165800	It was a law which controlled union activity.
166800	171800	It has essentially allowed people who want to exploit others to go ahead and exploit them.
171800	177800	For actors especially but also for crew that began to take place pretty much after The Hobbit law happened.
177800	189800	I saw the Employment Contracts Act as being one that favoured employers to the point where employees were having fewer and fewer rights.
189800	194800	Okay, so the more I learned about this whole Hobbit thing the more complicated I realised it was.
194800	202800	So we've got a visual aid to help us understand what actually happened in 2010 and onwards.
202800	212800	And yeah, so this is basically the story of how an American Fortune 500 company swooped in to exploit a labour dispute to the benefit of millions and also change the laws of a sovereign nation.
212800	219800	They don't want extra subsidies, all this conspiracy theory nonsense about them wanting more money and more subsidies, no.
219800	227800	Aha, well first we need to understand why there was even a labour dispute for Warner Brothers to exploit in the first place.
229800	234800	The Lord of the Rings trilogy was unique in film history.
234800	242800	I was eight when Lord of the Rings came out, the first Lord of the Rings, and it completely changed my life to be honest.
242800	247800	I still love them dearly, the trilogy, they still really mean a lot to me coming back to them.
247800	257800	With the added element of being something set in New Zealand, filmed in New Zealand and whose New Zealand-ness is kind of intrinsic to what makes it great.
257800	264800	To a degree those first Lord of the Rings films, especially I would argue Fellowship of the Ring, couldn't have been made anywhere else or by anyone else.
264800	271800	I mean Peter Jackson was very inspiring of someone in fact who could make films, keep making films in New Zealand, so that was certainly a goal for me.
271800	274800	Hi, I'm Jonathan King, I'm a New Zealand filmmaker.
274800	278800	I've been working in film for about 20 years I guess.
278800	280800	I wrote and directed a film called Black Sheep.
281800	283800	No, I've only worked in New Zealand.
283800	289800	New Zealanders are very proud of Lord of the Rings and the Middle Earth thing, but also a little bit sheepish about it too.
289800	292800	It's like, it's not all we do you know.
292800	298800	And it's funny how like Flight of the Conchords even, if you think about the posters on the office wall, are kind of poking fun at that straight away.
298800	302800	So even New Zealanders are a little bit embarrassed about that, it's like hey, we're not just scenery.
302800	304800	What about another exclamation mark?
306800	307800	I don't think that's necessary.
307800	311800	The Lord of the Rings helped put the New Zealand film industry on the map in a big way.
311800	319800	And part of the reason why New Zealand was an attractive location for filming was the unions were far weaker than the ones in, say, the United States.
319800	328800	So sooner or later the actors of New Zealand, having helped create the magic of Lord of the Rings, were bound to start wanting at least equal treatment to their counterparts in England and the US.
328800	335800	All we are asking is for fair and equitable terms and conditions, minimum terms and conditions, that our colleagues overseas enjoy.
338800	339800	Yeah, good luck with that.
344800	355800	When we have overseas companies, overseas production companies, overseas studios, come to New Zealand and I believe to Australia, they're doing it to save money.
355800	360800	So this was sort of the world in which this whole fiasco exploded.
360800	369800	I'm Rajnil Singh, I'm a filmmaker and I've been working in the New Zealand film and television industry for the last 12 years, I believe.
369800	376800	By international terms, we are not really a film industry here in New Zealand.
376800	379800	We are a film service.
379800	383800	We do require these international productions to survive.
384800	396800	If we don't, the perception amongst the New Zealand film workers is that 90% of the people will just lose their jobs instantly and will not be able to continue working.
397800	415800	Going back a few years before The Hobbit, we essentially had a number of problematic incidents in our local film and television industry regarding how actors, specifically actors, but it applies to crew as well, have been treated by local productions.
415800	430800	It was one of the elements that essentially had necessitated the formation of actors' equity and had started getting actors really thinking about organising themselves and looking after themselves and fighting their own battles which nobody else was fighting.
430800	440800	Nobody in The Lord of the Rings who was an actor working and living here in New Zealand got any residuals from that.
441800	452800	When The Hobbit came along, my understanding is that Peter Jackson was responsible for ensuring that we did and that was the first major concession we had.
452800	473800	That, I think, was a show of good faith by Peter Jackson, but clearly it didn't match the Screen Actors Guild conditions of return because we were the troublesome group down at the bottom of the world who really should just know our place.
474800	485800	So the local Actors Guild, backed, some might say pushed, by the Australian Actors Union decide that The Hobbit might be a good high-profile test case for us to bargain for better labour conditions. So let's do that!
485800	505800	The first I ever heard about the industrial action which was sold to us as an industrial action that was international with English actors' equity, SAG involved, the MEAA in Australia and locally.
505800	515800	It was announced in the media during the press release at which point all hell broke loose.
515800	522800	Let go home! Let go home! Let go home! Let go home! Let go home!
522800	524800	Why did you call for a boycott?
524800	530800	Actors' Equity then releases a stop work order for actors who've been cast in The Hobbit until fairer pay conditions can be agreed upon.
530800	544800	Tonight's meeting, New Zealand Actors' Equity members have overwhelmingly resolved that its delegation meet with the producers of The Hobbit to hold negotiations in good faith on the terms and conditions for performers working on the production.
544800	546800	It isn't a boycott. It's not a boycott.
546800	549800	Let go home! Let go home!
549800	553800	These are the lives of everybody in the New Zealand film industry. Why are you targeting The Hobbit?
553800	557800	We have never said there's a boycott. It is not in any of our information.
557800	560800	Warner Brothers really does not like this.
560800	567800	It's a question of confidence in our industrial relations and the damage was done within a week of the blacklist going on.
567800	576800	None of the other guilds that run the industry, crew, producers, directors, editors, were informed about this.
576800	585800	So there was somebody in my extended family who came to me and said, you do realise, John, that by not signing you're putting my work at risk as well.
585800	604800	If you are working as a set builder and you've got somebody over here from America who is doing the same work and they are earning twice what you're earning for doing work that you are very good at doing, at least if not a better standard than this other person, is that alright with you?
604800	616800	The opposition to the industrial action across the board did not come from people thinking that actors' equity was asking too much.
616800	623800	It was nothing to do with that. It was a genuine, genuine fear of what Warner was going to do to retaliate.
623800	633800	The industrial action has the support of actors' unions around the world and big names like Karl Urban come out in support of it.
633800	639800	But local crews in Peter Jackson are terrified that this will scare Warner Brothers away from New Zealand altogether.
639800	645800	And they are frankly worried because the actors bought a completely frivolous action.
645800	660800	Now if they've done that once, what happens in a year's time when Warner Brothers have spent $250 million, they're halfway through the film and the actors decide to have some fun again. It's like it could happen all over again. They have no confidence.
660800	666800	They then came back with the argument, well we'll just go somewhere else, we'll go and do it in Hungary or Poland or somewhere like that.
666800	668800	Social media exploded with fighting.
668800	673800	And there were protests in the streets about what actors' equity was doing.
674800	682800	Seeing Weta Workshop staff and Richard Taylor and everyone else marching down the streets in Wellington.
682800	687800	The idea became, hey the Hobbit's going to happen, but it could happen in Ireland or it could happen in the Czech Republic or whatever.
687800	697800	And I think the New Zealand public kind of poo-pooed that and didn't believe, I think we felt such ownership of it that no one believed for a second that it would go anywhere else.
697800	706800	And I think anyone who knows much about international filmmaking is that it could quite easily have gone anywhere else.
706800	712800	There were these really nasty divisive forces at work.
