start	end	text
0	4480	Good afternoon! I hope everyone is having a lovely war on Christmas.
4480	8400	If you're anything like me, you're all dressed up with nowhere to go.
8400	11840	Literally the first Christmas where I don't get to see my family
11840	20160	in all of my 36 years on this earth. Yeah, I'm fine with that.
20160	24880	This episode was brought to you by my publisher asking
24880	28640	when I'm going to do a content of promoting my book before Christmas.
28640	34080	Just under the wire. You can see it right here along with some other
34080	40480	gift ideas for the SFF fan in your life. It's only mostly
40480	44880	extremely nepotistic. I had a run-in with the oven if you're
44880	47680	wondering. So I wanted to do a Q&A for a while but
47680	50880	the thing about books is they take a lot longer to get through than
50880	53440	movies and generally when they're released it's not like everybody reads
53440	55600	it all in the same week. It's a very slow burn.
55600	58640	But it's been about five months so I figured I can
58640	63920	break this down into a no spoiler discussion or at least what I
63920	66720	consider no spoilers. Like if it's if it's in the
66720	70960	you know blurb on the jacket then it doesn't count as spoilers.
70960	74960	Spoilers section where I actually talk about the content of the book in a
74960	78720	spoilery way. Finally sequel stuff at the end and I
78720	81520	don't want to say it'll be spoilery but it would be like on the level of stuff
81520	85200	that you read like on the jacket blurb which incidentally has not been written
85200	87040	yet. So the way I did this was through
87040	91520	Twitter because that required the least amount of effort on my part.
97520	101280	What software did you use to write slash organize all the world building going on?
101280	104720	Is it a bunch of Google Docs? More specialized things with Scrivener?
104720	109360	Both. I use Google Docs for a lot of it like especially keeping track of like
109360	112560	timelines. Like there's like I guess sort of the
112560	116720	macro timeline of um you know alien civilization and when
116720	121520	we hit what milestone like becoming spacefaring becoming interstellar
121520	125760	you know becoming post-natural and then there's the micro timelines like
125760	130480	you know the human family trees and when so and so was born and what year they
130480	132560	were born and when they went to school and how they met.
132560	136400	But mainly I use Scrivener. I just have to have a really clear road map before I
136400	138960	actually do it and I use Scrivener for that and I find
138960	142720	Scrivener very good for organizing massive projects especially one
142720	147600	like this that is like a combination of epistolary novel and
147600	151600	uh regular prose novel because I have to categorize the different sections
151600	155280	especially in the sequel which has multiple points of view. In your video
155280	157680	talking about your book deal you mentioned reasons why it didn't sell in
157680	161440	it having to do with publishing trends. Would it be a spoiler for the sequel if
161440	164880	you went into those reasons now? No. But generally when we talk about
164880	167680	publishing trends publishers want something that is
167680	170880	similar to something that has already done well
170880	174880	because like Hank Green's book uh An Absolutely Remarkable Thing was like
174880	178720	the only comp we had when we had on submission. Besides his book there
178720	183120	weren't really any other you know best-selling sci-fi
183120	185360	novels that were also sort of contemporary
185360	189760	real world grounded type stuff. Publishers want to buy things that are
189760	192320	similar to things that have done well within the
192400	196880	last five years and um in terms of like commercial
196880	199360	science fiction there weren't a lot that were similar.
199360	202400	Did you deliberately set out to write basically the book Transformer should
202400	205040	have been? I mean if you're talking about the movie
205040	212560	uh maybe. I feel like so much of my adult life has
212560	216320	been shaped by frustration with Michael Bay and I
216320	220160	think like one of the things that like I kind of got obsessed with with the first
220160	223040	Transformers movie after it came out was that
223040	226960	it did kind of set up a really interesting premise which was that
226960	230400	okay aliens show up but the world doesn't end what now?
230400	234320	Especially after the second one um the the worst one
234320	237600	arguably no actually I think maybe they're all really bad but like the
237600	240960	second one ends with like the fallen being like we're here we're
240960	244320	queer we're gonna kill you but then you know the world doesn't end
244320	248960	so like what then and they kind of they kind of tiptoe up to like doing
248960	252160	something interesting with it like how in the third movie there's like
252160	256720	you know John Turturro hanging out with Transformer refugees in Cuba.
256720	261360	Buy my book! Buy my book! I think it is also very fair to say that
261360	266480	uh a lot of it was shaped by frustration with Mr. Bay's Transformers franchise.
266480	269680	When describing Korra's outfits did you try to create an iconic look
269680	274080	for a potential adaptation? Yeah sort of what I thought were the most
274080	278160	visually I don't know 50s b-movie scenes. I keep
278160	280880	describing this uh tiered chiffon maxi dress from the
280880	285040	1970s and um I don't know why I decided to go with
285040	290080	that and not something more like you know 1950s um
290080	293600	but I think it was just it was kind of like a janky
293600	298720	like a janky version of that um you know something white and flowing and damsel
298720	301920	but also like cheap and polyester in 70s. When will
301920	305040	you write an omegaverse novel? I don't think I need to someone already
305040	309680	wrote an omegaverse axioms in fanfic. It's on AO3. No I haven't read it I'm
309680	312720	not allowed. In regards to Korra's experience with linguistics in college
312720	314720	have you ever taken any linguistics courses?
314720	319120	Yes at NYU I had what they call a um concentration
319120	322800	which is what it is when you don't have enough credits for a
322800	327280	minor but you had enough where they're like
327280	331360	ah we could put that on the degree somewhere whatever. Axioms in ready read
331360	334720	very much like the natural disaster films of the 90s. How much of this was
334720	337280	intentional? I didn't really set out to do that but I guess
337280	340480	some of that was inevitable because so much of like the plot and the structure
340480	345040	and the character dynamics was very much inspired by movies like that
345040	348320	and like towards the end of the process like after the book sold and while we
348320	351200	were in revisions like I kind of allowed myself license to
351200	355120	just like go all in on it. I've seen Independence Day probably more times
355120	361440	than I've seen any other movie. Let's just own it you know and it's like
361440	364080	there's a lot of Men in Black in there um
364080	367680	there's a lot of Invader Zim in there it's sort of like which is which is
367680	370560	funny because I saw that Jonan Vasquez posted like
370560	373840	check out my book haul and that was in it and I was like oh no
373840	378000	Pathetic humans fleeing in terror at the sight of Zim!
378000	381920	Nobody even looking at you! It's a show of respect!
381920	385840	Their stupid eyes can't handle all these!
385840	389040	Because I was watching the new Invader Zim movie uh
389040	393200	Enter the Florpus and as I was watching it I was like holy shit I forgot
393200	398880	how much Invader Zim um kind of crept into like the world
398880	403600	building it's almost sort of like uh Invader Zim played straight like
403600	406400	which I'm sure Jonan Vasquez would be horrified by
406400	410240	like even even uh Kaylee Donaldson of Pajiba pointed this out
410240	413840	it's sort of like ampersand is almost like a if Invader Zim
413840	418480	was competent but where are the flames I can't rule the world without cool
418480	421920	flames shooting up behind me
430000	432720	now that it's out can you talk about what it was like watching bumblebee with
432720	437600	this in your pocket bumblebee came out right before
437600	441280	the book went on submission I loved bumblebee because it was you know
441280	444480	the Transformers movie so the only good Transformers movie but it had a lot of
444480	448160	similarities and when I was watching it with uh Lisa for the first
448160	450880	time this one um she we were in the movie
450880	453760	theater and she just kind of like whispers to me like
453760	457520	this is a lot like your book and I'm like oh it's
457520	460640	they stole my idea not the other way around but the but the really funny
460640	464640	thing was uh when we were um the first blurb
464640	467920	Saint Martin's Press sent me that was like the cover copy
467920	471520	this thing it basically like it read it read
471520	475680	like the plot of bumblebee so much that it included things that were
475680	479600	in the movie bumblebee but were not in my book
479600	483120	for instance like we are being pursued by
483120	487360	like evil John Cena it's like but no that's not the plot that's not what
487360	490320	happens oh my god if the Axiom Zen series was adapted for
490320	493280	tv would you rather see it made into live action or animated
493280	496800	I don't know it depends on who's making it if it was animated I feel like it
496800	500160	would have to be like either anime or anime style you know
500160	502960	because it should feel a little aged up but yeah I
502960	505680	don't know I think I think that really depends on who's at the helm
505680	510080	and what the budget is because I think the thing is like if it was animated
510080	513680	for the content that it is it would probably be cheaper than live action
513680	517040	because like geez I I kind of doubt we're ever going to see
517040	520640	a live action version what language slang phrase do you use often that was
520640	523040	off limits due to the period setting that you chose
523040	527840	the truth is um I was a lot more careful about that for the sequel like I have an
527840	531680	entire thread that was neologisms that I started to write but had to cut
531680	534960	and I guess they would tend to be like internet thing like
