start	end	text
0	10560	My name is Bilbo Baggins.
10560	11560	Why not?
11560	19880	Much as I was disappointed in The Hobbit, it is hard to ignore that the industry climate
19880	24680	this Hydra was created in is very different from the industry that produced the Lord of
24680	29360	the Rings trilogy, which went into production thirteen years ago.
29360	34480	So the original trilogy kind of crossed the nostalgia border a little while ago.
34480	40580	So I kind of have to admit, my disappointment in The Hobbit stems largely from trends that
40580	43680	sprung up from the original trilogy.
43680	48200	The original franchise changed the way movies were packaged, filmed, marketed.
48200	52560	And if Transformers was the game change for modern film aesthetic and marketing, Lord
52560	56400	of the Rings was the game change for film franchise and marketing.
56440	62560	So for the next three episodes, we are going to look at the product, the content, the effect
62560	69280	on the industry and culture that was the original Lord of the Rings film trilogy, starting with
69280	77240	The Fellowship of the Ring, the best film, the most cohesive, well edited, and well written,
77240	80560	best adapted film of the three.
80560	81560	Shall we?
81560	89840	Much that once was is lost, for none now live who remember it.
89840	96520	Except for you, and that guy, and this guy, this other guy.
96520	99960	Okay, there are plenty of people who now live that remember it, but it was a cool line.
99960	102520	So let's talk a little bit about genre.
105480	108920	I've always found it a bit odd that fantasy and science fiction are lumped together in
108920	113240	the bookstore, frustrating even, as I would not consider myself much of a fantasy fan.
113240	119720	The two genres have a touch of an ideological split, and while obviously every individual
119720	124560	work has a different theme and purpose and level of originality, yada yada yada, the
124560	130280	basic gist is that fantasy is more history oriented and backwards looking, where science
130280	135760	fiction is more speculation and science oriented and forwards looking.
135760	137640	Obviously these things exist on a bit of a spectrum.
137640	140920	You look at something like Dune, which is sort of a weird futuristic slash historical
140920	145040	fiction that's very influenced by history and mythology, and the Dragon Riders of Pern
145040	148480	series, which is at least as sci-fi-ish as Star Wars was.
148480	154080	But fantasy as a genre has always been kind of limited by its influence, and that influence
154080	156440	in modern times has been one thing.
156440	157440	Bam!
157440	162160	The modern fantasy genre was heavily inspired by the works of Mr. Tolkien, and Mr. Tolkien
162160	165640	was heavily inspired by European languages and history.
165640	169680	Also, the western world, we just like Europe.
169680	175660	So as a result, fantasy is very rooted in European folklore and history.
175660	179640	Movies like Princess Mononoke, for instance, which incorporate lots of Japanese mythology,
179640	183920	yes, but they don't define the genre to western folks the same way something familiar
183920	187040	feeling like dragon heart or willow mite.
187040	191280	Fantasy is the realm of magical expansions of things that are already familiar in the
191280	192280	collective unconscious.
192280	199240	Castles, kings, dragons, fairies, magic, old beard guys, and pointy hats.
199240	202720	Fantasy is folkloric, and yeah, you can just pull stuff out of your ass and call it fantasy,
202720	207120	and I guess that would be true, but it's certainly not what comes to mind when people think of
207120	208120	genre.
208120	211800	Marketing is a very important component, especially when it comes to film.
211800	214980	As a result, there's not a lot of wiggle room for new ideas.
214980	218800	In film, fantasy has been the realm of the rehash of archetypes.
218800	222720	Sci-fi, on the other hand, while sci-fi has had plenty of dumb and pulpy shit, it's
222720	227120	also had plenty of opportunity to produce culture-changing, challenging cinematic masterworks
227120	235000	like Alien, 2001, A Space Odyssey, Blade Runner, D- wait, oh, also, sci-fi has Star Wars.
235000	243000	But wait, wait, you say, Star Wars is science-fantasy, it's got the force, it's not really science
243000	247620	fiction, and yeah, I might agree, but think again of Joanne and Cletus.
247620	249920	So what did fantasy have?
249920	252780	What were the great fantasy films?
252780	253780	Dragonheart?
253780	254780	Labyrinth?
254780	255780	Dragon Slayer?
255780	260020	Yeah, there was a bit of a fantasy craze in the 80s, fueled in part by the renaissance
260020	264060	of the works of Tolkien and subsequent underground rise of Dungeons and Dragons, but it stayed
264060	265960	pretty much underground.
265960	270220	Fantasy up to this point had been relegated to something of a low-art ghetto.
270220	272260	At best, fantasy films were cult classics.
272260	277100	You had a couple of failed attempts at big blockbusters, no serious successes.
277100	281540	At the end of the day, these suckers just didn't make much money, critics despised
281540	283780	them, and not a lot of people saw them.
283780	286900	Fantasy was a niche market, and even if Lord of the Rings was one of the best-selling books
286900	291820	of all time, that didn't necessarily mean that the public, Joanne and Cletus, wanted
291820	295700	to see a movie based on it.
295700	298380	Enter this guy.
298380	304100	And thus begins one of the most baffling film careers in Hollywood history.
304100	313780	Peter Jackson took a sort of Sam Raimi trajectory, as he started in the realm of extremely low-budget
313780	321900	horror films, but this man would go on to produce the most Oscar-winning film of all
321900	322900	time.
322900	327060	You can definitely see this, shall we say, preoccupation in some of the fight scenes
327060	329540	in Lord of the Rings.
329540	334900	The Peter Jackson oeuvre all throughout the 80s and early 90s was gross-out and goofy.
334900	338900	Then one day, Peach is all like, oh, 180, I'm gonna do a series art film.
338900	340900	Gina!
340900	342900	I'm coming!
342900	344900	I'm coming!
344900	349100	Heavenly Creatures was not only a critical darling, it also netted Peach an Oscar nomination
349100	353900	for Best Screenplay, started his career in earnest in Hollywood, and also this... lady.
