start	end	text
0	7600	So 2017 was a momentous year in which a mainstream movie finally went where scores of women had wanted it to go for decades.
20600	25240	The Shape of Water takes the monster movie in a new direction, conceding that, hey,
25240	28980	maybe the maiden isn't terrified of being carried off by the fish man.
29280	34100	Maybe she relates to the fish man. Maybe the fish man is lonely like she is.
34500	41760	Maybe the fish man is treated the same way that you, a woman or disabled person or gay man or person of color in
41880	44480	your unfair era, feel treated by society.
44680	49240	Maybe that fish man just wants what most of us want, which is to feel loved and safe.
49360	52680	Wait, he ate your neighbor's cat? And you find a lot of people,
52680	58220	but especially women and LGBT people, who are super excited that Del Toro is going there.
58920	66000	And just as many people who were kind of bewildered that there were people who were excited that Del Toro was going there.
66000	69760	The Shape of Water is not necessarily the first piece of media that goes there,
69760	73480	but it does mark a turning point in taking that idea and turning it mainstream.
73480	77640	The monster in The Shape of Water is not a changeling. He does not turn into a prince at the end.
77640	80940	There is no transformative change brought on by contact with beauty.
81100	84540	He is an anatomically correct fish man, and she's super into that.
84540	86540	Does he have a...
93020	93700	Mm-hmm.
93700	98780	But the ideas in and of themself are not you and unique. That all of this is present in a critically acclaimed
99300	105260	mainstream movie is new and unique. And there are those out there that are like, what happened?
105260	109660	Why are women suddenly into this idea of boinking monsters?
109660	117040	And it's not that they suddenly are, it's that there is a mainstream filmmaker who is ready and willing to go there.
117580	121440	Obviously, this is nothing new. This is, dare I say it,
122300	124300	a tale as old as time.
124700	126700	Tale as old as time.
129580	131580	True as it can be.
131700	135640	The folkloric monster is always a sort of embodiment of cultural anxieties,
135720	137720	either ones that must be understood,
138080	143040	endured, or empathized with, as in the case with Beauty and the Beast, or one that must be vanquished.
143360	149060	Historically, the Beast in Beauty and the Beast stories is an animal. Wolves, bears, or some sort of chimera of the above that posed an
149160	150800	existential threat to our ancestors.
150800	157160	There are folk tales about animal bridegrooms in every storytelling culture, and in Western culture it often acts as stories of
157360	165280	transformative redemption. What author and folklorist Maria Tatar has described as the transformative power of empathy that encodes messages about how we manage social
165400	172520	and cultural anxieties about romance, marriage, and the other. In the 20th century, the Beauty and the Beast dynamic evolved a more reactionary,
172840	178740	fearful stance, where the Beast was a giant ape, or a gillman, or an alien, or...
179960	181280	We'll get to that.
181280	188080	The 1950s horror monster is particularly noteworthy with regard to the shape of water, not only because of the time period, but because of the
188200	191280	anxieties the monsters are inspired by. The Cold War,
192200	193620	desegregation,
193660	199740	emotionalization, and so on. As Tatar points out, in the future the Beast may take the form of an android or a cyborg,
200340	202620	machines that embody our anxieties and phobias.
202620	204620	I'm half machine.
204620	206620	I'm a monster!
208980	215980	So beasts, whether they must be vanquished by the hero or they turn into a prince at the end, must also have elements that make them
216260	221220	attractive. The Greek word for monster, teras, captures the paradox of monsterhood,
221740	228500	designating something both repulsive and attractive. Which brings us to why beasts are so often paired with, and ultimately
228860	231100	transformed by, or killed by,
231940	233940	beauty. It wasn't the airplanes.
235220	237220	It was Beauty killed the Beast.
238860	243340	Nearly every storytelling culture maps out dating practices with Beast
243540	249540	partners. From ancient Rome, with the myth of Eros and Psyche, to the old Norse folk tale, East of the Sun, West in the Moon,
249580	256180	which is nearly identical to the myth of Eros and Psyche, an Indian variant has a girl in an arranged marriage to a snake, and
256300	262020	in doing exactly as she is told and being happy in her arranged snake marriage, the snake turns into a fancy Brahmin.
262020	267580	There is a Chilean version that is almost identical to the myth of Eros and Psyche, with the prince taking the form of an enchanted
267580	273620	parrot. A Ghanaian variant features an inversion on the arranged marriage theme, in which a girl marries for love and oops,
273620	275020	she married a hyena man.
275020	278660	And that's why you should always listen to your mother and enter marriages arranged by your parents.
278660	283060	These folk tales originate in times when arranged marriages were the norm in pretty much every culture on Earth.
283340	288860	Many in arranged marriage must have seemed like being tethered to a monster, and the telling of stories like Beauty and the Beast may have
288860	294180	furnished women with a socially acceptable channel for providing advice, comfort, and the consolation of imagination.
294700	301780	See girls, he may seem like a horrible monster, but you know, maybe if you're really nice and virtuous and self-sacrificing,
302260	304260	you can change him.
304340	307820	Common themes of Beauty and Beast tales the world over include
308060	310060	Beauty is not like other girls.
310220	318180	She is exceptionally virtuous and self-sacrificing. Other less virtuous female characters, what we in the academic world call jealous bitches,
318740	324540	Beauty is often punished for her curiosity about the Beast. As with Psyche and East of the Sun, West of the Moon,
