start	end	text
0	5960	So, what's on the menu today?
5960	11320	Today we have a very special episode that I'm super excited about on both counts.
11320	15760	Let's see, let's start with our libation today, which we haven't even poured yet.
15760	17400	It's mainly because of this one reason here.
17400	18400	Oh, yeah.
18400	20220	Let me show you the audience at home.
20220	27540	It's because it's made by nerds, so hence we're obligated to drink this.
27540	29500	This is called Industry Standard Vodka.
29500	33460	The truth is, this was a gift from the people who make it.
33460	38060	They are some very nice, very cool people in Brooklyn, and this one's exciting to me.
38060	39660	I'm not normally a big vodka person.
39660	43060	You're supposed to drink it neat and chilled, which this is.
43060	46960	We planned ahead today.
46960	49780	And it's made with sugar beets with love and yeast and all sorts of fun things.
49780	51780	And it smells like nothing.
51780	52780	And super smooth.
52780	53780	I've had it before.
53780	57380	It's like ridiculously smooth.
57380	58380	Holy shit.
58380	59380	Yeah.
59380	60380	I'm not normally a vodka person.
60380	62380	I am not a vodka person either.
62380	63380	Well done.
63380	65260	I think sugar beets is where it's at.
65260	66260	Yeah.
66260	67260	The future is sugar beets.
67260	68820	The future of vodka.
68820	75420	If you're in the New York area, you can find it here, or you can order it maybe here, depending
75420	76420	on what state you live in.
76420	77420	You know how that is.
77420	78420	Cheers.
78420	79420	Let's begin.
79420	91100	This is a very special episode because, as you know, or at least our previous viewers,
91100	97140	we usually review things based on your suggestions, things that are already out, so you can read
97140	98480	along with us.
98480	100100	So today is a special one.
100100	103860	We are reviewing Lock In by John Scalzi.
103860	105420	Very exciting.
105420	108460	And this is one that has not come out yet.
108500	113540	So this will be an interesting episode because since it hasn't come out yet, we can't go
113540	118820	into very much depth about the plot and the who did what and the who killed who and the
118820	120780	what now.
120780	124580	So basically, we're going to split this one into two.
124580	128420	First half, we're going to give our broad impressions, who would like it, what we thought
128420	131180	about it, what the basic premise is, et cetera.
131180	136900	And then after the break, we are going to have a very mild spoilers discussion.
136900	137900	Deeper discussion.
138340	143500	Yeah, we won't be spoiling any plot elements, but we will talk about characters and style
143500	146500	choices and story decisions, stuff like that.
146500	152140	If you don't want extremely mild spoilers, then just, you know, keep the video in your
152140	156900	tabs, go out, get the book on August 26th, which is when it comes out, and then come
156900	159420	back and watch our video.
159420	161380	And then come back and watch part two.
161380	167140	So let's see, Lock In, a novel of the near future, basic premise is a new virus shows
167140	173060	up and creates a scenario where some people who catch the virus, their bodies just stop
173060	174060	working.
174060	177500	So they're what's called locked in, they're still in there, they're conscious, but their
177500	179020	bodies don't go.
179020	187540	Well, it examines what would happen in a society, especially in America, when 1% of your population
187540	192220	is in this locked in state, they are still there, they're still human, they're still
192220	196180	thinking, they cannot move, they cannot take care of themselves.
196180	201860	And a lot of government money subsidizes the care and development of technologies that
201860	207140	allow the locked in to integrate back into society.
207140	211260	And the solution, of course, is robots, basically.
211260	216820	And the main conflict at the beginning of the book is that a law has been passed by
216820	224900	the government that will no longer subsidize the care and cost of being a Hayden, or a
224900	226580	lock in sufferer.
226580	231020	So there is sabotage and intrigue from there.
231020	236420	Nella, what did you think of Lock In by John Scalzi?
236420	243980	I thought it was the kind of world building that is so well realized, it needs more than
243980	244980	one book.
244980	249780	And I'm the one sitting here complaining about a series, no more series.
249780	254260	And here I am sitting here being all like, oh God, it ended on a cliffhanger, not another
254260	255260	series.
255260	256260	I just wanted a standalone.
256260	260580	And then the standalone comes across and I'm like, this could have really worked if I was
260580	261580	a TV show.
261580	262580	Yeah.
262580	266460	And the funny thing is, there were a lot of elements about it that kind of reminded me
266460	270420	of, I believe, the now canceled show, Almost Human, that I watched and enjoyed.
270420	274620	But I always found it could have explored its own world much better.
274620	279980	And I feel like this did what Almost Human wanted to do, which was create the society
279980	288820	of haves and have-nots, and also of a different class structure that reflects upon really
288820	296180	our own, because it's sci-fi, and explores it really well, but leaves so much left to
296180	297580	still explore.
297580	300060	I agree completely.
300060	302660	Good night, everybody.
302660	309900	No, it's funny, because I mean, it was funny, because I was talking to some people, and
309900	315340	they're in publishing, and they had also read it, and it seemed to think it was a spoiler
315340	316340	the fact that it ends.
316340	322580	I was like, no, that would be in the promotional material, right?
322580	326340	But I was not expecting it to end.
326340	331140	I was like, 20 pages from the end, I'm like, surely, no, this isn't one.
331140	333140	Oh, I guess it is.
333140	335760	Can I just say one?
335760	337900	It has a great resolution.
337900	341860	I was so thoroughly entranced by its resolution.
341860	348740	It ended so neatly, because I found myself, because it was in the last, what, 20 pages
348740	352700	of the book, and I was getting that- The Shades of Grey?
352700	358060	The Shades of Grey, with the whole fear of, no, there's no way this will resolve itself,
358060	363320	or it's going to resolve itself really fast, and instead, it was just fast enough.
363320	367380	It's funny to mention Shades of Grey, because maybe it's because I read this right after
367380	373460	I read this, and I was kind of in that brain space of longing for death, because all world
373460	382100	building and no subsidence, so this was quite refreshing after Jasper Ford, where I longed
382100	383100	for death.
383100	389360	Well, one of its huge strengths was the characters, and it was a huge strength and a weakness,
389360	396060	because there's so much left to the imagination, and I feel like this is kind of a him thing,
396280	398780	You've never read any of Skullsy's books, right?
398780	399780	Not yet.
399780	400780	This is your first.
400780	405660	So that is definitely a thing with him, where it's kind of obvious that he has in his head
405660	411380	these giant character backstories with far reaching implications and sweeping motivations,
411380	417820	but there ends up being A, a cast of thousands, and B, a lot not on the page.
417820	423300	A lot just sort of like someone will show up and may or may not serve a plot point,
423300	428500	but they kind of have a lot that you don't see, which I guess maybe we're kind of used
428500	433860	to seeing, like the NaNoWriMo must put more words in all of the things.
433860	434860	Tigers.
434860	435860	Yeah.
435860	442220	I think I much prefer the, it could have been a series, but it stands alone.
442220	444700	That you actually leave your audience wanting more.
444700	449540	Well, I guess I kind of have mixed feelings about it, because I left this book kind of
449540	454780	feeling too much world for not enough book, because it is a very short book.
454780	456820	It is extremely, extremely zippy.
456820	463060	It was such a well-realized world, and there were a lot of things that were mentioned,
463060	466460	but barely explored.
466460	476100	To me, it kind of felt like a sci-fi examination of the struggle within the deaf community,
