start	end	text
0	4300	Central to one of the most basic discussions in film studies is that of genre.
4300	6400	Individual movies don't exist in a bubble,
6400	9100	they all have one or more assigned genres,
9100	13400	because humans like to organize and label all the little minutiae of existence.
13400	15400	So what is genre?
15400	18400	What genre does Transformers even fall into?
18400	21400	And how has Transformers...
21400	25400	transformed genre?
25400	27200	I planned that.
27200	29200	I don't play.
29200	31200	I don't play.
31200	34200	I don't play.
34200	38700	So genre is both incredibly fluid and surprisingly rigid.
38700	42200	Genres are being created, changed, and redefined all the time.
42200	45200	A film might be produced and marketed as one genre,
45200	48200	but then might be retrofitted by history as falling into another.
48200	50700	An interesting example might be Frankenstein,
50700	53200	which is widely considered to be the first science fiction novel,
53200	55700	but when the novel came out, we didn't have a term for it.
55700	59200	The term genre is also separate from the term genre film,
59200	62200	which most would consider the Transformers franchise to fall into.
62200	66200	The term genre film usually refers to speculative fiction,
66200	68700	outside of traditional rooted adult dramas,
68700	72700	and more in the vein of science fiction, fantasy, action, and adventure.
72700	77200	Genre films are also kind of a subtle term for films that don't deserve awards.
77200	78200	Hollywood.
78200	80700	Genre, as a blueprint for audience expectation,
80700	83200	can be considered a part of film language.
83200	85200	According to film historian Bill Nichols,
85200	88700	the rules and conventions of genre constitute a type of language, or code,
88700	94200	by which filmmakers construct film whilst at the same time also operating as a language, or code,
94200	96200	by which the audience reads film.
96200	99200	In that sense, genre is the most basic element of film language,
99200	104200	but these elements are more for marketing, for the filmmakers, and for the consumer,
104200	106200	rather than being a part of text and framing.
106200	111700	Elements for the genre of romantic comedy include fun, lighthearted tone,
111700	115700	a focus on the formation of the couple, and a happy ending.
115700	119700	Elements for the genre of horror include a perversion of domestic stability,
119700	122700	gruesome elements inserted into some form of status quo,
122700	125700	and psychological manipulation.
125700	130200	Elements for the action genre include a fast pace and intense spectacle.
130200	133700	Elements for the science fiction genre include the use of speculative elements
133700	138700	to explore questions about technology, sociology, the future, and the nature of humanity.
139700	151700	There are... debates as to whether or not Transformers can be considered science fiction.
154700	158700	I did an informal poll on Twitter, and I got a pretty wild variation of what genre
158700	160700	the Transformers movies even fell under.
160700	164700	So how do we contextualize the genre of these films, or indeed, any film,
164700	168700	and why do films even need to be contextualized in terms of genre
168700	170700	outside of the demands of marketing?
170700	173700	According to the most recent edition of AS Film Studies,
173700	176700	we might recognize that each genre has its own iconography.
176700	180700	That is to say, characteristic props, costumes, settings, and character types
180700	183700	that act as visual signifiers alerting us to the appropriate category
183700	186700	within which we can expect to pigeonhole any particular film.
186700	191700	So perhaps the most obvious answer to where does Transformers belong is science fiction.
191700	194700	There's a divide between so-called hard science fiction,
194700	197700	that is science fiction based on technologies that are theoretically possible,
197700	202700	and soft science fiction, anything that involves technologies that are theoretically impossible
202700	204700	or where the technology isn't really explained.
204700	207700	Given that Transformers isn't terribly concerned with realism,
207700	210700	I think it's safe to say that it is not hard science fiction,
210700	214700	perhaps soft science fiction, or even science fantasy.
214700	217700	Or perhaps Transformers is just straight fantasy.
217700	220700	In publishing, science fiction and fantasy tend to be lumped together,
220700	224700	which kind of bugs me because they are generally quite different genres.
224700	226700	Fantasy is more seeking to mythologize.
226700	229700	Science fiction tends to look forward and explore anxieties and fears
229700	232700	relating to our shared future and to technology.
232700	235700	The Transformers movies fall much more on the mythologizing side of the spectrum
235700	237700	than the forward-looking side.
237700	240700	Hell, the fifth movie has King Arthur as a major plot point,
240700	243700	so wouldn't that make them more fantastical?
243700	247700	The films are much more concerned with ideas like destiny and honor, such as it were,
247700	251700	and way less in how speculative elements affect our future and our shared humanity,
251700	255700	similar to what you would see in a film like Arrival or Blade Runner.
255700	258700	You could make the case for Transformers as science fantasy more in the vein of Star Wars,
258700	260700	but that feels incomplete, too.
260700	264700	Let's look at something like Universal's The Mummy, which is on its third major iteration.
264700	268700	The first version of The Mummy, which starred Boris Karloff and was released in 1932,
268700	270700	would now be classified as horror.
272700	276700	But the 1999 remake, released in a wildly different time for a different market,
276700	280700	retained little of the horror element and was more of a fantasy action comedy.
283700	287700	And the new version would fall into the genre of...
287700	290700	God, I honestly have no idea what they were going for,
290700	293700	but I think the intent was more to lump it in with Transformers,
293700	299700	into this nascent genre of big-budget nostalgia-based action fantasy camp.
299700	303700	The b-b-nag-b-genre.
303700	305700	I mean, you have a better name?
305700	307700	You could also make the case that directors are a genre,
307700	310700	because with certain directors come certain expectations.
310700	312700	Michael Bay is almost a genre unto himself.
319700	323700	And that helps people contextualize, or even excuse, the badness of his films.
323700	327700	And I cannot tell you how many times I've heard that defense of Michael Bay,
327700	329700	like, it's Michael Bay, it's not supposed to be good.
329700	332700	It's like, would you say that about food?
333700	335700	Like, some food's just not supposed to taste good, okay?
335700	336700	Just eat it!
336700	341700	Let's look at an example of director-as-genre working against a movie's favor.
341700	344700	With Steven Spielberg's A.I., many people came away from the film
344700	346700	feeling the ending to be almost saccharine.
346700	348700	Typical Spielbergian.
348700	351700	But would people look at it that way if they saw it as a Kubrick film?
351700	353700	Which, really, it was.
353700	355700	If you look at A.I. through the lens of Kubrick as auteur,
355700	359700	the ending no longer seems so saccharine, the outlook no longer so optimistic.
359700	362700	That shift in expectation and subversion of expectation alone
362700	364700	completely shifts how the viewer frames the movie.
364700	369700	All the problems seem to have disappeared from his mommy's mind.
369700	371700	So without changing a single frame of the film,
371700	373700	just looking at the film in the context of the Kubrick canon
373700	377700	rather than the Spielberg canon changes how the audience perceives the movie.
377700	379700	Movies with Mikey did a great in-depth look at this movie,
379700	381700	and you should check it out for more on this dynamic.
381700	384700	So genre is a part of film language because it helps the audience
384700	386700	contextualize what they are seeing.
386700	388700	A part of that context is expectation,
388700	391700	but important also is the subversion of expectation.
391700	394700	Genre films have to build on the language of previous genre films.
394700	398700	Expand on its subverted audience expectations, but not too much.
398700	402700	Without that subversion of genre, audiences will stop showing up
402700	405700	because they've seen this all before, and it's starting to feel stale.
405700	408700	This was basically what happened to Disney movies after the 90s renaissance.
408700	410700	The films got too repetitive.
410700	412700	But then when Disney tried to break from its mold and expand,
412700	415700	it got alienating to their core audience.
415700	417700	Genres also have a life cycle.
