start	end	text
0	6640	There were a lot of event movies to talk about that have come out in 2018 that echoed trends
6640	8960	that have shaped our cinematic past.
8960	13840	But there was one movie this year that is truly the embodiment of the modern epoch.
13840	18980	One movie that some have described as the most ambitious crossover of all time.
18980	23820	One movie that built so skillfully on the cinematic universe that came before it.
23820	27440	One movie that is the defining moment of our era.
27440	30920	I'm talking, of course, about Mamma Mia! Here We Go Again.
30920	34120	Mamma Mia! Here I go again!
34120	37160	Oh boy, the Great American Musical is back!
37160	42880	But, eh, I mean, on the one hand, high-time cultural milestone voice of a generation for
42880	45200	Wine Mom's Mamma Mia! got a sequel.
45200	48080	You know, so, being a grudge holder makes you fat?
48080	49480	But here's the thing, fam.
49480	52800	On top of movie pass going bankrupt, it's a streaming world now.
52800	54600	I don't like going outside.
54600	57720	And I really don't like giving my undivided attention to things.
57720	61520	And this newfound medium of streaming is reducing interest in the cinema.
61520	65880	I need a gimmick to get my ass out of the house and drive the whole 1.2 miles down to
65880	70400	the Rolling Hills AMC so I can see the latest release in 4K 3D.
70400	75320	If we have enough gimmicks, then surely interest in the cinema will revive.
75320	76320	Or will it?
76320	80640	So, obviously, the Hollywood panic of trying to incentivize people to stop watching goddamn
80640	84560	Stranger Things on Netflix for the fifth time, and to come on out to the movies by
84560	89680	pushing the prestige of gimmicks like 3D, 4D, and even 6D, applies more to big-budget
89680	95680	tentpoles like superhero movies, superhero movies, live-action remakes of Disney classics,
95680	100760	and even superhero movies, more than it does the Hollywood musical.
100760	105080	But that hasn't always been the case.
105080	110480	A long time ago, way back, back in those halcyon days before Valerian and the City of a Thousand
110480	115120	Planets, I had a segment in my video about Joel Schumacher's Phantom of the Opera alluding
115120	119320	to the crash and ultimately the final dumpster fire resting place of the big Hollywood movie
119320	122120	musical, namely Hello Dolly.
122120	125920	But the fall of the great American musical was, of course, much more complicated than
125920	128920	just one movie not making its money back.
128920	131080	And that is what we're going to talk about today.
131080	134200	Because in many regards, the dramatic and expensive death throes of the big Hollywood
134200	138760	musical in the 1960s had more in common with our current-day endless glut of sequels, remakes,
138760	143240	and superhero movies than it does with Mamma Mia, Here We Go Again.
143240	145760	There was a time when musicals were the biggest game in town.
145760	150680	It was a world dominated by Rodgers and Hammerstein, by Julie Andrews, by Gene Kelly.
150680	155200	For decades, the saccharine Broadway-style musical was the event movie.
155200	166320	These were the tentpoles of the mid-20th century, until one day, it all came crashing down.
166320	169680	With the advent of talkies, it wasn't long before musicals found their way onto the big
169680	170680	screen.
170680	174920	First through musical shorts featuring popular performers, and eventually full-length features.
174920	178360	Ever since the advent of sound, musicals were a consistently popular staple.
178360	183340	But in 1939, MGM Studios hired producer Arthur Fried, whose production unit went on to create
183340	187680	what would eventually become the golden era of movie musicals, with titles like Easter
187680	191760	Parade, On the Town, Singing in the Rain, and An American in Paris.
192240	196160	And in the 1950s and early 1960s, the way musicals built hype around their big important
196160	198420	movies was the roadshow.
198420	202040	So what is a roadshow, and how does it fit in here?
202040	204060	Well, it's a gimmick.
204060	208920	But a gimmick that was, particularly through the 1950s to the 1970s, used to promote more
208920	211160	prestige-oriented films.
211160	217240	You got your historical epics, your gut-wrenching war dramas, and of course, the larger-than-life
217240	218240	musical.
218240	226560	You're The Day the Earth Stood Still's and fluffy beach-blanket bingos couldn't
226560	230760	ne'er dream of having a roadshow release, but your Ben Hur's, your Dr. Zhivago's,
230760	233240	and your West Side Story's made for prime fodder.
233240	237080	Basically, before the film goes into wide release, a studio would take it on the road
237080	244480	for a limited, premium release.
244480	247880	Ticket prices were at a premium compared to your average film screening, but the marketing
247880	250120	appealed to a more luxuriant experience.
250120	253320	To quote Mike Todd, the leading purveyor of roadshows in the 1950s,
