start	end	text
0	2560	The trope seems to originate in 1960
2560	4520	with Alfred Hitchcock's Psycho.
4520	5480	That's just my guess, though.
5480	6680	I haven't researched this.
6680	8480	Who do you think I am, Lindsay Ellis?
10880	14160	Well, it would appear that I have been summoned.
14160	18440	So since this topic is never gonna go away, apparently,
18440	20240	ContraPoints and I were, you know,
20240	23080	planning on doing, like, a collab of sorts.
23080	23920	But the thing is, like,
23920	25120	both of us are really bad at scheduling
25120	28060	and we couldn't, like, really figure anything out.
28100	31180	And then someone sniped, like, half my talking points.
31180	32020	I don't know.
32020	32860	I figure this topic is, like,
32860	34300	half of all we ever talk about,
34300	36100	so we may as well monetize it, you know?
36100	38100	So, do you wanna collab on the Psycho part?
38100	41180	Or do you, why don't I do the Psycho part?
41180	42700	I'm gonna do the Psycho part.
42700	43540	It's happening.
43540	44360	Whore.
44360	46020	So, you know what that means.
46020	47060	That's right.
47060	49340	This is a feud.
49340	50580	A YouTuber feud.
50580	51900	That's right, we're feuding.
51900	54140	Leave us a comment for who you think should win.
54140	55820	And, you know, this isn't, like, a regular feud.
55820	57660	This is, like, a cool feud.
58060	59940	This feud has merchandise.
59940	60780	No, really.
60780	62640	You can go to my store and buy one of these two pins
62640	64980	based on who you think should win the feud.
64980	67140	Whoever sells the most pins wins.
67140	70660	And 100% of the profits for these pins will go to
70660	73820	The aptly named Sir Not Appearing in this film.
74780	76820	Yeah, so the last time I named which charity
76820	79380	I was going to give merchandise profits to,
79380	81620	they got threatened with legal action.
81620	84820	And because the EFF worked in collusion with Lindsay Ellis
84820	86720	to create the monetized video,
86720	90000	the EFF is also culpable for the copyright infringement
90000	91120	and the defamation.
91120	96120	So yeah, it's unnamed charity benefiting trans youths.
97040	98480	You know, a variety of them.
98480	99600	A melange.
99600	101440	A rainbow, you might say.
101440	103100	This is why we can't have nice things.
103100	105240	So I did a Death of the Author addendum last year
105240	107240	after a bunch of people asked me questions
107240	109160	about the applicability of Death of the Author
109160	111440	to the works of one Joanne Rowling
111440	114520	in light of her new philosophy.
114560	117320	When you throw open the doors of bathrooms
117320	119480	and changing rooms to any man who believes
119480	121120	or feels he's a woman,
121120	123560	and as I've said, gender confirmation certificates
123560	126920	may not be granted without any need for surgery or hormones,
126920	129160	then you open the door to any and all men
129160	130720	who wish to come inside.
130720	132680	Which led to all sorts of fun feedback
132680	135480	from viewers of other fine YouTube channels,
135480	139480	such as reader of books, Vanessa LeBlanc.
139480	140800	The opinions you're going to hear today
140800	142880	are from someone who is not just, you know,
142880	145040	on Twitter, hearing what other people have to say
145040	146160	and hopping on a bandwagon.
146160	148160	This is because I read the book.
149220	150400	She totally read it.
150400	153560	At the very most, the concept of being a transvestite
153560	158560	makes a very quick, brief, fleeting appearance in the book,
159440	161560	and it's extremely unimportant.
161560	164440	It comes in the form of one line in the book,
164440	167840	one page in a 900-page book.
167840	170960	And master of cell phones, Gary of Swendon.
170960	173200	Society is built around the interactions
173200	175680	between men and women, and so it's not surprising
175680	177800	that they would have quite a formalized
177800	180920	and baked-in set of rules.
180920	183080	Five minutes later.
183080	187120	Why would we need to do anything in its purest, pure form?
187120	190800	What has Lindsay Ellis ever done in her entire life
190800	192720	that was of the purest, pure form?
192720	194120	The answer is nothing.
194120	197180	It's not gonna be exactly as it should be conceptually,
197180	198980	but you just have to deal with that.
201880	203480	I'm just gonna say, I haven't read this book.
203480	205280	I don't even know if it's out yet, actually.
205280	208280	Although my personal favorite came from one of Gary's fans
208280	211760	who emailed me to scold me because they thought
211760	216240	that death of the author meant I was literally advocating
216240	218900	for the murder of J.K. Rowling.
220040	221080	The thinkery.
222500	225480	So much of the chicanery stemmed from a misrepresentation
225480	228840	of J.K.'s argument, which is that she's just stating
228840	230560	biology, you guys.
231120	233200	She's not denying people's humanity.
233200	236160	I don't hate trans people, but what is wrong
236160	240440	with the trans activists that they think biology isn't real?
240440	243560	J.K.R. is being canceled for stating a fact?
243560	247080	Well, that's just canceled culture run amok.
247080	249040	But while a huge component against discrimination
249040	251640	against trans people is biological in nature,
251640	254600	namely the denial of healthcare and medical gatekeeping,
254600	257640	it is, in this context, completely besides the point.
257640	259440	No one is saying biology isn't real.
259440	262440	That's why the healthcare thing is such a big deal.
263680	264960	Because of the biology.
264960	267800	So for some people to reframe this discussion
267800	270160	like trans activists are denying biology
270160	273600	and that they are simply in their thinker, thinkery ways
273600	275840	arguing against this obvious falsehood,
275840	278720	well, that is how Sharon and Mike from Dayton, Ohio
278720	280560	will first understand the argument.
280560	284140	Joanne and Vanessa and Gary arguing against a point
284140	287560	that no one is making, but since that's the point
287560	290440	that Sharon and Mike are seeing argued against,
290440	292400	that is what Sharon and Mike think
292400	295840	that the trans activists actually believe.
295840	297760	So as with a lot of reactionary movements,
297760	299560	much of the anti-trans ideology
299560	303000	is rooted in an appeal to common sense.
303000	304600	And there really is something to this idea
304600	307080	of using common sense as a rhetorical device.
307080	309760	If a new or challenging idea is presented,
309760	311520	all you need to do is look at the camera
311520	314040	and be like, common sense, am I right?
314040	317480	And it's effective because by appealing to common sense,
318320	319160	the viewer slash reader doesn't need
319160	321040	to challenge preconceptions.
321040	322760	Like this cholera outbreak,
322760	326000	common sense says it's the miasma.
326000	328560	Germ theory, you can't even see those.
328560	330960	Which is why all of these debates are so frustrating
330960	332580	because to the Ben Shapiros
332580	334400	and the Joanne Rowlings of the world,
334400	338120	trans people existing doesn't have anything to do with them
338120	340840	or their lives, but there is something inherently
340840	343560	threatening about their acceptance by society.
343560	346160	So they have to make up scenarios
346160	349080	where it does have things to do with them.
349080	351020	And they try to sell these scenarios
351020	354440	with a very shallow brand of common sense.
354440	356460	What if penis in bathroom?
356460	359080	What if I'm dating one and I get tricked?
359080	361840	And of course, that old reactionary classic,
361840	364460	won't someone think of the children?
364460	366360	So won't someone think of the children
366360	368920	is a staple of every reactionary movement.
368920	370800	If society progresses one inch,
370800	374520	reactionaries are going to use the children as a shield.
374520	376120	The ancients among us might remember,
376120	378420	it wasn't that long ago that that was the argument
378420	379840	used against gay marriage.
379840	381920	How am I supposed to explain to my child?
381920	384600	Hang your shitty child for all I care.
384600	386440	McKaylee will just have to figure out
386440	388000	how to navigate a world where the gays
388000	390720	are allowed to kiss in public on her own.
390720	392640	Yes, if you steal my shit, I'm allowed to steal your shit.
392640	393960	That's how it works, whore.
393960	395480	So what people hear when they see these
395480	398640	very intellectually honest thinkers
398640	401320	decrying the cancellation of JK Rowling
401320	404400	is that all Joanne said was that biological sex is real.
405280	406800	And that trans people are being mean to her on the internet
406800	410200	because she was just stating a simple scientific fact, guys.
410200	412360	And all of this stems from an essay Joanne wrote
412360	415000	back in June called Turf Wars,
415000	418680	in which she explained why she was so deeply concerned
418680	421000	about the encroaching menace of trans rights.
421000	422600	Her essay was even awarded
422600	425320	the 2020 Russell Prize by the BBC.
425320	427360	So now we know you can win awards for essays
427360	429000	that have sections ranging from
429000	432160	wild misrepresentations of the truth to flat out lies.
432160	433620	And so for those of you who haven't read it,
433620	435380	which I'm guessing is most of you,
435380	438660	here is a quick rundown of the point she makes in her essay.
438660	440620	I was canceled for liking some tweets
440620	441940	and then standing up for this woman
441940	444800	whose place of employment declined to renew her contract
444800	446100	after her contract expired
446100	448500	because she was a dick to a trans coworker.
448500	450660	For people who don't know,
450660	454580	last December I tweeted my support for Maya Forstater,
454580	457540	a tax specialist who'd lost her job
457540	460620	for what were deemed transphobic tweets.
460620	463300	She took her case to an employment tribunal
463300	466100	asking the judge to rule on whether a philosophical belief
466100	469820	that sex is determined by biology is protected in law.
469820	473220	Judge Taylor ruled that it wasn't.
473220	475740	Here is incidentally what the judge actually said.
475740	478160	I conclude from the totality of the evidence
478160	480700	that Forstater is absolutist in her view of sex
480700	482860	and it is a core component of her belief
482860	484460	that she will refer to a person
