start	end	text
0	9000	So if you follow me on Twitter, then you know that when I'm not being cranky, or angry, or sad at the state of the world,
9000	16000	or ceaselessly disappointed in James Woods, or cranky...
16000	19000	You know, I really did love Moana.
19000	23000	There's no need to pray, it's okay, you're welcome.
23000	27000	Moana was probably my favorite movie to come out of Disney Animation Studios since the 90s.
27000	32000	It was, you know, simple movie, buddy comedy, but, you know, tight, and well done, and I loved it.
32000	35000	And you know what else I love? Disney villains.
35000	38000	You know, that thing Moana didn't really have?
38000	42000	Well, Terminator hasn't always been this glam.
42000	46000	I mean, it kinda did, but not in that, like, classic Disney villain kinda way.
46000	52000	Thinking you could defeat me? Me! The mistress of all evil!
52000	56000	Disney villains are probably my favorite aspect to all of Disney animated canon.
56000	59000	And I'm not alone. Disney has noticed this.
59000	64000	I went to Disney World last year, and probably my favorite thing I did was this new thing called Club Villain,
64000	69000	and it was great, it was hosted by Dr. Facilier, and we got to chill and hang out with all these classic villains,
69000	72000	and they brought out their A-team, as far as the villains were concerned.
72000	74000	Only complaint is that it wasn't long enough.
74000	79000	Unfortunately, just gone and left most of my villain merchandise in a different state.
79000	80000	I have a bunch of pins, though.
80000	85000	Like, yes, I have fallen down the deep, deep well of Disney pin trading.
85000	89000	And yes, the vast majority of my pins are villain pins.
89000	91000	This one was Halloween 2016.
91000	95000	It's one of my favorites because it was an exclusive to Disney Visa card holders,
95000	98000	and I had just gotten one, and I was like, well, I have to.
99000	100000	It's an exclusive.
100000	101000	There's Maleficent.
101000	102000	Yzma.
102000	103000	Kronk.
103000	104000	Gaston.
104000	107000	This one is one of my absolute favorites.
107000	111000	Here is Radigan coveting an ice cream sundae.
111000	113000	I try to grab Hades whenever I can.
113000	120000	And Hades is actually the only Disney villain who is voiced by an actual heartless person.
120000	125000	This one's another one of my favorites because they're such ex-boyfriends.
125000	127000	More of the bitter ex-boyfriends.
127000	133000	Villains are a branded thing in the same way that princesses are a branded thing, and fuck yes.
133000	136000	Only thing is, they're making new princesses.
136000	138000	They aren't really making new villains.
138000	142000	I mean, considering the ones that we've gotten the last five years,
142000	146000	would we add to the ranks of, you know, the Evil Queen and Maleficent,
146000	152000	the likes of Hans or, you know, Assistant Mayor Bellweather,
152000	156000	or even Toma Toa, who I think is the closest we've seen to a classic Disney villain in a while,
156000	159000	but, you know, he's only in the movie for like five minutes.
159000	161000	The thing about Disney villains and movie villains in general,
161000	165000	as opposed to, say, real world villains, is that we like Disney villains.
165000	166000	That's kind of the point.
166000	167000	Disney villains are fun.
167000	170000	They're designed to hold your attention, to keep you engaged,
170000	172000	but they aren't designed to be repulsive.
172000	175000	Like, sure, they're bad, and maybe they want to own this lady,
175000	177000	but, hey, at least they gave her a choice in the matter.
177000	180000	Choose me or the fire.
180000	183000	Or maybe they kill the brother, but, you know, they're not that bad.
183000	184000	They wouldn't kill a kid.
184000	185000	They'd outsource that.
185000	187000	You know, they let the hyenas do it.
187000	188000	Kill him.
188000	189000	Or the crocodiles do it.
189000	192000	Or their, well-meaning, lunkhead assistant do it.
192000	194000	Or, okay, maybe they do kill a kid.
194000	197000	But it's only implied and offscreen, and, hey, it was war, China.
197000	200000	The little girl will be missing her doll.
200000	202000	Really, the worst we've seen from the Disney villain
202000	205000	is that time that Dr. Facilier squished Jim Cummings' fly.
205000	206000	Oh, movie.
206000	209000	You wanted this to be such a moment.
209000	211000	Disney villains are getting a bit of a makeover.
211000	214000	Here's an entire spinoff dedicated to the complex in our lives
214000	217000	of the children of Disney villains.
217000	219000	Shere Khan has this tragic backstory.
219000	223000	Maleficent is no longer a one-dimensional, spiteful mistress of all evil,
223000	227000	but a misunderstood justice fairy who's the victim of a rape allegory.
227000	229000	Ah!
229000	231000	And Beauty and the Beast isn't out yet,
231000	234000	but I think we can probably safely assume
234000	238000	that Gaston isn't going to get much of a makeover or a tragic backstory.
238000	242000	But even then, Gaston is more of a villain in the vein of Hans
242000	249000	than the likes of, say, Ursula or the Evil Queen or George C. Scott.
249000	251000	And despite being a total villain, Stan,
251000	254000	or hell, maybe even because of it, I actually like Maleficent.
254000	257000	Like, yes, it was hot garbage, but, you know, it was my hot garbage.
257000	259000	Point is, I'm not opposed to this trend.
259000	261000	You know, that's all it really is.
261000	262000	It's a trend.
262000	264000	You know, black and white villains are out,
264000	269000	and dimensionality and tragic backstories are in.
269000	271000	But what I've noticed is that
271000	275000	we don't really see the clear-coded, brandable villain anymore
275000	278000	so much as plot twists.
278000	279000	When it comes to nostalgia,
279000	281000	Disney will always have their catalog to fall back on,
281000	284000	just like it always trots out its older films.
284000	286000	But what about going forward?
286000	289000	Are Disney villains going extinct?
289000	293000	So classic Disney movies, with some exceptions like Pinocchio and Alice in Wonderland,
293000	295000	have a very simple story.
295000	299000	A young princess, some sort of villain who hates her for some reason,
299000	303000	and then we meet a prince, and love conquers all the end.
303000	307000	When Eisner and Katzenberg were hearing pitches from their animators in the mid-'80s,
307000	309000	part of the reason why they were more keen on The Little Mermaid
309000	313000	than Treasure Island in space...
313000	315000	besides the fact where it sounded kind of stupid.
315000	317000	Little Mermaid harkened back to the classic Disney staples
317000	319000	that were still huge draws to the theme parks.
319000	322000	A beautiful princess, good versus evil, love conquers all.
322000	325000	These were the elements that built the old Disney movies.
325000	327000	But when Michael Eisner and Jeffrey Katzenberg
327000	329000	took charge of the company and studio respectively,
