start	end	text
0	6940	It was just over 90 minutes beyond President Bush's deadline for Saddam Hussein to leave
6940	13840	Iraq that U.S. warships and planes launched the opening salvo of Operation Iraqi Freedom.
13840	16400	The year is 2003.
16400	18120	America prepares for war.
18120	21560	President George W. Bush has declared that Iraq is building weapons of mass destruction
21560	26400	with which to attack America, and that the only possible response is a preemptive invasion.
26400	30240	The administration's case is transparently flimsy and dishonest, both on the evidence
30240	32080	and the ethical justification.
32080	36160	And though the country is still reeling in shock from 9-11, the anti-war movement manages
36160	38320	to organize massive protests.
38320	43960	Roughly 32 million people participate worldwide over the course of four months, to no avail.
43960	47720	America invades against all good judgment or reason, a tragic boondoggle that would
47720	52120	eventually prove everyone's worst fears completely true and spark a new dark era of
52120	53600	global politics.
53600	57560	There is despair among the anti-war left, but they did have one silver lining.
57560	62240	Not much of a silver lining, in light of historic crime unfolding, but a silver lining nonetheless.
62240	66240	A silver lining we heard many, many people clinging to in those awful days.
66240	68240	Extremists are in the White House!
68240	70240	Extremists are in the Pentagon!
74240	78240	At least we're going to get a lot of great music.
78880	80880	Hm.
82880	83880	Hello?
83880	84880	Yeah, hi.
84880	85880	I was just listening to the video.
85880	89880	Did you literally just steal the entire intro from my Madonna Train Records video?
89880	91880	Like, verbatim?
91880	92880	No!
92880	96880	Well, yes, but you totally ripped off the format for the introduction to my Rent video.
97880	99880	Oh yeah, I guess I kinda did.
99880	100880	Okay.
100880	101880	Um.
101880	103880	Does that make this a collaboration?
103880	106880	I, uh, I thought people didn't do video collabs anymore.
107520	110520	No, see, it turns out that, like, most YouTubers never stopped doing that.
110520	113520	We just did because, you know, you never know who's going to have a Twitter meltdown, and
113520	116520	you don't want to have to be doing, like, apologies by proxy.
116520	119520	Oh yeah, yeah, that is why we stopped.
119520	121520	And no other reason.
121520	123520	No other reason.
125520	126520	So anyway.
126520	127520	Well, it's been a minute, hasn't it?
127520	129520	So I have this book coming out next month.
129520	131520	Pre-order link in the description.
132160	137160	And one of the more common questions I get, besides, what the hell is wrong with you,
137160	143960	is, why did you decide to set it in the 2000s instead of, you know, the nebulous present
143960	144960	now?
144960	145960	You know, whatever this is.
145960	150480	And to that I say, you know, besides the fact that nothing makes sense in our current hell
150480	153240	world, it makes sense in context.
153240	155320	It was a very different time.
155320	159680	So the idea for this episode came about while I was actually writing it, and I was making
159680	163240	all these playlists for, you know, mood.
163240	165640	There's also a link to my main playlist in the description.
165640	171040	It's full of mid-2000s cheese, if that's what you need to get you through this time.
171040	176000	And listening to that sort of thing made me think a lot about, you know, the resistance
176000	178120	music of that era.
178120	179320	Or lack thereof.
179320	183920	So while I had been working on this for a while, I was going to put it out later, you
183920	186400	know, to be more of like a tie-in release thing.
186400	191380	But then the topic of protests had to go and get all topical, so this got bumped up.
191380	196040	So obviously the topic of music and music history isn't exactly my wheelhouse, so I
196040	200840	wrote this with some consulting from our good friend Todd in the Shadows.
200840	201840	Thank you for the plug.
201840	207120	And if you like books, check out the new novel, Axiom's End, by my close personal friend,
207120	208600	Lindsay Ellis.
208600	211400	Gee, thanks.
211400	216600	So before we get into the era at hand, first let's take a quick look at the history of
216600	222000	protest music.
222000	225240	Protest music can be found in pretty much every culture throughout the world, but you're
225240	229920	much more likely to find it in cultures that are, you know, like, oppressed and colonized.
229920	235240	Ireland, for instance, has a very long, proud history of protest songs, from Irish-language
235240	241240	songs like Orosheidevá Hávaile to more recent ones like Kevin Berry.
241240	251160	And it ranges all over the world, to the anti-apartheid music movement spearheaded
251160	255280	by black South African musicians like Hugh Masekela, all the way to broader genres of
255280	275920	music like British punk rock, a la The Clash, all the way to Yankee Goddamn Doodle Dandy.
275920	288960	Yeah, so early American protest music was like basically taking British diss tracks
288960	303600	and being like, yeah, our hats are stupid, we're proud of that.
303600	308240	Now protest songs have been written and attached to movements of all sorts, from anti-racism
308240	324560	to feminism to gay rights to literally nothing.
324560	326360	You know, a revolution.
326360	327760	Prayin' for it.
327760	328760	Every day.
328760	334520	Stop singing this at karaoke.
334520	338480	But the common thread between most protest songs is that they, for obvious reasons, tend
338480	342000	to come about in times of mass disenfranchisement or injustice.
342000	346120	So the assumption that, hey, shit might be bad and we're all in agreement about that,
346120	351280	therefore it's time for some great art that captures the zeitgeist of the now is not unfounded.
351280	362840	But what is the basis of this assumption in America specifically?
362840	366600	When people think of American protest music in pop songs, they're probably thinking
366600	371840	of the music of the late 1960s and early 1970s, specifically music surrounding the Vietnam
371840	372840	War.
372840	376920	But what was it about this war that was different from that which became before and after?
376920	380200	Well, the roots of the Vietnam War stretch back into the 19th century, and it was one
380200	384120	of those conflicts that even now people have a hard time explaining what it was really
384120	391600	about other than, like, you know, the vague proxy war, something-something communism.
391600	396520	And that's not, you know, completely wrong, but like most war-related topics, taking a
396520	399840	complex issue and simplifying it is not easy.
399840	404320	So to keep it simple, we have this really long, nebulous war.
404320	406340	Nobody really knows what we're fighting for.
406340	411900	It results in the deaths of millions of Vietnamese people by some counts, and 58,000 U.S. troops.
411900	415620	I think all the decent people in this country have decided this war is an absurdity and
415620	417820	immoral, and it's time to bring it to a halt.
417820	426820	We spend $322,000 for each enemy we kill in Vietnam.
426820	432060	Well, all I can say is I'm not as patriotic as I used to be.
432060	435380	As you can imagine, this sits very poorly with people all over the world, including
435420	439860	people inside the United States, who genuinely do not understand why this is a conflict that
439860	442580	should involve the U.S. military at all.
442580	444380	And that brings us to...
444380	449380	A-one, two, a-one, two, three, four!
449380	454860	There was a wide array of protest music that came out of this war.
454860	459660	Bands like Creedence Clearwater Revival, artists like Donovan, John Lennon, and Cat Stevens
459660	461380	are all letting it out.
462380	470660	Some of this music is critical and angry of the war effort and the military, but on the
470660	484380	whole, the aesthetic trends more towards pleading for peace.
484380	488260	Creedence Clearwater Revival's Fortunate Son is, of course, emblematic of the audio
488260	503460	aesthetic when we think of music of the Vietnam War.
503460	512060	Even the succinctly titled What Is It Good For?
512060	517180	by Edwin Starr is pretty broad and less about America as a military machine, but again,
517180	521460	all of this reflects a general sense that we don't know why we're fighting in Vietnam.
521460	523660	And this is a problem to this day.
523660	528460	This is completely anecdotal, but both of the writers of this episode, whenever it got
528460	535140	to Vietnam time in our history classes, we spent maybe one day on it, and that was it
535140	536140	moving on.
536140	537140	Let's get to Watergate.
537140	541940	So with Vietnam, not only did you have a wildly unpopular draft, you had a war where most
541940	546740	American randos didn't really see that the cost was worth it.
546740	551020	There wasn't really a cause and effect for why we should be there in the first place.
551020	554700	Contrast this with 2001, where...
554700	557220	This is as close as we can get to the base of the World Trade Center.
557220	561780	You can see the firemen assembled here, the police officers, FBI agents, and you can see
561780	566260	the two towers, a huge explosion now raining debris.
566260	570620	9-11 was one of the most collectively traumatic events in U.S. history, and unlike combat
570620	575460	in Vietnam, it was witnessed in real time by virtually everyone in the country.
575460	580020	So rational or no, and it was not rational, there was a specific thing that was being
580020	584260	responded to before the war in Iraq, which was why it was so easy for Bush to get so
584260	588060	much of the public at large on board in the first place.
588060	593820	American and coalition forces are in the early stages of military operations to disarm Iraq,
593820	597700	to free its people, and to defend the world from grave danger.
597700	598700	So you know what that means.
598700	602140	We saw it in the 60s and 70s, and we're about to see it again.
602140	606580	It's not just our direct action and our protests that's going to change the world.
606580	608020	It's our music.
608020	610220	It's our art.
610220	611220	Let's go.
611220	612220	What do we got?
612220	618220	Cause we'll put a boot in your ass, it's the American way.
618220	619220	Hmm.
619220	623640	Probably should have seen that coming.
623640	628700	For the last few months of 2001 and early 2002, there was this strange sort of sincerity
628900	632860	that was, I don't know, kind of like the same vibe that was Kate McKinnon cosplaying as
632860	637660	Hillary Clinton singing Hallelujah on the first SNL after the 2016 election.
637660	645500	The first signs of trouble, the dust and the rubble, unspeakable loss.
645500	647740	There were songs like Paul McCartney's Freedom,
647740	655740	Freedom, we're talking about freedom.
655780	660780	Neil Young's Let's Roll, and hey, Bruce Springsteen made an entire album that was basically him
660780	662740	processing 9-11.
