start	end	text
0	4000	Okay, so today we are drinking around the world at Epcot.
4000	7000	Because Epcot has roughly 12 countries.
7000	8000	It's like 11.
8000	9000	11.
9000	14000	The challenge is, there's 11 countries and you have to drink a thing from each of them.
14000	16000	My budget is $100. Can it be done?
17000	18000	Is it good?
28000	32000	You think you're an adult with a job, and a dog, and planning a wedding,
32000	35000	and then the next thing you know you aren't dressed up like Quasimodo.
35000	38000	Because you're like, hey, wouldn't it be fun to get drunk?
47000	49000	It's getting late.
49000	50000	So what have we got?
50000	53000	I got a jalapeno margarita.
54000	57000	I got some root beer with sugar on it.
57000	59000	I got the beet margarita.
59000	61000	Some kind of huevo thing.
61000	63000	I'm Penny Frenzel.
63000	66000	And this is your guide to drinking at the cheapest Disney World.
66000	71000	Okay, so Nella and Michael finally showed up.
71000	75000	They will get their drink and we can finally move on to the rest of the world.
76000	77000	Alright.
77000	80000	I got the minty pineapple margarita.
80000	82000	And I got the male shrimp margarita.
82000	84000	And it is good. It's very pineapple-y.
84000	85000	Woo!
85000	86000	Not very minty.
91000	93000	Aquavit here in Norway.
93000	97000	Black licorice flavored liquor that tastes like it's been sitting in a sink.
97000	101000	Normally I'd be here for this, but I'm totally not here for this.
101000	104000	When you make an alcohol entirely based on licorice?
104000	106000	Like, I just...
106000	108000	I'll do it. I'll soldier through.
119000	121000	Okay, so I got this Dragon Pearl.
121000	123000	Which, I don't know if you get what's in it.
123000	125000	But there's at least beer and honey and tapioca.
125000	128000	Which I think is a very Chinese flavor combination.
128000	130000	So I'm gonna see what this is all about.
132000	133000	Oh no.
133000	134000	Oh man, that's weird.
134000	135000	It's a texture thing.
135000	136000	Look at that, look at that.
136000	140000	See that? Tapioca, alcohol, tapioca, alcohol, tapioca.
140000	141000	I'm gonna...
141000	142000	Yeah, it's Capri Sun.
142000	144000	It's Capri Sun with alcohol.
146000	147000	Am I wrong?
147000	149000	No, my god. It tastes like fifth grade.
152000	153000	Wow.
153000	154000	Wow, it is Capri Sun.
154000	155000	It even has the same kick.
155000	158000	I feel like this is how you get kids drinking at an early age.
158000	159000	You just slip this in.
159000	160000	Yeah, and then...
161000	163000	Versus the Capri Sun plum wine.
163000	165000	Next thing you know, they're on gin.
171000	172000	How do you feel right now?
173000	174000	This is me.
174000	175000	Hit me.
176000	177000	Hit me.
177000	178000	Hi!
178000	180000	I've got some serious bloating issues.
181000	182000	Oh, me too.
182000	183000	You've got the hydrocephalus.
183000	188000	No, I've just been traveling and I've got a slight constipation.
188000	193000	I got the Francis Conner German beer, which was only $6.50.
193000	195000	So, a deal.
195000	197000	And it's quite delightful, too.
197000	199000	The Erdinger.
200000	202000	It's this very nice malty German beer.
204000	207000	No one hops, high in body, dark, and filling.
207000	209000	If I may directly refer to it, it's a very important duck.
210000	212000	I said it's an important duck.
212000	213000	Very important duck.
214000	219000	For $9, the wine cellar in the Germany Pavilion is the best value.
219000	221000	You can get a glass of wine for $6.
222000	223000	Okay, let's look at this.
226000	227000	We got it from Norma.
228000	229000	It's very good.
229000	230000	That's a nice one.
233000	234000	Post.
234000	235000	We need to get post.
235000	236000	Yeah.
239000	241000	So, I have gotten the All Bubbles All the Time,
241000	248000	which is a three variety flight of sparkling white wine.
248000	251000	In the words of Betty Murphy, to paraphrase,
251000	253000	my girl likes to party all the time.
254000	257000	My girl likes to All Bubbles All the Time.
259000	261000	I only feel a little sick.
261000	263000	I like that these are sweet.
263000	266000	They will make me feel less pukey than I already do.
266000	268000	What would you consider your drunkenness level?
269000	271000	I'm a very pleasant 5.
271000	277000	So, I feel like if 1 is nothing and 10 is blacking out,
277000	279000	I'd say I'm at about 6.
279000	280000	I'm at about 5.
280000	282000	I'm 6, pushing 7.
282000	283000	Here's where we're at.
283000	286000	The New York primary just happened and no one's brought up politics,
286000	287000	so I think we're doing pretty well.
287000	288000	Yes, exactly.
294000	296000	I think America might be the worst one.
296000	299000	There is acapella California dreaming.
300000	302000	Welcome to the Great American Experience.
302000	305000	We're in America, which is totally different from the place where we normally are.
305000	309000	I was going to be brave and get a Jack Daniels cherry slushy,
309000	312000	but I wussied out and got a California thing.
312000	314000	I'm going to be brave.
314000	315000	I'm going to be brave.
315000	316000	I'm going to be brave.
316000	317000	I'm going to be brave.
