start	end	text
0	8720	Hey, remember, like, six months ago when we were like, hey everyone, you should read The
8720	11120	Girl with All the Gifts for our next review?
11120	12120	Uh-huh.
12120	16360	It's so much time since, but happy Galentine's Day.
16360	17360	Galentine's Day!
17360	18360	Yes!
18360	19360	Yay!
19360	20360	Yay!
20360	24360	For this book that features a lot of dynamic female characters.
24360	25520	And how.
25520	26520	And how.
26520	29280	So, let's see, what are we drinking today?
29280	35120	Well, in the spirit of Galentine's, um, we've gotten a very red, bloody-like drink.
35120	38120	See, I was going for the spirit of, like, Greek-themed.
38120	40200	Oh, well, that too.
40200	41200	Greek-themed things.
41200	42200	Oh, pomegranates.
42200	43200	I get it.
43200	45480	Well, maybe six months ago.
45480	51400	We've invited our friend Lindsay Rebar, who many of you may remember from when Lindsay
51400	53840	and Lisa reviewed her book.
53840	56640	It's called The Art of Wishing, and the second one is The Fourth Wish.
56640	57640	Go buy them.
57640	58640	I don't know.
59000	60000	Am I supposed to say that?
60000	61000	Yeah, you should.
61000	62000	Go buy them.
62000	63000	Pimp your wares.
63000	68080	We've invited her to join us because, um, this is one of those books where we all liked
68080	73200	it so much, this is going to be an otherwise really boring review, unless we focus on something
73200	74200	else.
74200	75200	Yeah.
75200	78120	The thing is, while I was reading it, I didn't think about structure at all because I just
78120	79360	wanted to know what happened next.
79360	84640	This is my contribution to the squeeing about this book, is there's nothing wrong with it.
84640	85640	I loved it.
85640	86640	I don't know anything about it.
87640	88640	It was perfect, yeah.
88640	89640	It was awesome.
89640	90640	Oh my god.
90640	93640	So, um, should we explain the base of it?
93640	94640	Yeah, we should probably.
94640	95640	What's the book about?
95640	96640	It's a zombie book.
96640	97640	Surprise.
97640	105640	Yeah, which is a little weird in and of itself for me because I am not a fan of zombie literature
105640	106640	or zombie anything really.
106640	112720	I think I've said this before in previous videos, but zombie stories are pretty much
112720	117720	the guilt-free story because you can have the bad guy that you don't have to think about
117720	119720	their motive or anything.
119720	124720	It's about survival, so you instantly have, well, there is your drama right there.
124720	126720	You don't have to think about it.
126720	129720	Even though in a lot of zombie things they try to make it, well, it's not about the zombies,
129720	132720	it's about the humans and how humanity falls apart.
132720	135720	It takes place on this sort of like science bunker.
135720	140720	So, while there are the mindless zombies, we also have these, you know, kids and they're
140720	145720	all children who for some reason have like mental capacity, sometimes genius level, as
145720	147720	in the case with our protagonist, Melanie.
147720	152720	And so basically it's like on this science camp trying to, you know, figure out why they
152720	154720	be the way they be.
154720	160720	And on the one hand we have the teacher character who is, you know, a woman.
160720	163720	She's awesome, I love her.
163720	167720	And she kind of sees them as little, you know, people, which they are.
167720	170720	And, you know, she's the teacher and they all really like her and they like learning
170720	171720	because they're kids.
171720	174720	But then there are like other characters, like the sergeant.
174720	177720	He's a huge racist against zombies and he doesn't see them as people.
177720	183720	And then there, of course, is like the Dr. Caldwell who is just like this sort of...
183720	188720	She's the mad scientist who is going to save humanity by not having any more children.
188720	190720	She's going to science the shit out of this.
190720	192720	And she's also a she.
192720	195720	It's like, so like our three main characters, like we were shocked to find out that this
195720	198720	wasn't written by a woman because like the three main characters are women.
198720	202720	It's like, you know, the moral center, Justino.
202720	203720	The mad scientist.
203720	205720	You never see female mad scientists.
205720	207720	Heartless female mad scientist.
207720	210720	Yeah, the girl with all the gifts, Melanie.
210720	211720	And she's what, ten years old?
211720	212720	Yeah, she's like ten-ish.
212720	214720	This is a ten-year-old zombie as the main character.
214720	215720	Yeah.
215720	218720	And I identified with her a little more than I should have.
218720	220720	And it's an adult book too.
220720	221720	Yeah.
221720	225720	Yeah, but what I also enjoyed is, you know, these characters start as you think characters
225720	227720	you've seen all before.
227720	231720	And then they all get those little twists that make them human.
231720	234720	And not just, well, here's the racist surgeon.
234720	237720	And here's the mad scientist lady who's...
237720	241720	And then our other guy who was obviously just brought in to die.
241720	242720	Well, yeah.
242720	245720	It's like the first day on the force.
245720	249720	It was his first day.
249720	251720	Yeah, there's other five main characters.
251720	252720	One of them is a red shirt.
252720	253720	See, that was something I could see coming.
253720	256720	It was like, the author clearly does not care about this story.
256720	259720	My favorite part of that was the character thought coming too.
259720	262720	He was like, I was kind of brought into this book to die.
262720	263720	And then he died.
263720	266720	And he's like, I knew it.
266720	267720	Hey, spoilers.
267720	268720	But then even with...
268720	269720	A lot of character death.
269720	270720	Justine.
270720	271720	Or Miss Justine.
271720	272720	Justine, I don't know.
272720	274720	Just, you know.
274720	278720	What I love is that it sets it, like, you think, oh, well here's the woman who can't
278720	282720	help but empathize with the scary bad thing.
282720	285720	And then it's like, but then her foil is also a woman.
285720	287720	Oh, my gosh.
287720	289720	And they do all start as archetypes.
