start	end	text
0	5600	So, here's a question. When did animated movies start selling themselves on their bankable
5600	6600	celebrity talent?
6600	7600	Jim Carrey.
7600	9320	There are people on this spectrum.
9320	10320	Jerry Seinfeld.
10320	11320	Renee Zellweger.
11320	12320	Just show those sharks who's boss.
12320	13320	Here I come. Ta-da!
13320	14320	I tell you what's what.
14320	15320	And what?
15320	16320	Steve Carell.
16320	17320	Dr. LaRue?
17320	25360	Because it wasn't always like this. For most of the life of feature film animation, it
25360	29980	was more analogous to how anime dubs are done in America today. Career voice talent and
29980	34060	non-celebrities and character actors provided the voices and animated features were sold
34060	37740	on pretty much every facet but their celebrity voice talent.
37740	38740	And then came
38740	39740	SOMEBODY
39740	45660	and in a post-Shrek celebrity-driven animated feature world, well, it's not all there
45660	49260	is, but in terms of sheer volume, it's most of it.
49260	53580	Horrible turn of events. Horrible.
53580	57980	But you know where this is going. Shrek might have codified the thing, but it did not kick
57980	61380	off the thing. That dubious honor goes to…
61380	62380	ALADDIN!
62380	66300	Hello Aladdin, nice to have you on the show. Can we call you Al? Or maybe just Din?
66300	70180	But here's the thing. The big celebrity on whose back Aladdin was marketed did not
70180	75340	want this to happen. This current hellscape of James Corden playing Peter Rabbit and Patrick
75340	77540	Stewart as the poop emoji?
77540	78540	Just doing my duty.
78540	82940	This is a hellish Mirror House version of what went down with Williams' experience
82940	87260	with Disney. Williams did not want to be the celebrity off of which Aladdin was marketed.
87540	89580	It's all part and parcel, the whole genie gig.
89580	93700	His name being used to market the movie and its tie-in merchandise at all created a massive
93700	98300	rift between himself and the Walt Disney Company that lasted for years. All because Disney
98300	102900	just couldn't resist ignoring this man's request not to be used as a marketing tool
102900	103900	for Aladdin.
103900	104900	I am your master now.
104900	106980	I wasn't afraid of that.
106980	109420	This is the story.
109420	115260	Now I'm the king of the swingers, oh.
115260	118620	With the Disney renaissance of the 1990s and the prestige value that came with being
118620	122340	in one of its movies, animated films were rarely the playground of A-list actors and
122340	127300	more the territory of relatively unknown character actors and voice actors, with the occasional
127300	130300	B-lister and C-lister thrown in.
130300	134580	For instance, Ralph Bakshi's Lord of the Rings had… John Hurt.
134580	137420	Well, you have put your foot in it this time.
137420	138920	Who are you?
138920	142020	The Rescuers snagged Bob Newhart and Ava Gabor.
142340	145460	Oh Bernard, adventure.
145460	148380	Gotta rope in that Green Acres crowd.
148380	151940	I get allergic smelling hay.
151940	155180	The Fox and the Hound had… Kurt Russell?
155180	156180	The same year as-
156180	158620	I don't give a fuck about your war.
158620	160500	We're your president.
160500	161500	Okay.
161500	165060	Point being that voice casting for animated films was less of a star-studded affair and
165060	168860	more of a people-you-might-see-on-nick-at-night sort of deal.
169180	172900	I don't have to ask you what business you're in.
172900	177220	Then comes 1986's The Great Mouse Detective, which was the first animated feature where
177220	181260	Eisner and Katzenberg oversaw most of the production and the distribution, and while
181260	185220	Mouse Detective had Vincent Price as the world's most extra-bitter ex-boyfriend-
185220	188780	Trouble with the chemistry set, old boy.
188780	191500	It wasn't what one would call a star vehicle.
191500	195140	It did, however, turn enough of a profit to convince its new studio heads that there was
195140	197940	still money to be made from Disney's animation division.
198020	202380	Enter Oliver and Company, whose cast not only had way more considerable star power, but
202380	206580	whose marketing also heavily relied on pushing said cast as a feature of the film.
206580	210580	That's Midler, Huey Lewis, and Billy Joel.
210580	213580	Why should I worry?
213580	216580	Why should I care?
216580	220700	Oliver and Company's $31 million budget was double that of Mouse Detective, presumably
220700	224980	because of that voice cast, but it also earned twice what Great Mouse Detective did.
225020	229620	The big takeaway here for Eisner and Katzenberg, star power gets attention, especially from
229620	234620	adult moviegoers.
234620	238140	Howard Ashman, one of the lyricists on Oliver and Rising Star in the Stage World with Little
238140	242740	Shop of Horrors, is hired to work on Disney's next two movies, The Little Mermaid and Beauty
242740	243980	and the Beast.
243980	248260	And while these films are obviously financial and critical successes for Disney, a lot of
248260	252700	their charm comes from being much more traditional book musicals that are appropriately cast
252700	254300	with stage actors.
254300	257700	The biggest star in Little Mermaid is, I guess, Buddy Hackett?
257700	263300	It's a dinglehopper, a penile implant, which means a stick in your dick.
263300	268700	And Beauty and the Beast's big Broadway gets are Angela Lansbury and Jerry Orbach.
268700	272300	He's not whole without a soul to wait upon.
272300	277060	Can't believe they got Mrs. Lovett and Baby's Dad from Dirty Dancing.
277060	279060	But then came Aladdin.
279060	284060	Ten thousand years will give you such a crick in the neck.
284060	285060	Damn.
285060	288060	A little sip of Perrier here.
288060	291180	I had to stop drinking alcohol because I used to wake up nude and go to my car with my keys
291180	292180	in my ass.
292180	297700	Robin Williams became famous through his stand-up career, particularly as an improv comedian
297700	300340	and his starring role in televisions Mork and Mindy.
300340	305580	Fly, be free!
305580	308700	But he initially struggled to translate that success into film.
308700	313820	His first major starring role, Robert Altman's 1980 flop Popeye, which was partially produced
313820	327700	by the Walt Disney Company, was a disaster, which led to a film career slump that lasted
327700	329420	throughout the early 80s for Williams.
329420	333540	But right around the time of the Eisner ascendancy at Disney came two opportunities for Robin
