start	end	text
0	6800	So, in the Hercules video, I talked a lot about the three-act structure that is really common in Hollywood screenplays,
6800	11300	and someone in the comments linked to an article by Film Crit Hulk from 2013,
11300	15300	wherein Hulk argues against what he calls the myth of the three-act structure.
15300	18300	Now, Hulk has written some great film journalism over the years,
18300	22600	but on this, well, I pretty much disagree with most of his assertions,
22600	27600	and I think this stems from a disagreement on what an act even is and what purpose it serves in a narrative.
27600	32900	There is a misconception that an act in a screenplay pertains to where any given scene falls in the narrative.
32900	38100	Hulk even points this out, that most people, when asked, think it's an issue of placement rather than function.
38100	41600	Hulk contends that his fellow journalists, film students, writers, etc.,
41600	47200	can't actually define an act except for where it falls in the story, and that the idea of three acts is actually meaningless.
47200	51700	Now, applying a structure to a narrative is a form of theory, and people get confused by this all the time,
51700	54400	what we mean by theory, so in this context, it's this.
54500	60900	It's not a scientific theory, like theory of evolution, or like a colloquial theory, as in, like, a hypothesis,
60900	65700	but analytical theory is a form of academia that aims to frame a work, an artist, or a movement
65700	71200	in terms of history, meaning, interpretation, sociology, psychology, etc.
71200	77100	Film theory is distinct from, say, film criticism and film history, although there is some overlap.
77100	84100	For instance, applying feminist film theory or psychoanalytical film theory to, say, Hitchcock's North by Northwest,
84100	91600	vagina, will net you a different reading than if you were to apply auteur theory to the same, though not completely different.
91600	97000	Theory is taking a guideline of thought based on a comparable precedent to an already existing body of work.
97000	99800	So when we talk about theory as it applies to the three-act structure,
99800	103400	I do agree that it's not terribly useful for writers to start their own work,
103400	108600	be it a short story, a novel, a screenplay, or a web video, feeling the need to hit the points of a three-act structure.
108600	111700	When you're outlining something, it's best not to think about that sort of thing,
111700	116100	but when you come out the other side, you will probably find that you've unconsciously created a three-act structure
116100	120400	just by the nature of the way story structure has evolved throughout the history of Western civilization.
120400	124500	You have probably learned how to write a three-act structure simply by osmosis.
124500	130300	However, if you go online and look at forums where people try to find examples of movies that don't adhere to three-act structure,
130300	131900	most of their examples will.
131900	138100	I see movies like No Country for Old Men, Eternal Sunshine of the Spotless Mind, and Pulp Fiction as counterexamples.
138100	144400	The three-act structure is there in all of these movies, but it's hidden in storytelling that is less conventional than, say, Independence Day,
144400	148700	which has its three acts so carefully outlined that they are divided by date.
148700	153800	I was originally going to use Transformers Revenge of the Fallen as a counterexample, but nope.
153800	156900	All of these act points are there, even the twist in the third act,
156900	162200	but these points are so buried in plot clutter that it feels a lot more muddied and random than it actually is.
162300	166100	Hulk's main contention is that dividing stories into three parts is arbitrary
166100	170600	because a movie can have any number of breaks and therefore acts that create propulsion.
170600	175800	He cites the Shakespearean five-act structure as superior and uses 2008's Iron Man as an example,
175800	179900	which I find particularly odd as Iron Man uses a very rigid three-act structure.
179900	185600	The conventional wisdom contends Hulk is that an act marks the point where a character can't go back,
185600	188700	and I don't think that's an accurate or helpful assessment.
188700	193500	But story structure is not a myth, it is theory and can be interpreted in a variety of different ways
193500	195800	depending on what framework you're using.
195800	199500	You can argue that any narrative has three acts or five or nine,
199500	205600	but it is useful to keep in mind that while most feature-length movies will adhere to a fairly easy-to-recognize three-act structure,
205600	206800	not all do.
206800	212300	Psycho is a good, more well-known example of a Hollywood movie that doesn't use the classic three-act structure.
212300	216000	Hulk cites Malcolm X as an example, and on that I would have to agree,
216000	221600	but the simple three-act structure tends to be most popular because it lends itself well to a 90-minute-to-two-hour screenplay,
221600	225500	given the length of sequences that tend to be satisfying to a mainstream audience.
225500	228000	So I've provided a link to the article in question below,
228000	233500	and also the de-Hulkifier bookmarklet if you have a hard time reading Film Crit Hulk's all-caps mode of writing.
233500	238100	And again, being broken up into three acts doesn't mean acts need to adhere to any particular length.
238100	242700	Movies like The Lion King, The Hunger Games, and Spider-Man all have really long first acts,
242700	245600	and their midpoints are generally 60% to 70% through the movie.
245600	248300	Act breaks aren't a question of length, but function.
248300	253400	For another source, Todd Vanderwerf of Vox.com wrote a more recent article about the decay of the second act
253400	259500	we've seen in more recent Hollywood fare, like Independence Day Resurgence and Fan-for-stick.
259500	261200	That article is also linked below.
261200	265500	I don't think it's a question of which structure is superior, five acts versus three,
265500	268700	but which structure is most effective for the story it's trying to tell.
268700	272800	Formula can be used to great end or to not-so-great end.
272800	275900	So, needless to say, not all narratives adhere to this structure,
275900	279300	but the vast majority of Hollywood films and even smaller indie films do.
279300	283000	And obviously, the examples I've chosen have all pretty clear three-act structures,
283000	285800	because this is a video about three-act structures.
285800	288100	And also, spoilers for the following films.
288100	291100	So in this context, the operative word here is tension.
291100	295100	Individual acts and sequences have tension, and the narrative as a whole has tension.
295100	298700	The beginning and end of acts marks the changes or shift in the tension.
298700	301500	A typical screenplay features eight sequences.
301500	305200	Two in Act 1, four in Act 2, two in Act 3.
305200	308900	Sequences are defined by a build and release of minor tensions,
308900	310900	all while contributing to the main tension.
310900	314600	There are main act tensions, and there are individual sequence tensions.
314600	317600	An example of a sequence tension would be,
317600	321100	will Tony be able to build a suit that works?
321100	323000	Two...
323000	324700	One.
324700	327800	That tension is relieved when he successfully tests it.
327800	329500	The following sequence tension is,
329500	333000	is Tony's new suit capable of doing what he wants it to do?
333000	335000	The tension is relieved at the end of the sequence,
335000	338600	but also builds to the main tension of the bigger bad wanting to take him down.
338600	342600	There must be more than this provincial life!
342600	345500	A backstory establishes the status quo for the protagonist,
345500	347300	and sets the rules of the universe.
347300	351100	This usually happens at the very beginning of Act 1, but can be weaved throughout.
351100	353000	Sequence 1 usually explains the universe,
353000	355600	and will also usually give us some sort of flaw or desire
355600	358100	that's leaving the protagonist feeling incomplete.
358100	359500	Die!
359500	360900	You do not die!
360900	362800	Luke wants to go to flight academy.
362800	366000	Eddie is an alcoholic racist who hasn't mourned the loss of his brother.
366000	369300	Shia LaBeouf is a sh**ty human being.
369300	371700	Your point of attack is the thing that gets the ball rolling.
371700	374000	This probably has nothing to do with the protagonist,
374000	376200	and instead focuses on the universe.
376200	378900	This creates a story element for your protagonist to react to,
378900	381100	and that reaction becomes the inciting incident.
381100	384500	And yes, I did get the point of attack and inciting incident reversed in the Hercules video.
384500	387400	That's my bad. It's been a long time since I've taken this class. Shut up.
387400	391600	Your point of attack will probably be outside of the protagonist's control or even knowledge,
391600	394900	and the inciting incident is where the conflict comes home to roost for our protagonist,
394900	397400	meaning our protagonist needs to do something.
397400	399900	It can also be something that will eventually lead the main character
399900	402000	to making an important decision at the end of Act 1.
402000	405800	That inciting incident marks the end of the first sequence of the first act.
405800	411100	That first sequence tension is resolved by however the protagonist reacts to that inciting incident.
411100	413700	Be it finding a bag of money in the desert,
413700	415600	or volunteering as tribute.
415600	417400	I volunteer as tribute!
417400	420100	Realizing the satellite signal is a countdown,
420100	423300	or finding out that Roger Rabbit allegedly killed a guy.
423300	425600	Marvin Acme.
425600	427600	The rabbit cacked him last night.
427600	430700	In a film with a more passive protagonist, like Mad Max Fury Road,
430700	434000	the inciting incident is where Furiosa decides to go off-roading.
434000	435700	And yes, we all know it's Furiosa's story,
435700	438600	but Max is the point-of-view character and his growth defines the structure of the story,
438600	440400	and therefore he is the protagonist.
440400	443100	The inciting incident will also set up the central conflict,
443100	445000	which is displayed through character motivation.
445000	448500	That central conflict can be the desire to win over the princess,
448500	450700	the desire to win over the princess,
450700	452700	or the desire to win over the...
452700	453800	robo...
