start	end	text
0	6320	Oh hey, good! It's like everyone's talking about Beauty and the Beast again, which I guess means this hottest of takes is back.
6320	11040	🎵
21040	26760	Wow, and you're like about the 26 millionth person to make this hot take.
26760	29680	Yeah, I read that correct article from five years ago, too.
29760	35480	Okay, disclosure of bias, if you will, if you put me into a room with a gun to my head,
35480	41820	I would say that yes, this movie is probably in my top two and a half favorite Disney movies.
41980	46080	It's the only animated film ever nominated for an Academy Award for Best Picture,
46080	48480	and this is back when they had only five nominees.
48480	52580	It contains some of the most incredible and nuanced animation in any movie ever,
52580	56980	and all made under a super tight deadline and about half the time it normally takes to make an animated movie,
56980	58980	and with very little faith from the higher-ups.
59180	66880	The original Beauty and the Beast reputation has taken a slight turn in recent years as the target for lazy internet jokes,
66880	73180	and as someone who makes their living making lazy internet jokes, even I'm kind of tired of this whole like,
73180	77680	hey look, I'm smarter than a 90s Disney movie trend.
77680	84080	Like, wow, she falls in love with him despite him being a jerk to her and imprisoning her, like, yeah.
84080	85880	I mean, that's kind of the point.
85880	90680	See, it's like, it's like one of those stories about forgiveness, see?
90680	94780	I understand that sometimes a Disney movie can, can be a little too subtle for y'all.
94780	97980	He's no Monster Gaston, you are!
97980	106480	Now, that said, that does not mean that it is not worth it to explore the possible merit of these lazy internet jokes,
106480	111680	and maybe one day I'll get into the crap they added into the new movie to fix
112180	117180	some of the criticisms that have come down the pike over the last 20 years.
117180	121180	Uh, no, but in the meantime, we're here to ask the question,
121180	123480	Does Belle have Stockholm Syndrome?
124980	125980	No.
125980	129180	Thank you for watching, uh, like, share, and subscribe to my channel.
129180	133780	Thank you, of course, to all my, uh, lovely patrons, I couldn't do this without you.
133780	138780	Oh, you want me to, like, actually talk about the thing.
138880	142880	Okay, well, you know what, first, let's, let's figure out what Stockholm Syndrome even is.
146280	149680	Stockholm Syndrome describes a psychological phenomenon where hostages,
149680	156280	kidnapping victims, and victims of abuse develop intense emotional ties to their captors slash abusers as a survival strategy.
156280	159780	The name refers to an incident in Stockholm, Sweden in 1973,
159780	163080	when four hostages, who had been taken captive by bank robbers,
163080	165980	eventually refused to testify against their captors.
165980	170180	Here are the key components to the development of Stockholm Syndrome.
170180	174180	That the hostage develops positive feelings towards their captor.
174180	179480	There is no previous hostage-captor relationship.
179480	185380	Um, that the hostage has an increasing belief in the humanity of their captor.
185380	190680	That the hostage learns to excuse abusive behaviors of their captor.
190680	198080	And, of course, a refusal by the hostage to accept the support of the authorities.
198080	199080	Hmm.
205680	206780	Okay, but here's the thing.
206780	212880	The aforementioned are just requirements for the development of what could be considered Stockholm Syndrome.
212880	216180	They are not symptoms. Symptoms.
216180	219080	Here are the symptoms.
219080	225180	Number one, a severely uneven power relationship in which the captor dictates what the prisoner can and cannot do.
225180	228180	The castle is your home now, so you can go anywhere you like.
228180	229380	Except the West Wing.
229380	230280	What's in the West Wing?
230280	232080	It's forbidden!
232080	234480	You will join me for dinner.
234480	235780	That's not a request!
238980	241580	Let's put a pin in that one.
241580	242880	We'll come back to that.
242880	247880	Number two, the captive is held under the threat of death or physical injury at the hands of the captor.
249180	250380	You have my word.
250380	251680	Done!
251680	254280	Okay, well, I guess we got that one too.
254280	258680	Wait a minute. Whose idea was it for Belle to stay at the castle anyway?
258680	260180	Take me instead.
260180	261380	You!
261380	268980	Yeah, I mean, she is being held against her will in the same way you're being held against your will if you're in ninth grade trig and you're dying to go home.
268980	270480	But there is a key difference here.
270480	273180	This is not a kidnapper-kidnappy relationship.
273180	277880	She stays in the castle because they make an agreement.
277880	279080	You have my word.
279080	279780	Done!
279780	282380	And point number two here is where the whole argument falls apart.
282380	284780	The captive is held because she made an agreement.
284780	290980	And this isn't even, like, in the fairy tale where she exchanges herself for her dad who is being held under a very clear threat of death.
300880	306580	The Beast just kind of sounds like he's making it up like he goes along, like he's just a kid who has no idea what he's doing.
306580	307880	Would you let him go?
307880	310080	Yes, but...
313880	315680	You must promise to stay here forever.
316880	319380	Um, forever.
319380	323480	There's one point in the movie where the threat of violence does pop up and it's right here.
323480	324480	Stop!
324480	325980	Get out!
325980	326480	No!
328780	331780	Get out!
332180	334480	Which brings us to Stockholm point number three.
334480	339380	Inability to engage in behaviors that may assist in their release or detachment.
339380	342080	See, here's what follows immediately after Beast's little outburst.
343080	343980	Where are you going?
343980	345580	Promise or no promise.
345580	347180	I can't stay here another minute.
347180	350280	Yeah, she'd been in the castle for maybe five hours.
350280	353580	So once the Beast starts throwing tables around, Belle runs away,
353580	358480	even as she leaves mentioning the little verbal contract that had been keeping her there and then dismissing it.
358480	360280	And this brings us back to point number one.
360280	361780	The Beast defines rules.
361780	365780	The castle is your home now, so you can go anywhere you like, except the West Wing.
365780	366680	What's in the West Wing?
366680	367680	It's forbidden!
367680	369480	And then Belle is immediately like,
369480	372780	Tra-la-la-la-la, no.
372780	375680	If Stockholm syndrome is a condition displayed by the victim,
375680	381280	then Belle does not apply because she does not respect the rules set up for her from basically the word go.
381280	383780	Ah, so that's the West Wing.
383780	384580	Point number four.
384580	386280	And then after X amount of violence,
386280	390880	the smallest act of kindness on the part of the captor, or even the absence of violence,
390880	393480	elicits sympathetic feelings from the captive.
393480	396780	This one, I think, is the symptom that people are most familiar with,
396780	399180	and therefore the one that tends to trip people up.
399180	405580	It really bugs me when people file this movie into the I can fix him category.
405580	411580	No rules, no punishments, and no more secrets.
411580	412880	I can do that.
412880	416480	Because Belle never sets out to fix the Beast. Ever.
416480	419880	I mean, yeah, she's way more reasonable than anyone in that situation might be expected to be,
419880	423480	but she basically responds to his absence of dickery.
423480	426980	Now, this is not the case in the Beauty and the Beast direct-to-video sequels.
426980	428380	Come on!
428380	429280	Ooh, boy.
429280	431480	You said you'd never leave.
431480	433680	I just wanted to make you happy.
436880	439080	But in the original movie, i.e. The Thing That Matters,
439080	443780	her goal is never at any point, either stated or unstated, to make the Beast into another person.
443780	445980	If he's a jerk, she responds in kind.
445980	447480	Will you come down to dinner?
447480	448980	No.
448980	451080	If he's nice, she responds in kind.
451080	456480	She treats him fairly, and he decides to improve himself of his own volition out of respect and fondness for her.
456480	458780	And eventually, she responds by being like,
458780	461480	eh, I guess I wouldn't kick him out of bed.
461480	464480	The archetypal Stockholm Syndrome setting is more like, you know,
464480	470080	your captor throws a scrap of bread at you after having starved you for weeks on end,
470080	474080	you know, not necessarily saved you from a pack of ravenous wolves.
474080	477080	That said, I'm not convinced that the Beast didn't, like,
477080	479680	slip those wolves a twenty under the table.
479680	480080	Anyway.
480080	482880	So after the Beast gets in a fight with some wolves, falls down,
482880	485980	Belle recognizes that he put himself in harm's way to save her,
485980	488880	and for whatever reason that is implied by this expression here,
488880	490580	it's up to you as a viewer,
490580	493580	she decides to keep her end of the bargain and stay with him.
493580	496580	Which leads us to the scene and point number five.
