start	end	text
0	7840	["Dio e Zingaro"]
7840	11340	["Dio e Zingaro"]
11340	15680	["Dio e Zingaro"]
15680	19480	Of all modern treatises on historical revisionism and popular culture,
19480	23520	the greatest of the 20th century was the series has landed,
23520	26960	Futurama, episode 2 of season 1.
26960	28720	The second episode of Futurama,
28760	34160	the series has landed, takes place just after Fry has been unfrozen after a thousand years of cryogenic sleep,
34160	39080	and has not yet had time to acclimate to the shifted perspectives and priorities of the 31st century.
39080	44120	Now a delivery boy for an interplanetary delivery service, his first delivery is a trip to the moon.
44120	45520	"- So, where are we going anyway?
45520	47120	"- Nowhere special. The moon.
47120	49360	"- The moon? The moon? The moon moon?"
49360	54640	An exotic adventure for Fry, but a mundane trip to, well, Disney World for the rest of them.
54640	57360	"- Gah, it's the happiest place orbiting Earth."
57360	60560	The only thing worth visiting on the moon, in fact, is a chintzy theme park,
60560	62720	a very thinly veiled allegory for Disney,
62720	67760	and this very thinly veiled allegory to the Disney theme parks also does what Disney World does best.
67760	72000	"- No one knows where, when, or how man first landed on the moon,
72000	77360	but our fungineers think it might have happened something like this.
77360	79280	"- We're winners on the moon!"
79280	82560	Revise history and change it to suit the park's own needs,
82560	86480	which the park goers accept unquestioningly, but Fry knows to be inaccurate.
86480	90880	One of the park's signature rides is a Pirates of the Caribbean parody called Wailers on the Moon.
94880	99040	So pointing out that the line in The Honeymooners was Ralph actually threatening physical violence,
99040	102240	or that there were no Wailers on the Moon is met with annoyance.
102240	103680	"- Screw this phony stuff.
103680	106800	"- But the phony stuff is what's fun. It's boring out there."
106800	109360	People just want to take the park's attractions at face value
109360	112960	without thinking about the implications of this revised history and then go home.
113440	119280	"- One of these days, Alice. Bang! Zoom! Straight to the moon."
120000	122640	That's not an astronaut, it's a TV comedian.
122640	126080	And he was just using space travel as a metaphor for beating his wife.
126080	130160	For the purposes of this essay, however, it's a pretty spot-on encapsulation of how people tend
130160	134000	to get kind of defensive whenever confronted with the idea that the past isn't as simple
134000	139120	or as pleasant as they might like to remember, but it's also a pretty spot-on parody of Walt Disney
139120	143440	World and its tendency to sprinkle pixie dust on, you know, everything.
145440	150160	The Disney approach to life, love, and history is a touch dated.
150160	155360	Magic wishes happily ever after, this has been at the core of the Disney brand for almost 90 years,
155360	159360	to the point where after decades of being one of the dominating creative forces in pop culture,
159360	163840	this ethos has inspired countless knockoffs, which is to say nothing of the countless parodies.
169440	174000	"- Do you not know that sucking my d*** is a serious offense? Punishable by f*** you!"
174000	177040	Think of how many movies, television shows, and media you've seen where
177040	179680	a character will look out into the middle distance, about to pour
179680	183040	open their hearts through song, and then someone grinds that moment to a halt.
183040	185760	"- Stop that! Stop that! You're not going into a song while I'm here."
185760	187040	Even Disney's in on it now.
189440	191440	"- Don't see. It's okay, you know? Let's just walk."
191440	195200	Part of the post Eisner rebranding we've seen is savvy to the fact that Disney's hopes,
195200	199520	dreams, and happily ever after message needs to be repackaged carefully to appeal to modern
199520	204480	audiences, even contextualized as necessary just to get by day to day on this miserable
204480	205840	dirt ball we call Earth.
205840	209920	Enchanted is explicitly about the balance between the naivete of the old Disney model
209920	211520	and the demands of the real world.
211520	215120	Frozen, Disney's most lucrative animated movie to date, has its whole
215120	219280	girl you can't marry a guy you just met bait and switch hammered in over.
219280	223440	"- You can't marry a man you just met. You can if it's true love."
223520	224320	And over.
224960	227680	"- You got engaged to someone you just met that day?"
227680	231360	Moana not only deconstructs the chosen one narrative but even features a character that
231360	235120	is basically every middle school edgelord trying to act like he still doesn't cry at Bambi.
235120	237440	"- The ocean chose you for a reason.
238720	241040	If you start singing, I'm gonna throw up."
241040	243200	Sincerity is for girls.
243200	247280	Even Tangled makes it clear that Rapunzel and Eugene wait a few years before they settle down.
247280	249200	"- Did Rapunzel and I ever get married?
249200	253520	And after years and years of asking and asking and asking,
255920	257600	I finally said yes."
257600	260160	No more of this three-day engagement nonsense.
260160	264240	And the weird thing is this meta examination of the Disney brand works.
264240	265520	People like it.
265520	269120	People will pay for Disney getting meta about Disney.
269120	270320	"- I'll be in my room.
272560	274080	Get your own movie."
274080	276960	So enter 2013's Saving Mr. Banks,
276960	281760	the most meta of the recent Disney trends of metatextual analyses within the Disney company,
281760	285680	as it is actually about the Disney ethos and how it Disney-fies everything it touches.
288720	292960	The studio, one of its most famous films, and Walt Disney himself,
292960	297520	as portrayed by America's favorite uncle, giver of good hugs, and David S. Pumpkins.
297520	300640	"- David S. Pumpkins!
301360	302560	Any questions?"
303200	304240	Tom Hanks.
304240	308880	On the surface, Saving Mr. Banks tells the true-ish story of P.L. Travers
308880	312560	and the culmination of her 20-year resistance to selling Walt Disney the rights
312560	315840	to adapt her beloved children's books, Mary Poppins.
315840	319120	Adapting these books had been Walt's passion project for decades.
