start	end	text
0	7520	So, after the likes of World Trade Center, United 93, and a slew of made-for-TV movies that are kind of funny to look at now...
11720	13800	I'm gonna need you at my side at all times.
15920	17920	Consuliary.
18000	21680	There were those that decided, hey, maybe it's time to lighten up.
22800	27720	I wanted to say I'm sorry. I was in my mid-20s and I was going through a lot of stuff.
27720	30300	I think I never really processed 9-11.
31120	32800	Lindsay and I have
32800	34800	hit a bit of a rough patch.
35360	36960	Really? When did that start?
36960	42120	Well, I don't want to blame it all on 9-11, but it certainly didn't help.
42120	47080	Team America World Police, high again Matt, Stone, and Trey Parker, is basically one extended 9-11 joke.
47440	51560	From what intelligence has gathered, it would be 9-11 times a hundred.
53720	55560	9-11 times a hundred?
55560	56880	Jesus, that's...
56880	60320	Yes, ninety-one thousand one hundred.
60320	66440	Once again, like in South Park, they're more preoccupied with America's world police-y-ness than the event in its fallout.
66880	71200	Don't worry. Everything is bold. We stopped the terrorists.
73600	76560	9-11 is a favorite joke topic for Seth MacFarlane.
76560	79560	Mrs. Griffin, what are your plans for cleaning up our environment?
80160	82160	9-11.
82680	86360	This may, in part, have to do with the fact that, according to MacFarlane,
86360	91160	he nearly became a victim of the attack since he was originally scheduled to board one of the planes,
91480	94960	but then he had a hangover and he overslept.
94960	96360	Your favorite holiday?
96360	96960	Christmas.
96960	97560	9-11.
97560	101960	So MacFarlane, more than most people, has a bit of a fixation on 9-11.
101960	103560	Ground zero.
103660	106360	So this is where the first guy got AIDS.
106360	109360	This is nowhere more evident than in the 2011 episode,
109560	112560	Back to the Pilot, in which Stewie and Brian go back in time,
112560	117560	and MacFarlane self-insert in dog form Brian informs his past self about 9-11,
117560	119560	thereby preventing it.
119560	121560	Time to terrorize the terrorists.
121560	126560	But preventing 9-11 causes a Terminator-style dystopia, because of course it does,
126560	131560	so they have to go back and, in effect, make sure 9-11 happens.
131560	138560	I have a really hard time believing that a present with no 9-11 could possibly be worse than the one we're currently in,
138760	139760	but...
140760	141760	Okay.
141760	146760	We see it referenced again in Ted, in the scene where the titular character is racist at Norah Jones.
