start	end	text
0	7520	Let's get ready for DUMBOOOOOOO!
7520	10320	Twice. They do it twice.
10320	12480	Let's get ready for DUMBOOOOO!
12480	15120	In the last couple of decades, there's been this trend of
15120	18960	family films being self-aware and trope-savvy, as if to say,
18960	23840	yes, parents in the room, we know that you have to endure this, but we also know
23840	28800	that you are, in fact, smarter than your five-year-old.
28800	29760	You did it.
29760	33200	And while this has been present in Disney films since, debatably, Aladdin,
33200	37680	this kind of meta-commentary has slowly been shifting from the occasional throwaway gag
37680	40560	It's a small world after all
40560	43280	No! No! Anything but that.
43280	46160	to full-on important thematic statement.
46160	50800	Enchanted is the real milestone here, and also represented a turning point for the studio in general,
50800	54800	the entire premise of the film positing what would actually happen if a Disney princess
54800	58480	were magically transported into the real world.
58480	61360	She's yours!
61360	63760	Don't see. It's okay, you know? Let's just walk.
63760	67840	See, Patrick Dempsey's trying to get his daughter into, like, Ruth Bader Ginsburg.
72480	73600	A book?
73600	75920	He wants her to be a strong independent woman.
75920	80160	But then, hey, a literal Disney princess brings magic into their lives.
80160	83280	So, hey, I guess the truth is somewhere in the middle.
83280	87440	You can be a strong independent woman who also buys Disney princess merch.
87440	91360	And today, we're going to be checking out some new toys in honor of Princess Jasmine.
91360	95040	It wasn't obvious at the time, but this was laying the groundwork for a much broader
95040	99920	trend of Disney acknowledging that times have changed from the era of princesses being saved
99920	104160	by princes, and it's cool that you want to go to law school, strong independent woman.
105040	107760	But please don't stop buying our stuff.
108960	111920	Audiences really liked this meta aspect of Enchanted,
111920	115040	and we saw similar elements in other films, like Frozen.
115040	117680	You got engaged to someone you just met that day?
117680	118720	Yeah, anyway.
118720	119280	Moana.
119280	123440	If you wear a dress and you have an animal sidekick, you're a princess.
123440	125760	And, more recently, Wreck-It Ralph.
125760	127440	Ralph Breaks the Internet.
127440	128400	Were you poisoned?
128400	128960	No.
128960	129600	Cursed?
129600	130080	No.
130080	131280	Kidnapped or enslaved?
131280	133520	No, are you guys okay? Should I call the police?
133520	137440	Soon, we entered the era of the live-action remake slash sequel slash spin-off,
137440	142240	beginning debatably with Tim Burton's Alice in Wonderland, starring girl-interrupted Alice,
142320	147200	what-wears-armor, and a tortured tragic mad hatter, and whatever this is.
150880	153920	As far as this trend goes, Cinderella felt like a test run.
153920	158800	It had no real interest in reinventing the wheel so much, as much as it slides in on the whole
158800	163440	knowing the prince before the ball slash riding a horse equals empowerment shtick
163440	167120	that Ever After did better, because by this point that was old hat.
167120	170960	But on the flip side of the coin we have Maleficent, or as I like to call it,
170960	171680	my trash.
173680	175120	Well, well.
175120	177680	Maleficent is a remake, sort of,
177680	182080	which works as meta commentary by suggesting that the villain wasn't one-dimensional,
182080	183760	but had sympathetic motivations.
184800	186720	Very sympathetic motivations.
186720	191600	Motivations which I think that only Angelina Jolie knew what she was doing.
195760	196800	I mean, I get it, girl.
196800	201120	But really, the difference now, even from a movie as relatively recent as Maleficent,
201120	205360	is that these films are not so much using commentary as a means to examine their past
205360	207120	in the films that they are based on,
207120	210960	as much as they are using meta commentary to justify their own existence.
211760	215920	Teaching another girl to read isn't one enough.
215920	216420	Get it?
217120	219520	The original movie wasn't empowering.
220960	222000	But now it is.
222880	227040	The tendency to self-correct the outdated or questionable morality of the source material
227040	229120	is all over the place in these remakes.
229120	231520	Dumbo, in particular, is ripe with it.
233680	234640	Look at the sign!
235360	235840	Dumbo!
236720	241600	See, in the original film, Dumbo accidentally gets lit on some champagne and hallucinates.
244800	245280	But here...
245280	246960	Champagne for Dumbo!
247520	251680	No, we couldn't allow underaged elephants to drink.
251680	253440	What would the children think?
257440	260560	And we're the original Dumbo reunited with his mother at the end of the movie,
260560	264000	who seems to be enjoying retirement on her own train car.
264000	266960	The remake has them return to the jungle,
266960	270640	and Danny DeVito gets an epilogue where he explains to the viewer that the circus is
270640	271920	now cruelty free.
271920	273200	And the movie is not.
273200	277520	Dumbo gets an epilogue where he explains to the viewer that the circus is now cruelty free.
277520	281840	We believe no wild animals shall be held in captivity.
281840	285280	So the remake has this forced Aesop that animal cruelty is bad.
285840	288240	You know, which is not a bad thing in and of itself.
288240	291440	It is bad, and I'm glad animals in circuses have been phased out,
291440	294240	but the Dumbo happens in the late 1910s,
294240	299200	and that this is how the film ends feels a little disingenuous.
303200	306880	Like, audiences know it was a different time.
306880	311120	I don't think anyone wanted or expected a Dumbo remake to have a message about how it's
311120	313520	probably kind of unethical to have circus animals.
314640	316880	Here I make a funny here ugly baby.
316880	320880	So instead of addressing actual criticisms that people have had of Dumbo,
320880	321840	and we'll get to that,
321840	324880	it seems that the film is presenting itself as thoughtful by
325600	329920	fixing a moral outrage that, well, no one but PETA really had.
330480	333040	So some of this strategy is built either around
333040	337520	blatantly ignoring said dated material and cutesily joking it away,
337520	340240	but in the interest of pretending that Disney is at least
