start	end	text
0	2480	Witches, am I right?
2480	9640	If you're a woman in Hollywood over the age of 35, you've probably played one.
9640	13540	In fact, you're probably in the process of playing a witch right now.
13540	17920	This can speak to many facets regarding the way we view women in Hollywood, but I don't
17920	21120	think all of them necessarily bad.
21120	22120	Go.
22120	24040	Go away.
24040	25840	No longer is the witch a one-note archetype.
26280	32120	No, sir, now she is a complex figure with motivations and a backstory.
32120	34120	Some of the time.
34120	40620	With that in mind, who better to talk about than the Wicked Witch of the West, arguably
40620	45900	the most famous witch of the 20th century, and the template for a good 30% of all Halloween
45900	46900	costumes.
46900	50800	So, what even is a witch?
50800	55100	Witch is a pretty broad term, it can apply to pretty much any magical woman, although
55100	57560	the connotation does tend to be pejorative.
57560	61920	One of the earliest examples was the Seer of Endor, which was later translated as the
61920	66740	Witch of Endor, whom King Saul of Israel goes to learn the future because God won't talk
66740	67740	to him.
67740	71960	Witches are often a source of dangerous wisdom we see similar to the Witch of Endor thousands
71960	74440	of years later with Macbeth's weird sisters.
74440	78920	Again, they're not really evil per se, but they're still mysterious and scary and you
78920	80600	don't want to go there, Macbeth.
80600	84840	During the Middle Ages, as Europe got more and more, well, shitty, the idea of the witch
84860	89780	became more and more associated with the Christian devil, the archetype of the old hag becomes
89780	95020	more prominent, witches became associated with brooms.
95020	96460	Where did the broom thing come from?
96460	101300	Well, it's hard to pinpoint exactly, but the root of any folk villain tends to deal with
101300	106340	some cultural anxiety, and the witch archetype is European anxiety about women straying from
106340	111740	the very, very narrow box set out for them, so witch iconography utilizes signifiers of
111740	113700	the domestic, but wrong.
114560	118800	You're supposed to use that broom to clean the floor, not fly around.
118800	121840	So when we look at the Wicked Witch of the West, what we see is a distillation of all
121840	127000	of these many hundreds of years of iconography into the ultimate modern archetype for the
127000	128000	witch.
128000	129000	She's got it all!
129000	130640	Except for the cat.
130640	133880	She's got flying monkeys instead.
133880	137480	Originally a children's book villain, the last hundred years have seen the Wicked Witch
137480	143200	of the West be expanded upon in many ways, but being honest we are pretty much going
143200	148900	to use the 1939 film as our bedrock for this discussion, as much as, if not more so than
148900	149900	the original book.
149900	155580	Which is an important distinction to make for one reason, the 1939 film is still under
155580	160980	copyright where L. Frank Baum's The Wonderful Wizard of Oz is not.
160980	166020	So as always, as there are roughly one shit billion different versions of the Wizard of
166020	169920	Oz, this does not include every single version of the Wicked Witch of the West.
169940	173780	So, with that in mind, the Wicked Witch of the West.
189100	193660	There are entire books dedicated to political interpretations of Baum's fiction.
193660	197900	Not that he was necessarily doing it deliberately, the intentionality of anything he put in his
197900	203360	books is completely up for debate, but reading politics into the world of Oz is super popular
203360	205320	and super common.
205320	210080	The ruby slippers in the 39 version, in the book they were silver slippers and they represent
210080	214960	like the gold standard and the silverite 16, well actually no, the yellow brick road is
214960	217640	the like dissolution of the gold standard or something, I don't know.
217640	221960	And this is not by Baum's admission, this is just popular conjecture.
221960	226880	That said, the world of Oz is one in which almost all of the power players, good and
226880	228240	bad, are women.
228240	231700	So when you look at all that and Baum's political leanings, it's no coincidence that these books
