start	end	text
0	25480	with a wanton mom she still calling out obscenities full of coerced rapture until only his name
25480	35240	was on her lips. The **** grew, his **** as it could go the instant her muscles began
35240	42280	clenching rhythmically to draw out ****. Watching him grunt like a beast, Claire felt the ****
42280	49200	lost in the rapture of her greedy **** milking his **** until **** with the stuff. While
49200	54680	the **** persisted, Shepherd looked into disoriented green eyes and demanded roughly, whose name
54680	60160	did you call as you ****? Claire could hardly breathe, was on the ebb of a powerful **** that
60160	67900	shook her to her bones, she whispered trying not to cry, yours. Because I am your alpha.
67900	74160	It was almost a roar. You want to be **** by me, do you understand? I'm the only man you
74160	80280	will ever **** from this moment on. Drocco roared. I will not share you, ever. You will
80280	84440	never have an opportunity to **** anyone else. His hand tightened around her neck as
84440	89600	he leaned in, growling. No other man alive should have had what I own. You will tell
89600	93180	me who they are and where they are and then you will declare me your alpha. Watching her
93180	99480	lips form words, dissecting the tortured desire and uncontrolled pleasure, he **** even faster,
99480	106640	snarling like a beast, still **** with **** he demanded. Who do you belong to? There were
106640	110920	tears leaking from the eyes squeezed shut as she jerked and twitched from his abused
110920	123440	**** and ******* prolonged too far. Please, please stop. I can't. Who do you belong to?
123440	132440	Face full of pain, pleasure, Claire gasped. I belong to you. That's right, little one.
132440	137440	She became a voice as if leagues away. The ******* ******* abated and she sobbed when
137440	142680	the overstrong extended ******* ******* began to abate. More waves of ******* ******* burned
142680	147680	her from the inside when Shepherd purred, you belong only to me.
147680	166240	Hey everyone, get set to get wet. So a few months ago there was this article in the New
166240	171960	York Times with the title, a feud in wolf kink erotica raises a deep legal question,
171960	176520	subheader, what do copyright and authorship mean in the crowdsourced realm known as the
176520	182400	Omegaverse? And I gotta tell you, this article doesn't even come close to scratching the
182400	187520	surface of how coconuts this whole thing is. So where to start? Okay, so there was this
187520	194880	lawsuit surrounding some works of fiction that incorporated the fanfic trope known as
194880	201680	ABO or Omegaverse, and one thing led to another, and before you know it, the New York Times
201680	208600	gets to explain concepts like estrus cycles, claiming bites, forced impregnation, nodding,
208600	218000	which is, well, it's like, apparently it's a feature of wolf anatomy. It's got everything.
218000	227840	Sock puppetry, falsified documents, violent heat cycle, perjury, spurts of, well, oh no!
227840	232360	It's like the tiger king of wolf porn. And the deep legal question is, in effect, who
232360	238640	owns ideas? Where do you draw the line between what is and is not worthy of copyright? And
238640	245040	why does it involve so much bodily fluid? You're like the loudest climaxer I've ever
245040	249760	heard. It was like the sound of a 30 year old sprinkler finally going off for the first
249760	265360	time. So what is the Omegaverse? So I'm just going to call this a subgenre of erotica,
265360	270000	because if you ignore the fanfic specificity, that's all it is. The concept of Omegaverse
270000	274360	originally started as a subgenre of erotic speculative fanfiction in the supernatural
