start	end	text
0	1180	Hello, everyone.
1180	4880	This is a video responding to a recent PragerU video titled,
4880	6280	The Charlottesville Lie.
6280	10840	That video is discussing the media's response to President Trump's controversial comments
10840	14740	in the wake of the Unite the Right rally in Charlottesville back in 2017.
14740	18260	And the description to that video on the PragerU website reads,
18260	23260	"...did President Trump call neo-Nazis very fine people during a famous press conference
23260	26360	following the Charlottesville riots of 2017?
26360	29020	The major media reported that he did.
29140	31140	But what if their reporting is wrong?
31680	35520	Worse, what if their reporting is wrong, and they know it's wrong?
35520	38860	A straight exploration of the facts should reveal the truth."
38860	44140	That's what CNN political analyst Steve Cortez does in this critically important video.
44860	49200	As always, I would suggest you watch that video first. It is only five minutes long.
49200	53380	Also, I'm not going to be going through the events of the Unite the Right rally in detail here,
53380	55620	as I've already done that in my video titled,
55620	57980	Charlottesville, the true alt-right.
57980	61500	So if you need a refresher, I'd advise you also go and watch that first.
61500	65200	It's only, uh, fifty-three minutes long, right?
65700	70620	So then, PragerU's main argument is that the mainstream media lied about Trump's comments
70620	75700	with regards to the Unite the Right rally by omitting that he distinguished between the neo-Nazis
75700	81800	and white supremacists at the rally, and those apparently there to merely protest the removal of Confederate statues.
82160	84420	By apparently omitting this information,
84460	90680	various media outlets were then free to allegedly claim that Trump was calling the Nazis fine people.
90680	96860	In typical PragerU fashion, however, they provide absolutely no evidence of their main claim.
96860	101780	They just tell you that it's true, and expect you to take their word on the matter.
101780	106160	Now, instead of citing any actual news articles to back up their claims,
106160	111220	they instead show this cartoon newspaper that they made up, remember,
111260	112060	which says,
115760	117680	And then they argue with that.
117680	122860	So we have to ask, uh, why no actual non-cartoon sources here?
122860	127860	They elsewhere cite an actual New York Times article when attempting to back up a different claim,
127860	132800	so I don't believe that this refusal to cite articles as evidence is a stylistic choice.
132800	136640	There must be another reason why they don't want to show you the evidence.
136680	139560	Now, PragerU don't cite any specific articles,
139560	145720	but they do mention several news networks and newspapers as being the ones that supposedly spread the lie.
145720	147440	Uh, here, where they say,
158560	160720	So we have our list of culprits here.
160720	166920	These are the vile organizations that neglected to mention Trump differentiated between the groups of protesters,
166920	169560	and that he condemned the Nazis.
169560	172560	How allegedly manipulative of them.
172560	175080	Only, here's the thing.
175080	180000	And you had people, and I'm not talking about the neo-Nazis and the white nationalists,
180000	182320	because they should be condemned totally.
182320	188320	But you had many people in that group other than neo-Nazis and white nationalists, okay?
188400	194000	That's ABC News there, reposting the clip of Trump condemning neo-Nazis to their Twitter feed,
194000	196400	and linking to a story in which they say,
212040	214840	So, ABC didn't spread the lie there.
214880	217680	They spread Trump's condemnation of neo-Nazis,
217680	222960	and made clear that Trump thought some people were there simply to protest the removal of the statue.
222960	225280	So, PragerU got that one wrong.
225280	227160	Uh, how about CBS?
227160	229920	I've condemned neo-Nazis.
229920	232800	I've condemned many different groups,
232800	236440	but not all of those people were neo-Nazis, believe me.
236440	240760	That's CBS showing a clip of Trump condemning neo-Nazis above a news story,
240760	245880	which also contains quotes showing that Trump distinguished between the groups of protesters.
245880	249000	NBC put out an article that quotes Trump as saying,
271720	273920	Next up, NPR.
273920	280000	He ultimately did criticize as neo-Nazis and Klansmen and white supremacists,
280000	284600	but he said that description didn't fit everyone who was taking part in these demonstrations.
284600	288280	Not all of those people were neo-Nazis, believe me.
288280	292080	Not all of those people were white supremacists, by any stretch.
292080	298760	He went on to say that some of the demonstrators were there to protest the taking down of a statue of Robert E. Lee.
299000	305320	That's a clip of NPR taken from the same day as Trump's comments there, so that's them off the hook as well.
305320	307720	Next up is the New York Times.
307720	309320	They put out an article that says,
322760	327560	There's one more thing to be said about this singling out of the New York Times by PragerU here.
327560	330040	Elsewhere in the video, they say the following,
341560	342920	And then they quote someone who says,
345800	350360	Now, the thing to note here is that PragerU cite the New York Times as their only evidence
350360	353160	that some good people were at the Unite the Right rally,
353160	358040	then later criticized the New York Times for lying about the Unite the Right rally.
358040	363400	I mean, if the New York Times were apparently so dedicated to pushing this anti-Trump lie,
363400	366360	why would they release an article that contradicts it?
366360	369800	You know, can we trust the New York Times or not, PragerU?
370360	374280	Just when they agree with what you're saying, I guess. Probably that, yeah.
375320	377240	Lastly, the Washington Post.
383160	395160	Every single news organization that PragerU names as having participated in the so-called
395160	399800	Charlottesville lie reported exactly what PragerU claims they didn't.
400360	404760	They all made clear in their reporting following the press conference that Trump
404760	407720	distinguished between the groups of protesters.
407720	411160	PragerU is lying about these news organizations.
411160	414920	They all reported exactly what Donald Trump said,
414920	418760	and I will leave links to these news stories below if you'd like to check them out.
418760	420360	So, what happened here, then?
420360	425400	Well, the media did criticize Trump for his fine people on both sides' statements,
425400	428760	but this was not because they were lying about what he said.
428760	433080	They actually criticized Trump for two different, valid reasons.
433080	436360	The first reason was because of his previous comments on the matter,
436360	439000	which PragerU omit from their narrative here.
439000	443000	They present an incorrect version of the timeline of events.
443000	446760	You see, the press conference at which President Trump made those statements was not,
446760	451080	as PragerU implied, the first time that Trump addressed violence at the rally.
451080	454440	He'd actually made prior statements to the press about the incident.
454440	456840	And let's use PragerU's little calendar here.
456840	459960	So, we have the rally on the 11th and the 12th there.
459960	463720	Their little cartoon Trump on August 15th here might give you the impression
463720	468440	that he didn't say anything on the matter until that point, but that's not true.
468440	472440	Trump's first comments to the press came on August 12th, shortly after the rally,
472440	473080	when he said,
473080	475080	"...we condemn, in the strongest possible terms,
475080	480120	this egregious display of hatred, bigotry, and violence on many sides."
480120	482600	So, Trump is drawing a moral equivalence there,
482600	486280	much like his later, fine people on both sides comment.
486280	488280	Only here, on August 12th,
