start	end	text
0	1320	Hello there.
1320	5820	So okay, I know I said I was burnt out on Stefan Molyneux,
5820	10020	but the other day I happened to watch Star Wars The Force Awakens again,
10020	14360	and I couldn't resist going to take another look at Stefan's video about it.
14360	19600	In my first video about Stefan, I included a clip of him talking about Star Wars
19600	24360	and what he sees as its anti-family, anti-male message.
24480	30220	Now the purpose of that clip was to demonstrate what I see as Stefan's anti-woman ideology
30220	36360	affecting his approach to art, as well as, to a certain degree, everything else.
36360	41460	So the purpose of this video is, in part, to expand on that point.
41460	46420	Now the idea that one's particular world view colours one's understanding of art
46420	49020	is certainly not specific to Stefan.
49020	50520	It happens to everyone.
50540	55480	You know, I have my own biases and leanings that I bring with me when I watch a movie,
55480	61080	or read a book, or whatever, so I'm not criticising Stefan just for having opinions.
61080	67280	And I'm generally a fan of what we'll call unconventional interpretations of art.
67280	71220	At the least, I think they're usually fun to think about.
71220	76480	I've seen it argued, for instance, that Hamlet is a gay character.
76480	81840	And there's certain things in the play one can point to that could be interpreted as supporting this.
81840	86480	His rejection of Ophelia, his affection for Horatio, and so on,
86480	90140	and as well as certain lines of dialogue here and there.
90140	94340	However, one needs to be careful with these sorts of interpretations.
94340	99040	It's easy to cross over from speculations to declarations.
99040	105440	There's a line between speculating that Hamlet could be gay, and declaring Hamlet to be gay.
105440	109600	And there's a much bigger line between speculating that Hamlet could be gay,
109600	116700	and declaring Hamlet to be gay based on the scene where he has sex with Horatio, which doesn't happen.
116700	119900	You know, you've started misconstruing the text at that point,
119900	124900	and you've entered into the realm of just being objectively wrong about things.
124900	130900	And I mention this now because Stefan makes a few claims about the characters and events of The Force Awakens
130900	138260	that I think go beyond individual interpretation, and end up just being directly contradicted by the movie.
138260	140260	So that's my aim with this video.
140260	147760	I'm gonna highlight the times I think Stefan is incorrect, and present a counter-interpretation of the material.
147760	154860	But before we talk about The Force Awakens directly, we'll start with a few thoughts on the fantasy genre.
154860	159760	In most epic stories, parents are conveniently removed from the home,
159760	165260	allowing the young hero to easily slide under the tutelage of a warrior master,
165260	170160	and learn the ways of obedience and drama and war.
170160	174160	In the original Star Wars, family life was portrayed as mundane and humiliating,
174160	181220	as a young Luke Skywalker was expected to work productively on his uncle's farm.
181220	184660	Historically, epics tend to be fantasies.
184660	191560	That feed the murderlust of the young, who were needed by the aristocracy to wage war on their behalf.
191560	198660	The word adventure basically means, learn the dehumanizing joy of murdering for your masters.
198660	205660	In these stories, boring parents are replaced by wise, hypnotic elders who teach young men,
205660	210360	and now young women, the excitement and joys of war.
210360	215960	This conveniently allows the authority of the state to displace the authority of parents,
215960	223060	transitioning young men from pimply-faced teens to hardened warriors serving their economic and political masters.
223060	227860	Hey, who wants to work for a banker when you can kill for a banker?
229360	232760	So Stefan starts out with something that I agree with here.
232760	238560	He is correct that the fantasy genre usually takes the protagonist's parents out of the picture,
238560	242160	either before the story or during the opening act.
242160	247660	But he claims this is down to some anti-family and or pro-violence message.
247660	250460	You know, freed from their family constraints,
250460	256160	the protagonist can now go off killing people under the guidance of an older warrior.
256160	258660	And I can't really agree with that interpretation.
258660	262560	I think the real reason is mainly just narrative in nature, you know.
262560	268060	Removing the parents is often a necessary step to force the protagonist into action.
268060	273960	If Luke, for instance, had stayed on the farm and not followed Obi-Wan, he wouldn't have a story.
273960	278260	Nobody wants to watch Luke work a boring farm job for two hours.
278260	283960	Regardless, I think Star Wars is the wrong series to make this point about, to be honest.
283960	289460	Neither of Luke's masters, Obi-Wan or Yoda, teach Luke to attack anyone.
289460	293860	In fact, they seem to prefer non-violent means of resolving conflicts.
293860	297560	You can't win, but there are alternatives to fighting.
297560	301760	A Jedi uses the Force for knowledge and defense.
302360	303860	Never attack.
303860	310860	Obi-Wan sneaks his way past stormtroopers that he could kill, and he even allows himself to be killed.
310860	317860	And the culmination of Luke's story has him defeating the Emperor by explicitly refusing to fight.
317860	323560	This seems more of an anti-violence message to me, really, rather than a pro-violence one.
324160	325660	In the new film, we meet Finn.
325660	329960	Now, Finn is a stormtrooper who was cloned, raised without parents,
329960	335160	and trained to be a mindless, obedient, killing robot pretty much from birth.
335160	337560	As an adult, he has a strong conscience.
337560	344260	He is engaging, charming, funny, enthusiastic, and, for obvious reasons, mindlessly horny.
344260	350960	In other words, despite being raised in conditions that your average African child soldier would find utterly horrifying,
350960	356160	he is a perfectly well-adjusted, mentally healthy, courageous, he's a good team player,
356160	359660	he's socially poised, warm, and funny.
359660	363460	This mirrors the fantasy of Harry Potter, who was also endlessly abused as a child,
363460	370660	and shares most of this eerie, steroid mental health characteristics that Finn has.
370660	379860	This denial of the effects of childhood trauma is the fundamental reason for the consistent re-emergence of intergalactic evil,
379860	384860	not just in Star Wars, but in all these stories, and in the world as well.
385660	389160	Intergalactic evil? Yikes.
389660	391860	What does Stefan know that we don't?
392360	394860	So, a few minor points about Finn here.
394860	399860	Firstly, Stefan says that he's a clone, but he isn't.
400860	401860	I'm a stormtrooper.
403860	406860	Like all of him, I was taken from a family I'll never know.
407860	411860	Secondly, when is Finn mindlessly horny?
411860	414860	The Force Awakens is rather sexless, to be honest.
414860	419860	The only thing I can think of here is when Finn asks Rey if she has a boyfriend.
419860	423860	But that's about as far as the movie takes that romance, to be honest.
423860	425860	He's hardly mindlessly horny.
426360	429860	So anyway, the effects of childhood trauma.
