start	end	text
0	6320	Hello, everyone. Just a quick video today, but it's a bit of an odd one, so allow me to explain.
6540	14640	And I have to talk about myself a little bit here, so apologies. I did try to write around that, I promise, but it was impossible.
15180	20740	Now, when I started out on YouTube, I was just making rather mediocre, honestly,
21000	27840	Let's Plays with my friend Jen for something to do, and that's what I thought YouTube was for, really.
27840	33440	But Minecraft videos, catch jumping into boxes, and rally crash compilations,
34240	39840	Why would you stand on the corner at a rally? Why are they standing on the corners?
40160	40800	Oh, God.
41360	49760	I didn't really have a clue about any of this political stuff that was going on on YouTube, you know, all of these new media personalities,
49760	56800	or whatever else they like to call themselves, you know, instead of what they actually are, which is someone with a blog.
57600	60640	Someone with a blog who takes it way too seriously.
61360	63840	Of which I am one now, I suppose.
64320	71280	But back when I made the switch from making fun videos to depressing videos, it's fair to say I was a little behind the times.
71760	75600	You see, what I was aware of were the atheist YouTubers in the
75840	82000	were-geniuses-by-virtue-of-knowing-the-earth-is-round vein, like Thunderf00t and TheAmazingAtheist.
82240	87360	And I incorrectly assumed they were still the big fish in the YouTube pond.
87840	94160	Not so anymore, of course. These days, there's a lot of other fish people are watching.
94640	100800	For example, the likes of amateur ufologist and 9-11 truther, Sarkad of Akkad,
101360	104240	Brain pill salesman, Paul Joseph Watson,
104640	109280	that guy whose avatar is like something unusual wearing a suit.
110080	112560	You know the guy. The name escapes me right now.
113120	117360	A Canadian who complains about immigrants despite being one,
117840	123840	the world's greatest living philosopher, Stefan Molyneux, Laura Loomer, and Boxxy.
124320	129600	But I didn't know all that back then, of course, so I decided to make a video about TheAmazingAtheist,
129600	132400	which, if you go and check, isn't there anymore.
132800	138080	You see, making that video, I was still kind of finding my feet somewhat and working out an approach
138480	143760	and all that, and it's no excuse, really, but I said some pretty rude personal things about TJ,
143760	148800	which was a mistake and something I felt uncomfortable with afterwards and sorry about,
148800	150480	so I deleted the video.
150480	156080	I basically attributed TJ's rather racist and offensive views featured in that video
156080	160800	to him being mentally ill, which was unfair not only to him but also, you know,
160800	164480	all the other people who struggle with various mental illnesses without being
164480	168560	racist or terrible people, so I apologize for that.
168560	172880	And I'm grateful, in a sense, that I made that mistake and learned from it
172880	175760	while my channel and audience were still fairly small.
175760	178240	I kind of snuck that one under the radar there.
178960	182240	There were a couple of downsides to deleting that video, though.
182240	186400	The first is that besides being unfairly rude about TJ personally,
186400	189200	I did catch him out on something particularly funny.
189840	192800	The other downside is that ever since I deleted that video,
192800	195120	I've had people asking me if they can see it.
195120	198800	You know, look at all these curious cat questions I have backed up there.
198800	203280	About a tenth of those are about this Amazing Atheist video.
203280	205520	So here you go, folks.
205520	209760	Here's the funny thing I caught TJ out on, and once I've explained this,
210480	213120	hopefully you can all leave me alone about it.
213120	215760	So something I'm going to touch on in my next video
215760	219520	is how starved for material anti-feminist YouTube is,
219520	222560	and you can tell this mainly because they all make the same videos
222560	223840	covering the same topics.
224640	229200	For example, when our old pal Milo Stewart made a bit of a clumsy video
229200	232640	where they explained what they'd learned about subconscious biases,
233280	237920	anti-feminist YouTube pounced and all made the exact same response video
237920	239200	crowing about it.
239200	243280	A young trans person saying something that's easy to clip out of context
243280	248160	was a much-needed gulp of air for that overcrowded, asphyxiating rat cage.
249520	254000	Anyway, one such hack desperate for material was the Amazing Atheist
254000	258080	who made a video entitled Transgender Bigots Hate Speech,
258080	259840	and my video was a response to that.
260560	263520	I was originally going to remake the video in its entirety,
263520	265840	but actually most of it holds up pretty well,
265840	270720	so I'll just include an edited version here following these disclaimers.
270720	274880	So I've excised the regrettable personal insults directed at TJ
274880	278800	from the following clips, but I haven't re-recorded the audio,
278800	281200	and it's a little bit different from how I do it now.
282080	285440	First of all, if you think I speak slowly now,
285440	287120	wait until you get a load of this.
287120	291200	My delivery has definitely improved over the last year, I'd say, watching this.
292480	296160	Secondly, I still call TJ an idiot at one point,
296160	300400	and that word and other words like stupid or moron, for instance,
300400	304160	are things I'm trying more often to avoid lately.
304880	309040	Uh, attributing deliberate actions to just unintelligence
309040	311600	is something that started sitting kinda wrong with me.
311600	317760	I feel like it can erase responsibility and agency in kind of an irresponsible manner.
317760	321360	You know, it kinda lets people off the hook when they do something maliciously
321360	323520	to just chalk it up to idiocy.
323520	326800	So that's something I try to avoid these days.
326800	331600	I also at one point refer to the trans lifestyle, I think I say,
331600	337040	which is honestly just a bit of lazy scripting that would not make it into a video these days,
337040	340080	because it makes it sound kinda trivial in context,
340080	345920	the word lifestyle being more usually associated with choice, as in lifestyle choice,
345920	348880	like deciding to reduce your carb intake or something.
349440	353120	Again, not much of an excuse, but I didn't really have many viewers back then,
353120	356320	and I didn't take as much care with my language as I try to now.
357360	360080	And instead of correcting these errors, I thought I'd leave them in
360080	362880	so I could make these points about how my approach has changed
362880	366800	and how I'm thinking about my language more and trying to be better with it.
367600	370000	With that out the way, here you go.
370960	373360	So anyway, let's get to TJ's arguments.
373920	378480	And I'll give a short summary of the section of Milo's video TJ is responding to,
378480	382800	we'll watch his response, and then we'll respond to his response.
382800	383300	What fun.
384180	385700	So Milo says,
385700	391700	All members of a majority are biased against the members of the minority or oppressed group.
392580	394260	And TJ responds,
394260	399140	The minority is always oppressed by the majority,
399140	407700	just like the 0.1% richest people are all oppressed by the 99% poorest people.
407700	410420	That's how that works, right? Oh yeah!
411300	416900	Now, where TJ's went wrong there is that he's only thinking of the minority and the majority
416900	419220	in a strictly numeric sense.
419220	422820	He's only considering the mathematical use of the words.
422820	424900	And when we're talking about societies,
424900	430980	the minority refers to a group that has a minority of that society's power.
431540	437380	For instance, black people in the United States are both a statistical and social minority.
438020	442100	Women, on the other hand, are a statistical majority,
442100	444980	but still considered a social minority,
444980	450500	because compared to men, they hold a minority of power, influence, and privilege.
450500	454660	In TJ's example, the rich are a statistical minority,
454660	459940	but they're not a social minority because they have a majority of the power.
459940	460440	Yeah?
461220	461720	Yeah.
462520	463720	Milo says,
463720	468840	Imperialism created cisnormativity and heteronormativity.
468840	470440	And TJ responds,
470440	476680	Then why have these been the norm in every human culture that we've ever heard about?
477400	479320	Now, I'll interrupt TJ there.
479320	482360	My understanding of the word heteronormativity
482360	488920	is the belief that heterosexuality is the only normal or natural sexual orientation.
