start	end	text
0	7600	Hello, everyone. Today, I'd like to talk about Black Panther, the latest film in the Marvel Cinematic Universe of movies
7600	11000	featuring heroes with superhuman abilities.
11000	14900	But first of all, we need to talk about A Christmas Carol.
14900	19800	So, the main character in A Christmas Carol is, of course, Ebenezer Scrooge.
19800	26200	And I'll show here a picture of Michael Caine in The Muppet Christmas Carol, which is by far the best adaptation.
26200	30500	And I'd like you to be a bit of a guinea pig in a little experiment of mine right now.
30500	34800	How would you describe the character of Ebenezer Scrooge?
35400	38200	Now, this might seem silly, but it does have a point.
39100	40600	So, what is Scrooge like?
40600	46800	Well, he's selfish, he's miserly, he's cold-hearted, unpleasant.
47300	48700	You know, you get the picture.
49100	54300	Hard and sharp as a flint from which no steel had ever struck out generous fire.
54300	58300	Secret and self-contained and solitary as an oyster.
59100	60900	So, my question is this.
60900	64000	Why is this the image of Scrooge that persists?
64500	68500	Because, of course, this is only Scrooge's character at the start of the narrative.
69100	72900	But then, you know, things happen to him and he changes.
73300	80900	A Christmas Carol is the story of how Scrooge transforms from a cold, cruel person into a generous, kind person.
81300	84900	Yet, we understand that if someone calls another person Scrooge,
84900	90900	they're saying they're unkind and mean, rather than as good a man as the good old city knew,
90900	93900	as Dickens describes Scrooge by the end of the story.
94500	95500	So, why is this?
96300	97300	Well, I don't know.
97300	99100	You know, it's just something I noticed.
99100	102300	And maybe it's just that first impressions count a lot.
102900	108700	You know, maybe the most memorable characters and places and things in a story just more naturally occur at the start,
108700	114700	before the narrative has a chance to smooth out the edges on its way to bringing the story to a resolution.
115100	119700	Scrooge certainly stands out more at the start of the book than at the end.
120100	125500	So, anyway, let's seemingly abandon this point here and move on to talk about Black Panther.
125500	128700	And fair warning, there will be spoilers in this video.
128700	132500	Not just for Black Panther, but for for Ragnarok as well.
133100	136100	And, well, a Christmas carol, too, I guess.
136100	137500	It's a bit late for that now, though.
138100	141500	So, why will there be spoilers for for Ragnarok in this video?
141900	146700	Well, that's because both it and Black Panther follow a very similar story structure,
146700	148900	which I'll just outline rather quickly here.
149300	153300	So, the main character of the story is a prince who is the heir to a kingdom.
153500	156100	His father is the king, and in the mind of the prince,
156100	159900	he's a great leader who the prince does not yet feel ready to replace.
160300	162100	However, following the death of the king,
162100	166300	the prince finds out a terrible secret about something his father did in the past,
166300	169900	something that creates the antagonizing force in the movie.
170100	175900	In Thor, Odin imprisoned his firstborn child, Hela, after she helped him conquer the Nine Realms.
176100	180900	And in Black Panther, King T'Chaka killed his own brother and abandons his nephew,
181100	184300	who returns later, like Hela, seeking revenge.
184700	187500	The prince is initially defeated and depowered.
187700	192300	Thor loses his hammer, T'Challa loses his... cat powers.
192700	197500	And this sets them up to later return, regain their powers, defeat the antagonist,
197500	199700	and prevent them from doing something terrible.
200100	204700	And in the process, the prince decides he will have to radically transform his society.
205100	208900	Thor intentionally destroys Asgard in order to defeat Hela,
209100	211500	and T'Challa, at the conclusion of the movie,
211700	214700	reveals the existence of Wakanda to the rest of the world.
215100	217300	So we're here to talk about Black Panther.
217300	220900	So why am I mentioning its similarity to Thor Ragnarok?
220900	226300	You know, am I really trying to show off that I noticed two Marvel superhero movies were similar?
227100	227900	Well, a little bit.
228500	230700	But it does tie into a point I want to make later.
231100	234700	So, I've teed up two different points at the start of the video here.
234700	237900	The Scrooge thing and the Thor Ragnarok thing.
237900	240300	And let's leave them both dangling there awkwardly
240300	244700	and move on to answer today's apparently pressing question.
245100	248300	Is Wakanda an alt-right ethnostate?
248700	252700	Wakanda is the alt-right's paradise.
253100	255900	And every single inhabitant of Wakanda,
256100	260100	with the exception of T'Challa's sister, is alt-right.
