start	end	text
0	6920	Hello everyone, this is just another Q&A video because I hit a hundred thousand subscribers here on YouTube recently
7420	11300	Which is fairly neat. I like it when we hit these milestones
12020	15680	Generally because I like making these Q&A videos to be honest
15680	22200	So thank you to everyone who's subscribed and supported the channel. Here's to... what's the next big
23200	24800	milestone after this?
24840	30960	Here's to 50 million subscribers, how about that? And let's just get right into it, okay
31600	34720	Hi Sean, have you ever tried vanilla Coke?
36080	38080	Yes, I have
38780	43100	Starting with that question. I didn't do any editing on the order of these questions
43100	46480	they're just how I pasted them into the text document here, so
47700	49700	Yes, I have tried vanilla Coke
49960	54480	I'm not going to tell you what I thought of vanilla Coke because that wasn't part of the question
54640	56640	So okay on to the next one
56920	62960	When are we getting our annual CinemaSins video for 2018? Oh, man, those things
63520	69720	Do I really have to do another one of those? I don't... I don't want to. I hate them
70240	77220	It'd involve watching another year's worth of CinemaSins videos. I don't know. People seem to like them though
79680	81480	Possibly
81480	88160	Around December, I'd say around the end of the year if it happens, which right now it probably won't
88640	92280	What thing have you done so far that you're most proud of?
93080	97800	I'll assume you just mean on YouTube here, and it's the Charlottesville video
97800	103400	I think that's the one I spent the most time on and that I think came out the best to be honest
103400	105360	So yeah that one
105360	110400	What's the ideal length for audio takes or do you try to get it all over with in one go?
110400	115520	Well, I answered this in another video, but I tend to record all of my audio in a single go
116520	121840	Just because I'm not very good at it, and if I recorded it at different times, it would sound different
121840	128320	I've never been able to crack that problem really even in an identical audio setup my audio seems to sound different
128320	130960	So I just do it all in one go so there's no
132040	137640	Noticeable cuts so now I try to get the script completely 100% finished before I start
138360	142560	Recording it. Can you hear those banging upstairs? I'm not gonna cut that out today
144000	145400	Yeah, there's another one
145400	153240	It's it's that all the time so on my like regular videos where I don't want to have just random knocks in the background
153240	156920	I have to try and record sentences in between those knocks
157360	162500	It's it's hellish, and they seem to increase when I start recording as well
162580	168980	I think my upstairs neighbors don't like me very much and wait for me to start recording videos, and there's another one
169860	172120	Just start throwing rocks around or something
173060	177700	Seeing as you seem to like Star Wars. What are your thoughts on the prequel trilogy?
