start	end	text
0	3960	Hello everyone, and somewhat belatedly, happy 2018.
4760	7600	Today's video is going to be something of a personal one.
7600	15160	A little bit of me talking about myself, a little housekeeping, and a minor mission statement going forward in the next year.
15760	19880	Somewhat of a talky one, this. Not much on the visual side going on here today,
19880	22380	but I figure you're all used to that by now.
22920	28420	So a while back, I made a video talking about a particular sort of person you run into online.
28980	34220	That is young, straight, white guys, usually teenagers or in their early 20s,
34220	42300	who are opposed to feminism and social justice, and who are the primary recruiting target for fascists and white nationalists.
42300	46100	I talked about how they feel left out of current social narratives,
46100	53540	and how the path to fascism and white nationalism for them is a relatively easy one, full of reassurance and simple to understand
53940	56500	racialized answers for all the world's problems.
57100	59820	And I ended that video by posing a question.
60260	64200	What are the best tactics for reaching these people before they become...
64720	66720	red-pilled, as they would say.
67000	70680	Red-pilled is kind of an odd term there from The Matrix,
71020	77360	where protagonist Neo takes a red pill and wakes up to find his existence so far has been a lie,
77620	80860	and the world is actually run by robotic squids.
81380	87220	And the real-world parallel to this, I guess, is waking up to find the world is run by women and minorities
87220	90220	and a nefarious Jewish conspiracy or something.
90620	92100	It's all very silly, of course.
92420	97380	Now, why these people chose to pilfer their metaphors from a story written by two trans women
97380	103060	in which a white internet nerd learns the truth about society from a black man kind of escapes me, really.
103420	105420	But regardless, the question.
105620	107620	What can we do to reach these guys
107940	114980	before they fall down the suggested videos rabbit hole and end up watching and agreeing with blatant white nationalist propaganda?
114980	119300	You know, you're watching Sargon of Akkad one minute, and then a few auto-plays later,
119300	121300	you're listening to Richard Spencer.
121580	129020	And anyone who spends a significant amount of time listening to people like Sargon is going to be very ill-equipped to argue against white nationalism,
129020	131520	as indeed Sargon himself is.
131720	137760	There's a reason that Richard Spencer considers people like Sargon to be good entry points to fascism.
137760	141840	It's because they peddle the same alarmist nonsense that he does.
142300	148760	Even if they wouldn't go so far as to describe themselves as fascists or start throwing Hitler salutes or something,
148840	153040	they're still training their audiences to respond to white nationalist arguments.
153040	160920	And it's a relatively simple progression to go from someone like Sargon who complains constantly about women and immigrants and progressives,
161520	164800	social justice warriors and leftists in general,
165240	169280	to someone like Spencer who simply agrees with all of that and says,
169280	173080	well, maybe us white men should start doing something about it.
173080	176880	I'm also going to be talking about my own experience with politics online.
177520	179280	In the video I mentioned earlier,
179280	185720	I briefly noted that I used to be one of the people I was describing, and I hope obviously I'm not anymore.
186320	190200	So maybe there's an answer hidden somewhere in my own experiences.
190200	195220	You know, I was fortunate enough to break out of that alarmist feedback loop early on,
195400	200880	so maybe by thinking about that a little, we can come up with a few pointers for breaking other people out of it.
200920	206480	But first, I guess I should give my elevator pitch for reaching out to these people in the first place.
206680	212040	And I have a three-pronged argument here. First up is the standard Mr. Rogers,
212080	218480	let's all hold hands and get along thing, you know. If we all work together, we can do anything, all that good stuff.
218960	223120	But more interesting and immediate though, let's talk tactics.
223240	229600	Now, we lefty social justice types understand social concepts like power and privilege.
229960	233280	Now, there's a reason that straight white men, like me,
233800	239600	tend to do better on social media, YouTube, and so on, with viewing figures and reach.
239720	244080	And it's because I have a privilege there not afforded to other sorts of people,
244440	246920	even if they're saying the exact same things I am.
247200	251920	And all I can do about that is acknowledge it and try to put it to some good use, I suppose.
252160	254160	So this is my second point.
254600	258720	Straight white cis male voices are amplified right now.
258720	264200	And that's obviously something we should work on changing, of course, by boosting the voices of other people.
264720	268000	However, with regards to the sorts of people I'm talking about,
268400	273200	they're far more likely to initially respond to straight white male voices.
273440	280000	You know, they've mostly already been conditioned against listening to what LGBT people and people of color
280000	283000	and other social minorities have to say about things.
283520	287680	So straight white guys are probably our biggest in with that crowd.
287960	290520	And my third point is also a tactical one.
290840	294160	In a voting habits, political wing sense,
294440	300680	straight white guys are far more likely to fall in the conservative right-wing camp than other sorts of people.
300840	306520	If you can reach people in this demographic and introduce a little nuance and perspective into their worldview,
306520	311000	you won't only have gained an ally, you'll have neutralized a potential opponent.
311480	314960	You know, just looking at the numbers there, it makes good sense.
315360	319680	However, a little clarification before I start doling out advice here.
319960	326360	I'm talking specifically to those people in the audience who have already decided that reaching out to these people is a good idea.
327040	330600	I'm not saying everyone has to spend their time and energy doing this,
330600	335280	because obviously a lot of these kids are not coming as open-minded neutral parties
335280	338520	who just need a kind word to nudge them in the right direction.
339080	344280	They're often coming as belligerent little shits who'll throw a tantrum and spam you with insults.
344520	347400	Now obviously, nobody should have to deal with that.
347400	352680	So if it's your own decision to shut these people out, that's understandable and fair enough.
353000	357560	And this is partially why white guys are best situated to reach out to these people, I guess.
357560	363400	They've got considerably fewer insults at hand when they're dealing with people who they feel are like themselves.
363640	369880	And speaking of belligerent little shits, I'll now paint a picture of myself about ten years ago,
369880	373320	when I was a teenager heading off to university.
373720	375880	There I am there. How cute.
375880	380680	Now I was, and am, I suppose, a straight white cis guy.
380840	385960	So top of the privilege heap in all of those regards, but relatively poor.
385960	388280	So there was an economic pressure there.
388280	392360	And like a lot of teenagers, I was insecure, unsure of myself,
393160	397240	prone to bouts of sadness and uncontrollable emotions and so on.
397240	402600	So to me at the time, anyone suggesting I was personally privileged in any regard
402600	404600	would have been dismissed out of hand.
404600	407320	You know, I didn't understand the wider context there,
407320	412040	or know enough about society or history to comprehend that concept.
412040	414600	All I knew were my own experiences.
414600	421400	I frequently felt sad, lonely, jealous, small, and I was broke all the time.
421400	426520	So being a straight white guy clearly isn't privileging me in any real way, I would have said.
426520	430440	Now my political views at the time were in the path of least resistance
430440	434200	towards not having to think about the problem anymore vein.
434200	436760	You know, I didn't identify as a bigot in any way.
437320	440280	And I would have staunchly denied that if accused.
440280	443800	But that didn't stop me from saying and thinking things like,
443800	446440	sexism ended when women got the vote,
446440	450760	and all races are equal under the law now so there's no discrimination anymore.
450760	452280	You know, things like that.
452280	456680	I was bigoted from passive ignorance rather than active hatred,
456680	458840	but bigoted all the same.
458840	463720	If I was asked if women were the equal of men, I would have said yes, of course they are.
463720	468920	And they have the same legal rights as men, and therefore feminism is outdated now.
468920	474840	You know, feminists are just fringe lunatics who want women to rule over men or whatever.
474840	480280	That was the idea of feminism that I'd picked up just from general cultural osmosis
480280	482680	without having put any real thought into it.
482680	489160	I was also an early fan of the atheists debunking creationism videos here online.
489160	494440	It made me feel smart to see someone dismantling someone else's beliefs like that.
494440	498440	Even though obviously looking back, debunking creationism is relatively easy
498440	500600	and doesn't really require all that much effort.
501160	504040	You see, my one point of pride at the time,
504040	507880	falsely held, I later came to realize, was my intelligence.
508520	513480	You know, I might be broke and lonely and bored, but I'm smart.
513480	515800	You know, I'm smarter than my parents,
515800	519560	I'm smarter than my teachers and peers and friends
520120	525240	and the girls who won't go out with me and the creationists and the feminists.
