start	end	text
0	6400	Hello, everyone. Today we're going to be talking about transphobia and particularly British transphobia,
6400	10400	and even more particularly, transphobia in the British press.
10400	15200	That's right, the UK press seems to have a problem with trans people.
15200	21200	Now, the tabloid press obviously does, but since those papers are seemingly written by and for
21200	28000	the absolute worst, most vile people ever to have existed on planet Earth, that's to be somewhat expected.
28000	34000	No, today I'd like to talk about that bastion of fair-weather progressivism, The Guardian,
34000	40000	which, for all the blessedly non-British viewers out there, is our leading centre-left newspaper.
40000	45000	Surely, The Guardian can be counted on to stand up for minority rights.
45000	47000	A wrong person might say.
47000	52000	And I'll quote here from an article written on the 2nd of November of last year, entitled
52000	57000	Why We Take Issue with The Guardian's Stance on Trans Rights in the UK.
57000	62000	The Trump administration is trying to define transgender people out of existence.
62000	66000	Last month, the New York Times reported that the US government is seeking to deny trans people
66000	73000	the most basic recognition by claiming that gender is determined by the genitals that a person is born with.
73000	77000	The leaked memo sparked outrage and fear about a policy that could cost lives
77000	81000	and prevent millions of Americans from existing in public spaces.
81000	85000	The Guardian in the US is committed to covering this important civil rights fight,
85000	90000	but when the time came for us to report on Trump's attacks, we encountered problems.
90000	92000	Some trans people wouldn't talk to us.
92000	99000	That's because days earlier, The Guardian published an editorial that we believe promoted transphobic viewpoints,
99000	105000	including some of the same assertions about gender that US politicians are citing in their push to eliminate trans rights.
105000	112000	Guardian journalists in the US had no input in the editorial, which we felt was misplaced and misguided,
112000	120000	and nearly all reporters and editors from our New York, Washington DC, and California offices wrote to UK editors with our concerns.
120000	127000	So then, the UK Guardian has been very naughty and has had to be told off by the Americans. How shameful.
127000	132000	Now, the editorial that inspired this response is from the 17th of October and is titled
132000	137000	The Guardian View on the Gender Recognition Act Where Rights Collide,
137000	145000	and is actually only one in a recent series of fairly rubbish, to put it lightly, articles about trans people from The Guardian.
145000	147000	But we'll get to those in a little while.
147000	150000	This particular article makes the case that, quote,
150000	155000	Transphobia must be opposed, but misogyny, too, must be challenged.
155000	158000	Gender identity does not cancel out sex.
158000	166000	Women's oppression by men has a physical basis, and to deny the relevance of biology when considering sexual inequality is a mistake.
166000	169000	The struggle for women's empowerment is ongoing.
169000	173000	Reproductive freedoms are under threat, and the Me Too campaign faces a backlash.
173000	182000	Women's concerns about sharing dormitories or changing rooms with male-bodied people must be taken seriously.
182000	187000	These are not just questions of safety, but of dignity and fairness.
187000	192000	Now, we're going to talk more about this article later, so I won't dwell on it too much right now,
192000	199000	but with regards to the argument that cis women's concerns about sharing spaces with trans women must be taken seriously,
199000	205000	one possible line of response does immediately jump to mind, and that's historical comparison.
205000	211000	Consider an article that, discussing desegregation, say, made the case that
211000	216000	white people's concerns about sharing spaces with black people must be taken seriously.
216000	219000	Or responding to a gay rights issue with
219000	224000	straight people's concerns about sharing spaces with gay people must be taken seriously.
224000	228000	Now, I realize that there are people around today still making those arguments.
228000	233000	I don't mean to make it seem like those issues are solely in the distant past, because they aren't.
233000	238000	Anyone old enough to remember the Don't Ask, Don't Tell debates in the United States
238000	244000	might remember a fair bit of fearmongering about gay people in showers and locker rooms, for instance.
244000	251000	However, it is hard to imagine our liberal pals over at The Guardian making those kinds of arguments today.
251000	256000	They would, in fact, rightly condemn any politician that made those remarks.
256000	261000	So why do we see them making the same arguments with regards to trans people?
261000	266000	Is there something unique about the current situation, or is the comparison there a valid one?
266000	269000	And that's what we're going to be talking about today.
269000	272000	Before we get to that, though, I'd just like to make a few things clear.
272000	279000	Firstly, I'm a cis man, and I am by no means an expert on trans issues, or anything else, actually,
279000	282000	and nor am I trying to present myself as such.
282000	287000	If I know anything at all, it's from listening to trans people, reading the things they've written,
287000	294000	watching videos they've made, and talking to my trans friends, some of whom helped me write this video, actually.
294000	297000	What I'm providing here is a platform and a voice.
297000	302000	I'm not trying to speak for anyone or claim I'm some authority on anything, because I'm not.
302000	306000	And I'll include a list of videos by trans people in the description of this video
306000	311000	that cover similar topics to what I'm going to be discussing today, but better than I can.
311000	313000	So go and check those out.
313000	318000	My aim with this video is to reach out to some of my fellow cis folk who might have,
318000	324000	unconsciously even, absorbed some transphobic rhetoric from the bigoted mess that is the British press,
325000	330000	or anyone who might have encountered some of these concerns about trans people out in the wild.
330000	335000	You know, the people who might watch me, but who haven't heard a trans person say these things before
335000	337000	is a guess who I'm aiming this video at.
337000	343000	Now, to understand the conversation surrounding the Guardian's concerns about gendered spaces, however,
343000	347000	and to avoid getting lost somewhere later and having to double back,
347000	350000	we're gonna have to start out with some basic concepts here.
350000	353000	And so we'll begin by asking a simple question.
353000	356000	What makes someone a particular gender?
356000	361000	And there's a lot of bad answers to this question, so let's take a look at some of those.
361000	365000	And first up is the most basic and crude of answers.
365000	367000	What bits they've got.
367000	371000	That's right, if you've got a penis and testicles, you're a man.
371000	374000	If you've got a vagina and ovaries, you're a woman.
374000	378000	So that's a direct one-to-one sex and gender correlation there.
378000	381000	Nothing could be simpler than that, right?
381000	385000	Now, my response to this genital-based answer is twofold.
385000	388000	Firstly, it isn't particularly helpful.
388000	392000	Speaking for myself here, but genitals tend not to come into play
392000	395000	in the majority of my interactions with other people day-to-day,
395000	398000	if you can believe such a thing.
398000	401000	I don't know what kind of lives you're all leading, of course,
401000	406000	but I'm personally not peeking down people's trousers to confirm what they've got in there.
406000	409000	It's an inconsequential, unknown quantity.
