start	end	text
0	7920	Hello there. This is a video about Stefan Molyneux, and in particular his video The Truth About the Fall of Rome
8620	16400	Modern Parallels. Now his video is two and a half hours long, but I decided to take a look at it anyway, for two main reasons.
17600	20080	Firstly, I love talking about Rome.
20080	25320	I'm a big Roman history fan, and secondly, a particular pet peeve of mine is people
25320	31760	cherry-picking from Roman history, and ancient history in general, to support some modern ideology.
31960	36100	Not that I'm suggesting we should ignore history, or that there are no specific
36360	42120	parallels between the ancient world and the modern, because I think there are plenty of legitimate points of comparison.
42240	48540	Nor do I have any problem in particular with historical revisionism, if it's done for the right reasons.
48540	53920	If you find new evidence to support or disprove some facets of current historical knowledge,
54400	56400	excellent. Revise history.
56560	61920	Now, what bothers me is people who approach history with a specific modern political agenda,
61920	66080	and oh boy, does Stefan Molyneux have a political agenda.
66560	73200	Now there's plenty of things that are gonna go wrong when you try to apply contemporary political leanings to the ancient world.
73520	77340	You will end up missing things out that contradict your bias,
77720	80640	and overemphasizing certain things that support it.
81120	84320	And you might end up being guilty of what Aldous Huxley would call,
84320	90720	temporal oversimplification, and compressing or stretching the timeline to suit your narrative.
90720	94320	And this is of particular note when we're talking about Roman history.
95040	99680	Ancient Roman civilization existed in so many forms, and for so long,
99680	104800	that there's more than enough evidence to support any sort of modern political leaning.
104800	108160	That is, as long as you're very selective about it.
108560	112560	Rome was, at times, a kingdom, a republic, an empire,
112560	118080	first a city-state that grew to control the Italian peninsula, and then the whole of the Mediterranean.
118800	124240	And it existed for an enormous length of time. It was a republic for about 500 years,
124800	128480	the Western empire fell after another 500 years,
128480	133200	and the eastern half of the empire lasted for another thousand after that.
133200	136640	And actually, something to keep in mind going forward,
136640	140720	is that the entire history of the United States of America,
140720	144080	from the Declaration of Independence to today,
144080	151520	can fit neatly inside just what is considered the decline period of the Western Roman Empire.
151520	156240	Trying to condense this wealth of history and apply it to just the last few decades
156240	162800	of modern politics in the West is, well, difficult to say the least.
162800	166800	And I'm mentioning all this now because Stefan Molyneux, bless him,
166800	168960	does all of this in his video.
168960	174960	He's gonna take his square peg views and try to hammer them into the round hole of Roman history.
175520	177600	For two and a half hours.
177600	180160	But what are Stefan's views, you might be wondering?
180160	186160	Well, for the uninitiated, he's anti-state, anti-taxes, pro-free market,
186960	190960	and in particular, he doesn't much like women, to put it lightly.
191520	197760	And he applies this thinking relentlessly to basically everything, all the time.
197760	201680	And before we get to Rome, actually, I've invented a game called
201680	204240	What Is Stefan Molyneux Talking About?
204800	206240	And I'm gonna show you some clips,
206240	210880	and you have to try and guess the subject of the video that the clip came from.
212160	216080	For men, an attack from the males of another tribe was the greatest evil.
216960	220560	If the men of tribe B attack and conquer tribe A,
220560	224400	the men of tribe A would generally be killed off or enslaved along with their descendants,
224400	227680	thus effectively ending the transmission of their genes.
228480	231840	The women, however, would usually be taken as spoils of war,
231840	234880	which would allow the continuation of their genetics.
235920	241360	Thus, men are conditioned by evolution to guard the tribal perimeters and fight to the death.
241360	244800	That's from his video about Zootopia.
246320	246960	Next clip.
247840	252240	Feminists portray men as evil and patriarchal in order to provoke
252240	257920	the white knight protects the eggs response that actually characterizes historical masculinity,
258560	262720	while single mothers have to pretend that all men are shiftless and irresponsible,
262720	266960	otherwise they themselves will be blamed by their children who are forced to grow up poor
267680	268480	and fatherless.
269040	273680	Almost always the same thing, because their mother chose to mate with a bad man,
273680	277040	or drove away a good man, which is even worse.
277760	283520	And that's from his video about Star Wars The Force Awakens, the last one now.
284960	291120	Young men are worth substantially less in the sexual marketplace than young women,
291920	298000	because young men do not have a lot of resources to provide to pregnant and child-raising women,
298640	303200	while young women have a decade or two of fertility ahead of them.
304640	310560	Young women so often mistake their sexual appeal for personal value,
311280	316080	since it is infinitely easier to giggle and surf the tsunami of male desires
316080	319520	than it is to struggle for a life of virtue and meaning.
320640	324560	And that's from his video about the movie Frozen.
324560	328960	And if you watched Frozen and came away talking about human fertilization
328960	334800	and the sexual marketplace, well, you know, you definitely took a wrong turn somewhere.
335520	339680	Now, I can't tell if Stefan is actually sitting there watching children's movies
339680	341840	and genuinely getting all exasperated,
341840	345760	or if he just views these recent popular movies as good vehicles
345760	348960	for him to get his ideology to a wider audience.
348960	352240	And it's tempting to just talk about Stefan on movies, to be honest,
352240	354640	but we're here for ancient Rome right now.
355200	357760	We'll save the movies for another day.
357760	359200	So let's get to it.
359200	361520	Because this is about saving Western civilization.
361520	365760	We look deep into the past so that we can control the future.
365760	370000	And your past has been so falsified to you, so lied about.
370000	371520	You know, they constantly say,
371520	375440	oh, the only thing that's constant in history is how little people learn from their history.
375440	378080	No, you can absolutely learn from your history.
378080	382080	You can save everything that our ancestors worked so hard to provide to us.
382080	385680	But you must first know the facts about your history.
385680	388160	And when you understand the facts about your history,
388160	392560	which have been so falsified that you live in a matrix of leftist propaganda
392560	394480	rather than any basic empirical facts,
394480	399200	once you understand your history, we can, we might have the possibility,
399200	403360	but this technology, this new Gutenberg press of the internet,
403360	408800	we might have the chance of stopping the 10 generation cycle of empire,
408800	411360	cycle of civilization in its tracks.
411360	414880	We might be able to pile up enough facts, reason, evidence and knowledge
414880	419600	and courage that we can stop the giant grim stone wheel of history
419600	425440	from crushing yet another civilization as it seems poised to do with the West.
425440	428320	Well now, who's ready to stop history?
428320	430800	So we're gonna go through Stefan's video
430800	435040	and examine what he claims are the parallels to the modern Western world.
435840	439120	And as I said, his video is two and a half hours long.
439760	443120	So for sanity's sake, I've decided to cut a lot for time
443120	445520	and just focus on a few specific areas.
445520	447760	Otherwise, we'll be here all day.
447760	452080	But just so you can be sure, I'm not misrepresenting Stefan's arguments here.
452880	456480	I'd encourage you all to go and watch Stefan's video.
457600	458480	Who am I kidding?
459520	461920	Okay, let's move on to our first section.
462480	465680	Now in 58 BC, as we said, Rome began distributing free grain
465680	469680	and this brought huge numbers of the rural poor into Rome.
469680	472320	There was the, again, with ever this mass kind of movement,
472320	473920	there's a push and there's a pull.
473920	476320	The pull was that there was free grain.
476320	479600	The push was the massive influx of slaves from the empire
479600	482480	that the rural poor could not compete with.
483280	489440	Now by the reign of Julius Caesar, 320,000 people were on this welfare dole.
490880	493840	Now the expansion of the dole of the welfare state
493840	496480	drove steep rises in Roman taxes.
497120	499680	And if you're a citizen farmer
499680	501600	and you can't compete with all this slave labor, right?
501600	503840	I mean, then you have a big problem.
503840	507520	You end up leaving your farm, going to the city and living on welfare.
508240	511120	They were a burden on the state and what did they have to do with their time?
511120	512240	Well, not much.
512240	517120	Except cause trouble and contribute to an ever-increasing crime rate.
517120	520560	Huh, now that that's got to be just a coincidence.
520560	526640	And this sort of one-to-one comparison is the standard for the rest of Stefan's video.
526640	530000	The displaced Roman farmers become the modern urban poor,
530560	534480	our western democratic governments become the Roman Empire,
534480	539120	modern immigrants into the west are cast as both the cheap Roman slave labor
539120	542480	and later on the invading barbarian tribes.
543040	548640	So here he's comparing Rome's grain dole to our modern idea of the welfare state
548640	552480	and citing it as one of the reasons that the empire fell.
552480	555360	And now I hate to start this section off with such a minor point,
555360	557360	but see here where Stefan writes,
557440	562320	The conquests of the third and second centuries BC brought so many slaves into the empire.
562320	567520	Well, that doesn't really make sense because the empire didn't exist at that point
568160	572240	and it didn't exist until Augustus a few hundred years later.
572240	578640	What Stefan means to say is slaves were brought into the republic, not the empire.
578640	581920	Now I'm not suggesting Stefan was trying to mislead anyone with this.
581920	584560	He later writes republic in this section even,
584560	587760	so I think saying empire here was just an honest error.
587760	593200	I'm only highlighting it here because it's an indicator of the enormous length of time
593200	595280	that Stefan is compressing.
595280	597280	So, history lesson time.
597280	600560	Before Rome's straight grain dole there was a grain subsidy,
600560	606160	which was one of the reforms brought about under the tribune ships of Tiberius and Gaius Gracchus.
